variant,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
matrix_intraday_stack_24h,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,-18.00845741951471,3.0179536633020927,8,8,63,85
recalc_entry_right_ge1,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,-18.00845741951471,3.0179536633020927,8,8,63,85
strict_entry_left_ge1,2916,377.3904311253654,53.61410150468289,59.63648834019204,1.3054600236817588,-18.00845741951471,2.977162355204529,8,8,63,85
known_by_touch_ge1,2915,374.63939551007576,53.22327468302418,59.62264150943396,1.3027376153281633,-18.87948998343473,2.8191055335564372,8,8,63,85
known_by_zone_creation_ge1,2724,328.7228236251856,46.7001210926095,59.2143906020558,1.2818539415033234,-17.62398589275996,2.6498047250363603,8,8,62,85
