zone_id,spec_name,direction,upper,lower,created_timestamp,touch_timestamp,entry_timestamp,risk_units,net_1r_after_cost,same_dir_intraday_overlap_24h,entry_ny_hour,entry_session,intraday_stack_24h,ny_main_or_overlap,ema8_aligned,r,year,month,recalc_entry_right,recalc_entry_left,recalc_touch_right,recalc_created_right
159,m15_2c_1atr,demand,1459.0,1455.94,2019-08-05 15:15:00+00:00,2019-08-05 18:00:00+00:00,2019-08-05 19:00:00+00:00,8.646571428571178,0.9653041668043476,3,15,ny_main,True,True,True,0.9653041668043476,2019,2019-08,3,3,3,0
165,m15_2c_1atr,demand,1498.32,1494.84,2019-08-08 21:15:00+00:00,2019-08-09 15:00:00+00:00,2019-08-09 18:00:00+00:00,7.94142857142856,-1.0377765785213169,1,14,ny_main,True,True,True,-1.0377765785213169,2019,2019-08,1,1,1,0
174,m15_2c_1atr,supply,1533.14,1523.39,2019-08-13 14:15:00+00:00,2019-08-13 15:00:00+00:00,2019-08-13 16:00:00+00:00,14.66028571428592,0.9795365516166128,3,12,ny_main,True,True,True,0.9795365516166128,2019,2019-08,3,3,1,0
177,m15_2c_1atr,supply,1522.17,1520.18,2019-08-15 09:15:00+00:00,2019-08-15 12:00:00+00:00,2019-08-15 15:00:00+00:00,8.16542857142872,-1.0367402638300844,3,11,london_ny_overlap,True,True,True,-1.0367402638300844,2019,2019-08,3,3,3,0
178,m15_2c_1atr,demand,1515.22,1510.21,2019-08-15 12:15:00+00:00,2019-08-15 14:00:00+00:00,2019-08-15 18:00:00+00:00,9.63285714285712,-1.0311434079786446,9,14,ny_main,True,True,True,-1.0311434079786446,2019,2019-08,9,9,7,4
193,m15_2c_1atr,demand,1502.21,1499.36,2019-08-21 16:15:00+00:00,2019-08-21 18:00:00+00:00,2019-08-21 19:00:00+00:00,4.001857142857261,0.9250348052689844,9,15,ny_main,True,True,True,0.9250348052689844,2019,2019-08,9,9,9,8
196,m15_2c_1atr,supply,1502.27,1500.16,2019-08-22 11:15:00+00:00,2019-08-22 12:00:00+00:00,2019-08-22 13:00:00+00:00,4.5081428571427296,0.933453750356496,5,9,london_ny_overlap,True,True,True,0.933453750356496,2019,2019-08,5,5,5,4
197,m15_2c_1atr,demand,1497.25,1492.52,2019-08-22 16:15:00+00:00,2019-08-22 17:00:00+00:00,2019-08-22 18:00:00+00:00,8.59157142857157,0.9650820571656612,1,14,ny_main,True,True,True,0.9650820571656612,2019,2019-08,1,1,1,0
199,m15_2c_1atr,demand,1495.9,1494.49,2019-08-23 12:15:00+00:00,2019-08-23 13:00:00+00:00,2019-08-23 16:00:00+00:00,8.426000000000158,0.964395917398529,5,12,ny_main,True,True,True,0.964395917398529,2019,2019-08,5,5,3,2
204,m15_2c_1atr,demand,1529.03,1527.57,2019-08-27 09:15:00+00:00,2019-08-27 15:00:00+00:00,2019-08-27 17:00:00+00:00,5.883857142857096,0.949013038094544,1,13,ny_main,True,True,True,0.949013038094544,2019,2019-08,1,1,1,0
212,m15_2c_1atr,supply,1550.4,1543.94,2019-08-29 11:15:00+00:00,2019-08-29 15:00:00+00:00,2019-08-29 17:00:00+00:00,11.880571428571557,0.9747486893367324,3,13,ny_main,True,True,True,0.9747486893367324,2019,2019-08,3,3,5,2
214,m15_2c_1atr,supply,1544.41,1536.77,2019-08-29 18:15:00+00:00,2019-08-29 19:00:00+00:00,2019-08-29 20:00:00+00:00,16.94628571428575,-1.0177029943350415,7,16,ny_main,True,True,True,-1.0177029943350415,2019,2019-08,7,7,5,4
216,m15_2c_1atr,supply,1529.72,1525.87,2019-08-30 10:15:00+00:00,2019-08-30 11:00:00+00:00,2019-08-30 12:00:00+00:00,4.957428571428636,-1.0605152440781502,1,8,london_ny_overlap,True,True,True,-1.0605152440781502,2019,2019-08,1,1,1,0
