year,count,sum
2019,12,1.5916729139630692
2020,132,27.111676597127474
2021,70,10.437676790439417
2022,90,18.727747312449125
2023,75,1.0362336998100439
2024,157,39.16454748016467
2025,295,82.34868128048608
2026,201,75.68843889927527
