month,count,sum
2019-06,3,-1.1076958275653805
2019-08,4,-0.1381835876058526
2019-09,2,-0.06830251671142173
2019-10,3,2.905854845845724
2020-01,3,-2.6034085529281628
2020-02,4,-0.1758963876351558
2020-03,26,-0.8340473107146604
2020-04,16,3.340563925933729
2020-05,10,5.559247832991469
2020-06,9,0.6341408809796776
2020-07,6,5.7748104512511045
2020-08,20,9.389592167658845
2020-09,13,0.5396553034171079
2020-10,7,2.7164557006066006
2020-11,9,0.6331098174326802
2020-12,9,2.137452768134238
2021-01,10,0.33972019954300525
2021-02,13,-0.22133016695604102
2021-03,8,-0.3138074504794104
2021-04,6,-0.5751194713759831
2021-05,6,0.5261430587694402
2021-06,6,-2.2149225442727496
2021-08,7,3.4448328250674813
2021-09,8,5.674636495926018
2021-10,2,-0.07959800957403917
2021-11,2,1.9394330462062144
2021-12,2,1.9176888075854794
2022-01,1,-1.0401253439315188
2022-02,12,3.1105243055211957
2022-03,23,6.137275423695966
2022-04,8,-0.32538316742258666
2022-05,10,4.341148715256808
2022-06,3,2.8608357881107858
2022-07,3,-0.39688513011635795
2022-08,6,-0.2156926140286869
2022-09,10,0.5337588308556573
2022-10,6,3.7602617307098294
2022-11,6,0.04864106920339195
2022-12,2,-0.08661229540535931
2023-01,10,-0.6870130651064115
2023-02,8,1.6929568834256448
2023-03,13,6.480448753271379
2023-04,10,4.40452576972649
2023-05,7,-1.2848160565880191
2023-06,6,-2.2528096877259065
2023-07,4,-1.0286876877599855
2023-08,2,-0.09241639242590205
2023-10,7,-1.9196106465439313
2023-11,4,-2.1505072709562176
2023-12,4,-2.1258368995070964
2024-01,1,0.9537821599137266
2024-02,1,0.955093661791122
2024-03,8,-1.0731820406905488
2024-04,26,7.977808738841683
2024-05,14,3.5030959908790553
2024-06,14,1.4394396519176988
2024-07,17,4.320858689513261
2024-08,22,12.211286787262459
2024-09,12,1.5376563703422976
2024-10,11,5.551553907302467
2024-11,22,5.104907551651835
2024-12,9,-3.3177539885603857
2025-01,10,3.577897354767719
2025-02,13,2.582403505179274
2025-03,17,0.4050493000050249
2025-04,39,22.035946084435462
2025-05,23,6.419650970407265
2025-06,27,6.093738460327991
2025-07,23,16.04780671162286
2025-08,18,-0.69226310150684
2025-09,25,6.179576212464394
2025-10,38,13.173281831865388
2025-11,30,1.3573216922976938
2025-12,32,5.16827225861984
2026-01,32,9.328722763175511
2026-02,30,11.816063794242542
2026-03,33,14.618817564673927
2026-04,39,20.272278792009963
2026-05,40,13.155272110693426
2026-06,27,6.4972838744799075
