month,count,sum
2019-02,1,0.9879549860621981
2019-03,3,-1.0429927632629048
2019-05,1,-1.0115718418514947
2019-06,29,1.4065505694640172
2019-07,35,13.114828915660054
2019-08,40,-3.5664818123701743
2019-09,40,-6.674350829794606
2019-10,196,-41.91370265152205
2019-11,150,-12.56676035153451
2019-12,182,-56.87270537272628
2020-01,174,-39.6062151506788
2020-02,167,-22.992251728261945
2020-03,163,-13.497797115978994
2020-04,157,-17.059568869841055
2020-05,170,-4.780026182486116
2020-06,170,4.68800068287398
2020-07,184,-16.33155320333634
2020-08,167,-17.521872849843962
2020-09,193,-21.507261774287656
2020-10,185,-8.832048312732129
2020-11,166,-2.026756501838867
2020-12,177,-20.74999715447411
2021-01,149,-9.173581278047566
2021-02,173,-2.643301182253257
2021-03,179,-33.06689449686349
2021-04,164,-33.688498844117895
2021-05,146,-2.8624041202120765
2021-06,163,-31.463278307602515
2021-07,176,-20.573841683533576
2021-08,173,-25.389646610824148
2021-09,176,-14.04323136198631
2021-10,151,-24.803278648742317
2021-11,162,-21.48167793921827
2021-12,183,-34.96587685512851
2022-01,178,-22.997035286126494
2022-02,142,-20.462286621088104
2022-03,191,-8.255446045863284
2022-04,177,-16.237617187638964
2022-05,165,-2.3853196654864295
2022-06,179,-17.70207565575096
2022-07,173,-20.660689244004796
2022-08,195,-34.876663143653566
2022-09,190,-14.917598026674664
2022-10,156,-9.0501374613161
2022-11,167,-29.939828184590656
2022-12,170,2.3859397035264607
2023-01,167,-15.358289683130018
2023-02,170,-24.288784913501047
2023-03,189,-7.959539829153768
2023-04,140,3.2720410589921705
2023-05,173,-15.929698667096483
2023-06,161,-40.42736262034448
2023-07,156,-35.0704762797607
2023-08,177,-17.94086730270282
2023-09,154,-2.641031634509157
2023-10,185,-6.847920490610991
2023-11,163,-25.474674206051617
2023-12,152,-19.75029049971335
2024-01,177,-4.917004359938335
2024-02,163,-10.109349686049143
2024-03,149,-18.74028270023973
2024-04,176,-9.651157671795682
2024-05,165,-25.42741426005362
2024-06,155,6.0317364863949
2024-07,178,-20.121610689617413
2024-08,160,-1.5178652824123953
2024-09,163,-17.059212254306132
2024-10,166,18.63780453561564
2024-11,150,-18.70571427804605
2024-12,161,-13.062985930499966
2025-01,146,-1.0381676254786973
2025-02,162,2.3350281388622154
2025-03,175,8.069231022819743
2025-04,166,21.322879378929716
2025-05,156,-17.161964939827737
2025-06,160,-10.756154043363738
2025-07,191,-15.197748015951447
2025-08,179,-7.931097400562653
2025-09,175,-20.32424800919165
2025-10,194,10.045809757592812
2025-11,152,-11.957336639824304
2025-12,162,-3.247847225059985
2026-01,164,-9.616128804568957
2026-02,161,-3.1701718664418492
2026-03,162,-2.3312924955544094
2026-04,156,6.750995901776395
2026-05,173,-0.9933550939153343
2026-06,108,5.471728296196931
