year,count,sum
2019,677,-108.13923115187575
2020,2073,-180.217348160886
2021,1995,-254.1555113285299
2022,2083,-195.09875681866757
2023,1987,-208.41689506758226
2024,1963,-114.64305609094792
2025,2018,-45.84161560105572
2026,924,-3.8882240625072244
