month,count,sum
2019-06,5,0.8339780462534283
2019-08,3,-1.1034877544102
2019-09,4,-0.15063159858773378
2019-10,3,0.9003207395210926
2020-01,1,-0.5159088627923363
2020-02,1,0.9574915995303832
2020-03,8,7.763683724579131
2020-04,5,-1.1924510518922085
2020-05,3,0.851912642935774
2020-06,2,-2.0933831789329123
2020-07,1,0.9678106653995305
2020-08,8,5.742882731396944
2020-09,1,0.9620493358633786
2020-10,3,-1.1248811455476146
2020-11,4,-2.1541945810439955
2020-12,3,2.355884285750359
2021-01,2,-2.0891754163263974
2021-02,5,0.8048088156028144
2021-03,1,0.9693931090771294
2021-04,2,-0.7226999157751375
2021-06,3,-3.125329439029011
2021-08,2,-0.07818054637848915
2021-09,2,1.9095711066489138
2021-10,1,0.9579865556978227
2021-11,1,0.9831184282452811
2021-12,2,1.9176888075854794
2022-02,4,-0.16267677255768498
2022-03,6,-0.22720485577851512
2022-04,4,-2.1545098159452714
2022-05,4,2.567273006907233
2022-06,1,0.9501897533206819
2022-07,1,0.968995910412945
2022-08,3,0.893900367123119
2022-09,6,-1.3271609896790886
2022-10,3,2.8798995527961493
2022-11,2,-0.9130683594161736
2022-12,1,-1.0455798406876042
2023-01,1,-1.04579353656941
2023-02,4,1.8419269432643874
2023-03,5,2.807955145104751
2023-04,3,0.906710384499931
2023-06,1,0.956371795404495
2023-07,3,0.01714982915624086
2023-10,3,-1.772657672146564
2023-11,3,-3.114557600494864
2023-12,2,-0.07157455452481065
2024-03,4,2.3211448122486518
2024-04,4,-0.13469941121722684
2024-05,6,-0.19347429057371035
2024-06,2,-0.08682803310748011
2024-07,3,-1.090703883525348
2024-08,4,3.851579180797371
2024-09,3,0.8855211997436054
2024-10,2,1.9146060021786697
2024-11,6,-0.25274916598115404
2024-12,5,-5.168107760960354
2025-01,2,-0.0842998175532188
2025-02,3,0.9044778008983796
2025-03,3,-1.1274069981232038
2025-04,13,10.640744958497592
2025-05,2,1.936046404540405
2025-06,8,3.7494886145426873
2025-07,4,1.8291066045971878
2025-08,6,-2.2749742114896447
2025-09,4,3.877213299186332
2025-10,8,5.870898569039778
2025-11,6,-0.09741793002905308
2025-12,7,-1.1732894957979334
2026-01,9,0.8539253430575292
2026-02,8,1.902548466968711
2026-03,6,3.9412691796991215
2026-04,14,1.7254305630063675
2026-05,9,0.8086403059513352
2026-06,9,-1.1258685887856088
