risk_pct,entry_timestamp,year,month,net_r,risk_usd,lot,pnl_usd,equity_before,equity_after
0.04,2019-02-28 00:00:00+00:00,2019,2019-02,0.9879549860621981,200.0,0.08030009291867905,197.59099721243962,5000.0,5197.59099721244
0.04,2019-03-18 00:00:00+00:00,2019,2019-03,0.9789503227617176,200.0,0.14033118158854943,195.79006455234352,5000.0,5195.790064552343
0.04,2019-03-25 00:00:00+00:00,2019,2019-03,-1.0136170874995136,207.83160258209372,0.0943353705841507,-210.66166369961823,5195.790064552343,4985.128400852725
0.04,2019-03-29 00:00:00+00:00,2019,2019-03,-1.0083259985251087,199.40513603410898,0.05534156228397054,-201.06538290262807,4985.128400852725,4784.063017950097
0.04,2019-05-20 00:00:00+00:00,2019,2019-05,-1.0115718418514947,200.0,0.07714561234329811,-202.31436837029895,5000.0,4797.685631629701
0.04,2019-06-04 14:00:00+00:00,2019,2019-06,-1.0518813153148712,200.0,0.34587543543247484,-210.37626306297423,5000.0,4789.623736937026
0.04,2019-06-04 17:00:00+00:00,2019,2019-06,0.9169369511905694,191.58494947748102,0.5304543336533435,175.67131946788072,4789.623736937026,4965.295056404906
0.04,2019-06-04 23:00:00+00:00,2019,2019-06,0.9544606843908563,198.61180225619626,0.3014881848881917,189.5671567095505,4965.295056404906,5154.862213114457
0.04,2019-06-05 15:00:00+00:00,2019,2019-06,0.9226291356569183,206.19448852457828,0.5317815266642093,190.241042724652,5154.862213114457,5345.103255839109
0.04,2019-06-07 11:00:00+00:00,2019,2019-06,0.9447760801535748,213.80413023356436,0.3935700716951003,201.99702808271135,5345.103255839109,5547.10028392182
0.04,2019-06-07 16:00:00+00:00,2019,2019-06,-1.034674636329112,221.8840113568728,0.25645824670147,-229.5777587579169,5547.10028392182,5317.522525163903
0.04,2019-06-12 04:00:00+00:00,2019,2019-06,-1.110439127005002,212.70090100655614,0.7830167273447143,-236.19140282689756,5317.522525163903,5081.331122337006
0.04,2019-06-12 18:00:00+00:00,2019,2019-06,-1.1126488574187288,203.25324489348023,0.7632081934633209,-226.14949069737983,5081.331122337006,4855.181631639626
0.04,2019-06-12 20:00:00+00:00,2019,2019-06,-1.0470008952551462,194.20726526558505,0.30426384441787196,-203.3351805981212,4855.181631639626,4651.846451041505
0.04,2019-06-13 05:00:00+00:00,2019,2019-06,0.9540802938861189,186.0738580416602,0.2848152292249691,177.52940116491115,4651.846451041505,4829.375852206416
0.04,2019-06-13 08:00:00+00:00,2019,2019-06,0.8681732580037632,193.17503408825667,0.8488545126288951,167.7093987093898,4829.375852206416,4997.085250915806
0.04,2019-06-13 11:00:00+00:00,2019,2019-06,-1.09533321227529,199.88341003663223,0.635184251977702,-218.9389375959633,4997.085250915806,4778.146313319842
0.04,2019-06-14 05:00:00+00:00,2019,2019-06,0.9181860682561963,191.1258525327937,0.5212252484531423,175.48909507919942,4778.146313319842,4953.635408399042
0.04,2019-06-18 15:00:00+00:00,2019,2019-06,-1.044169611307421,198.14541633596167,0.2917335340635514,-206.8974223578682,4953.635408399042,4746.737986041174
0.04,2019-06-18 20:00:00+00:00,2019,2019-06,0.9637280641149653,189.86951944164696,0.22956450119032554,182.9825844059372,4746.737986041174,4929.720570447111
0.04,2019-06-19 16:00:00+00:00,2019,2019-06,-1.0629288903539007,197.18882281788444,0.41362912700404725,-209.59769662800585,4929.720570447111,4720.122873819105
0.04,2019-06-21 14:00:00+00:00,2019,2019-06,0.979507996760312,188.8049149527642,0.12896636429603586,184.93592402388313,4720.122873819105,4905.058797842988
0.04,2019-06-21 19:00:00+00:00,2019,2019-06,0.9779458097038437,196.2023519137195,0.14423613352195297,191.8752679080609,4905.058797842988,5096.934065751048
0.04,2019-06-25 16:00:00+00:00,2019,2019-06,0.9754781755762627,203.87736263004194,0.16664816301295016,198.87791773965344,5096.934065751048,5295.811983490702
0.04,2019-06-25 22:00:00+00:00,2019,2019-06,0.9715612854298985,211.8324793396281,0.20080811388722014,205.8082359230115,5295.811983490702,5501.620219413713
0.04,2019-06-26 17:00:00+00:00,2019,2019-06,-1.0397388589270515,220.06480877654852,0.29150414635932737,-228.80993316732835,5501.620219413713,5272.810286246385
0.04,2019-06-26 21:00:00+00:00,2019,2019-06,-1.0436799301121118,210.9124114498554,0.3070879797302219,-220.12505084176206,5272.810286246385,5052.685235404622
0.04,2019-06-27 02:00:00+00:00,2019,2019-06,0.9648858791070987,202.1074094161849,0.23656080025303425,195.0105854085939,5052.685235404622,5247.695820813216
0.04,2019-06-27 09:00:00+00:00,2019,2019-06,0.9436755712906356,209.90783283252867,0.3940979588637648,198.08489406661573,5247.695820813216,5445.780714879832
0.04,2019-06-27 16:00:00+00:00,2019,2019-06,-1.0402029290705463,217.8312285951933,0.2919151144187504,-226.58868202775582,5445.780714879832,5219.192032852076
0.04,2019-06-27 17:00:00+00:00,2019,2019-06,-1.0750482453005499,208.76768131408306,0.5222549386028772,-224.4353294721694,5219.192032852076,4994.756703379907
0.04,2019-06-27 20:00:00+00:00,2019,2019-06,0.9691271813116538,199.79026813519627,0.2056029574611333,193.62217941136228,4994.756703379907,5188.3788827912695
0.04,2019-06-28 10:00:00+00:00,2019,2019-06,0.9780529863614991,207.53515531165078,0.15182589613644062,202.98037842755758,5188.3788827912695,5391.359261218827
0.04,2019-06-28 12:00:00+00:00,2019,2019-06,-1.038908343060418,215.65437044875307,0.2796918075966183,-224.04512467665162,5391.359261218827,5167.314136542175
0.04,2019-07-02 05:00:00+00:00,2019,2019-07,0.964337267555404,200.0,0.23775154963063969,192.8674535110808,5000.0,5192.86745351108
0.04,2019-07-02 06:00:00+00:00,2019,2019-07,0.9402152251893188,207.71469814044323,0.41393921510650067,195.2965216872482,5192.86745351108,5388.163975198328
0.04,2019-07-03 15:00:00+00:00,2019,2019-07,0.9827214533726079,215.52655900793314,0.12413285664199866,211.80257330867317,5388.163975198328,5599.966548507002
0.04,2019-07-04 17:00:00+00:00,2019,2019-07,0.9445002378561228,223.99866194028007,0.41439574860774375,211.56678948204777,5599.966548507002,5811.53333798905
0.04,2019-07-05 10:00:00+00:00,2019,2019-07,0.9720097033028552,232.461333519562,0.2168887231942157,225.95467182373554,5811.53333798905,6037.488009812785
0.04,2019-07-05 23:00:00+00:00,2019,2019-07,0.9805859349721271,241.4995203925114,0.15628291310334488,236.81103299941108,6037.488009812785,6274.299042812197
0.04,2019-07-09 18:00:00+00:00,2019,2019-07,0.9640164496230297,250.97196171248788,0.30102874091627907,241.9410994849995,6274.299042812197,6516.240142297196
0.04,2019-07-10 13:00:00+00:00,2019,2019-07,0.9515078741975703,260.64960569188787,0.42131511565215735,248.01015222232314,6516.240142297196,6764.250294519519
0.04,2019-07-10 21:00:00+00:00,2019,2019-07,0.9611994900504403,270.57001178078076,0.3499418144717565,260.0717573466281,6764.250294519519,7024.322051866147
0.04,2019-07-12 07:00:00+00:00,2019,2019-07,-1.0513321926179402,280.9728820746459,0.48076513676911825,-295.3958361777194,7024.322051866147,6728.926215688428
0.04,2019-07-12 10:00:00+00:00,2019,2019-07,-1.0537304267731058,269.1570486275371,0.4820641030582393,-283.6189717192843,6728.926215688428,6445.307243969143
0.04,2019-07-12 15:00:00+00:00,2019,2019-07,-1.0564986951491846,257.81228975876576,0.4855352654931259,-272.3783477235595,6445.307243969143,6172.928896245584
0.04,2019-07-12 17:00:00+00:00,2019,2019-07,0.9195032198712058,246.91715584982336,0.6625345334823485,227.0411198453529,6172.928896245584,6399.970016090937
0.04,2019-07-15 15:00:00+00:00,2019,2019-07,0.951998902832066,255.99880064363748,0.4096074434856602,243.71057733906767,6399.970016090937,6643.680593430005
0.04,2019-07-15 17:00:00+00:00,2019,2019-07,0.9233856256840578,265.7472237372002,0.6786685757608101,245.38716646437592,6643.680593430005,6889.06775989438
0.04,2019-07-18 19:00:00+00:00,2019,2019-07,0.9797572801496036,275.56271039577524,0.18593795825858603,269.98457164801766,6889.06775989438,7159.052331542398
0.04,2019-07-22 18:00:00+00:00,2019,2019-07,-1.1110582262414663,286.3620932616959,1.0600955380145771,-318.1649594021332,7159.052331542398,6840.887372140265
0.04,2019-07-23 01:00:00+00:00,2019,2019-07,0.9306793424440459,273.6354948856106,0.6322864145373144,254.6669024494912,6840.887372140265,7095.5542745897565
0.04,2019-07-23 02:00:00+00:00,2019,2019-07,0.9410211762062604,283.82217098359024,0.5579832603732603,267.08267317239245,7095.5542745897565,7362.636947762149
0.04,2019-07-23 19:00:00+00:00,2019,2019-07,-1.0459749983580342,294.505477910486,0.45132962877888966,-308.04536677385266,7362.636947762149,7054.591580988296
0.04,2019-07-23 20:00:00+00:00,2019,2019-07,-1.0357203606055445,282.1836632395319,0.33599007359698696,-292.2633654474415,7054.591580988296,6762.328215540855
0.04,2019-07-24 04:00:00+00:00,2019,2019-07,0.9473934717803559,270.4931286216342,0.47432348013512693,256.2634242175804,6762.328215540855,7018.591639758435
0.04,2019-07-24 09:00:00+00:00,2019,2019-07,0.9394166690707692,280.7436655903374,0.5669462132914914,263.73527919159267,7018.591639758435,7282.326918950028
0.04,2019-07-24 21:00:00+00:00,2019,2019-07,-1.0439606447561247,291.2930767580011,0.4268477155759025,-304.0985082252782,7282.326918950028,6978.22841072475
0.04,2019-07-24 23:00:00+00:00,2019,2019-07,0.9417039113899456,279.12913642898997,0.542404562363746,262.8569995580776,6978.22841072475,7241.085410282827
0.04,2019-07-25 03:00:00+00:00,2019,2019-07,0.9329544728944504,289.64341641131307,0.6473098508649554,270.2241208853644,7241.085410282827,7511.309531168192
0.04,2019-07-25 22:00:00+00:00,2019,2019-07,-1.0323654521916033,300.45238124672767,0.32414257270314384,-310.17665842782196,7511.309531168192,7201.13287274037
0.04,2019-07-26 16:00:00+00:00,2019,2019-07,0.9530631858921338,288.0453149096148,0.4506643133518127,274.5253855090604,7201.13287274037,7475.65825824943
0.04,2019-07-26 16:00:00+00:00,2019,2019-07,0.9016899957867052,299.0263303299772,0.9799093264875385,269.62905053535104,7475.65825824943,7745.287308784781
0.04,2019-07-29 04:00:00+00:00,2019,2019-07,-1.0556601023085685,309.8114923513912,0.5748046453549586,-327.05563171203994,7745.287308784781,7418.231677072741
0.04,2019-07-29 17:00:00+00:00,2019,2019-07,-1.0564440263405475,296.72926708290964,0.5582864855746364,-313.4778616501487,7418.231677072741,7104.753815422592
0.04,2019-07-29 18:00:00+00:00,2019,2019-07,0.9073583906828997,284.1901526169037,0.8775944363500773,257.8623195264014,7104.753815422592,7362.616134948994
0.04,2019-07-30 12:00:00+00:00,2019,2019-07,0.9326037420969852,294.5046453979598,0.6616170344958942,274.65613436308297,7362.616134948994,7637.272269312077
0.04,2019-07-31 09:00:00+00:00,2019,2019-07,0.9138885471767767,305.49089077248306,0.876875480955971,279.1846263438039,7637.272269312077,7916.4568956558805
0.04,2019-07-31 22:00:00+00:00,2019,2019-07,0.9800624709244368,316.65827582623524,0.2104461193767759,310.34489224493194,7916.4568956558805,8226.801787900813
0.04,2019-08-01 09:00:00+00:00,2019,2019-08,-1.0297429360526875,200.0,0.1982862403512505,-205.9485872105375,5000.0,4794.051412789462
