strategy,trades,net_r,expectancy_r,win_rate_pct,profit_factor,avg_win_r,avg_loss_r,avg_rr,max_drawdown_r,ulcer_r,mar,positive_years,positive_months,max_win_streak,max_loss_streak,first_trade,last_trade
sdr001_raw,13720,-1110.4006382820523,-0.08093299112842947,50.393586005830905,0.8497349190477961,0.9081879251440529,-1.0857496257314183,0.8364616515821955,-1141.1245261027796,783.6126219980608,-0.12163447249643551,0/8,14/88,12,11,2019-02-28 00:00:00+00:00,2026-06-18 16:30:00+00:00
sdr001_sleeve1_replay_only,1032,256.10667497371514,0.24816538272646815,63.856589147286826,1.6837572732457415,0.9570023602000353,-1.0041766230512283,0.953021946768834,-12.694926116838438,2.6208879747970517,2.5217424723135795,8/8,53/80,18,5,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00
sdr002_clean,296,51.686667511371155,0.1746171199708485,60.810810810810814,1.4391798971803302,0.940976241705059,-1.014560827547754,0.9274714892939906,-7.638104240876551,2.5836067361805704,0.8458687175732951,8/8,41/74,13,5,2019-06-12 20:00:00+00:00,2026-06-18 15:35:00+00:00
