risk_pct,entry_timestamp,year,month,net_r,risk_usd,lot,pnl_usd,equity_before,equity_after
0.03,2019-06-12 20:00:00+00:00,2019,2019-06,-1.0470008952551462,150.0,0.23500447627573107,-157.05013428827192,5000.0,4842.949865711728
0.03,2019-06-21 14:00:00+00:00,2019,2019-06,0.979507996760312,145.28849597135184,0.09924174433781166,142.3112436412175,4842.949865711728,4985.261109352946
0.03,2019-06-27 16:00:00+00:00,2019,2019-06,-1.0402029290705463,149.55783328058837,0.20042209877746942,-155.57049624391246,4985.261109352946,4829.690613109034
0.03,2019-08-05 19:00:00+00:00,2019,2019-08,0.9653041668043475,150.0,0.1734791659782623,144.79562502065212,5000.0,5144.795625020653
0.03,2019-08-15 15:00:00+00:00,2019,2019-08,-1.0367402638300844,154.34386875061958,0.18902114861512254,-160.01450320907327,5144.795625020653,4984.781121811579
0.03,2019-08-15 18:00:00+00:00,2019,2019-08,-1.0311434079786446,149.54343365434738,0.1552430721608237,-154.20072581917208,4984.781121811579,4830.580395992407
0.03,2019-08-23 16:00:00+00:00,2019,2019-08,0.964395917398529,144.9174118797722,0.17198838343196,139.7577603768134,4830.580395992407,4970.33815636922
0.03,2019-09-10 16:00:00+00:00,2019,2019-09,-1.0343625742477052,150.0,0.17181287123852584,-155.15438613715577,5000.0,4844.845613862844
0.03,2019-09-11 18:00:00+00:00,2019,2019-09,0.9660600575362834,145.34536841588533,0.16443378138009454,140.4123549744825,4844.845613862844,4985.257968837327
0.03,2019-10-01 17:05:00+00:00,2019,2019-10,0.9800537598662651,150.0,0.09973120066867448,147.00806397993975,5000.0,5147.00806397994
0.03,2019-10-02 17:25:00+00:00,2019,2019-10,0.9687792694349052,154.4102419193982,0.16069335198188758,149.58944135994156,5147.00806397994,5296.5975053398815
0.03,2019-10-04 19:15:00+00:00,2019,2019-10,0.9570218165445535,158.89792516019645,0.2276381392741576,152.0687809819717,5296.5975053398815,5448.6662863218535
0.03,2020-01-08 17:25:00+00:00,2020,2020-01,-1.0445566612208528,150.0,0.22278330610426433,-156.6834991831279,5000.0,4843.316500816872
0.03,2020-01-10 15:35:00+00:00,2020,2020-01,-0.5159088627923363,145.29949502450614,0.1458390996933688,-74.96129724239368,4843.316500816872,4768.355203574478
0.03,2020-01-31 19:45:00+00:00,2020,2020-01,-1.0429430289149735,143.05065610723432,0.20476761538396343,-149.1936845687532,4768.355203574478,4619.161519005725
0.03,2020-02-05 16:35:00+00:00,2020,2020-02,0.9574915995303832,150.0,0.21254200234808387,143.62373992955747,5000.0,5143.623739929558
0.03,2020-02-21 18:25:00+00:00,2020,2020-02,-1.0484719785800025,154.30871219788673,0.24932161974545805,-161.78836079025047,5143.623739929558,4981.835379139307
