,short_M15_ny_sw3_atr1.5_prox0.5_wait5_RR4,long_M5_ny_sw7_atr2.0_prox1.0_wait3_RR4,long_M5_overlap_sw7_atr2.0_prox1.0_wait3_RR4,Martin_Luke,TraderzDen,total_$
2019-10,525.1700000000064,634.2400000000334,-155.14285714285143,27.900000000017826,779.4900000000744,1811.6571428572806
2019-11,628.4307142857233,-231.5328571428645,-262.77999999999884,-153.90000000000236,358.60000000002856,338.81785714288617
2019-12,15.918214285707109,154.94142857142378,154.94142857142378,1701.2500000000455,-417.3899999996811,1609.661071428919
2020-01,-35.138571428568866,806.23571428581,901.2085714286641,716.0500000000293,74.95000000019536,2463.30571428613
2020-02,0.0,643.4242857142544,643.4242857142544,2766.4800000000187,-794.5099999999984,3258.818571428529
2020-03,998.393571428579,-834.5385714285758,-698.2685714285763,704.5199999999959,70.46000000001186,240.5664285714347
2020-04,474.95178571428823,2095.6271428571135,647.3871428571338,1216.0500000000102,2609.880000000313,7043.896071428859
2020-05,-325.75071428570845,97.92999999998938,-138.40000000000782,-9.219999999988431,-1050.139999999994,-1425.5807142857093
2020-06,-139.29142857143233,-146.3371428571445,-154.44000000000233,495.21999999999844,-341.49999999996817,-286.3485714285489
2020-07,-241.43714285714395,125.53714285714614,0.0,2961.910000000007,-213.7900000001091,2632.2199999999
2020-08,843.1292857142944,-289.43714285714213,0.0,106.72999999999956,191.40000000000055,851.8221428571524
2020-09,-380.350000000004,216.9100000000044,-21.32571428571009,-150.8799999999992,-733.3400000000483,-1068.9857142857572
2020-10,776.3410714285901,-146.4728571428559,0.0,0.0,432.7600000000675,1062.6282142858017
2020-11,46.95714285714348,-340.4499999999962,-181.84000000000196,0.0,-163.79999999999563,-639.1328571428503
2020-12,-308.49285714285725,199.75999999998749,-349.80000000000655,919.5300000000079,52.86000000003423,513.8571428571659
2021-01,239.16071428571286,326.81428571429115,497.4200000000001,-292.59999999999945,392.8999999999942,1163.6949999999988
2021-02,591.2775000000074,-302.4771428571412,-2.24428571428507,0.0,395.1900000000087,681.7460714285899
2021-03,160.70000000000073,521.6514285714366,432.88000000000557,0.0,-495.38000000001375,619.8514285714291
2021-04,-114.01714285714115,642.4114285714386,451.9857142857236,-302.8299999999954,425.7399999999443,1103.28999999997
2021-05,-492.5707142857136,-125.72142857142535,-150.82571428571282,847.7800000000134,2735.650000000035,2814.3121428571967
2021-06,0.0,392.892857142856,396.58857142856596,-236.61999999999898,280.1600000000599,833.0214285714828
2021-07,390.04178571428565,-212.87285714284553,-150.32285714285354,0.0,39.289999999978136,66.13607142856472
2021-08,184.6592857142814,-414.8414285714316,-273.6228571428637,0.0,-868.5599999999531,-1372.364999999967
2021-09,-378.39964285714177,-162.36000000000604,-162.36000000000604,-146.70000000000073,452.03999999995267,-397.7796428572019
2021-10,-556.7682142857138,110.70714285714985,110.70714285714985,-154.55999999999403,110.37000000011176,-379.5439285712964
2021-11,798.7371428571423,972.9442857142812,972.9442857142812,1491.069999999986,370.64000000006763,4606.3357142857585
2021-12,382.2799999999979,-18.579999999989923,146.36285714287442,393.00000000001637,440.1700000000292,1343.232857142928
2022-01,179.6467857142825,305.08428571429795,-248.1599999999944,-1053.140000000004,3232.6800000005096,2416.1110714290917
2022-02,-156.1457142857098,1134.1642857142706,1335.4042857142695,837.4600000000037,53.66999999942982,3204.5528571422637
2022-03,506.1085714285646,159.39999999999964,159.39999999999964,429.1300000000001,796.2799999999988,2050.318571428563
2022-04,103.35214285714119,214.44285714284888,540.559999999995,-505.9999999999991,381.50000000001,733.8549999999959
2022-05,122.57607142857705,-459.83428571427794,107.46714285714825,0.0,105.78999999996995,-124.00107142858269
2022-06,-18.459999999998217,-25.83857142857596,-240.80571428571602,0.0,-718.9000000000033,-1004.0042857142935
2022-07,121.20071428572373,-522.4057142857191,-169.79142857144143,0.0,0.0,-570.9964285714368
2022-08,3.82571428571282,-43.16571428572115,-217.67571428572137,0.0,494.7900000002073,237.77428571447763
2022-09,172.72785714285965,446.74428571429235,-111.57571428570373,0.0,483.84000000015385,991.7364285716021
2022-10,36.25571428571402,260.5199999999868,591.6857142857025,0.0,-548.6199999999926,339.8414285714107
