,Martin_Luke,TraderzDen,FVG_short_age4h,FVG_long_age4h,VWAP_short_M15,VWAP_long_M5,total_$
2019-10,27.900000000017826,779.4900000000744,626.849999999934,0.0,525.1700000000064,634.2400000000334,2593.650000000066
2019-11,-153.90000000000236,358.60000000002856,328.4599999999082,-164.30000000000928,628.4307142857233,-231.5328571428645,765.7578571427839
2019-12,1701.2500000000455,-417.3899999996811,0.0,-168.54000000004908,15.918214285707109,154.94142857142378,1286.1796428574462
2020-01,716.0500000000293,74.95000000019536,0.0,0.0,-35.138571428568866,806.23571428581,1562.0971428574658
2020-02,2766.4800000000187,-794.5099999999984,0.0,685.3799999999756,0.0,643.4242857142544,3300.7742857142503
2020-03,704.5199999999959,70.46000000001186,405.4200000000001,0.0,998.393571428579,-834.5385714285758,1344.255000000011
2020-04,1216.0500000000102,2609.880000000313,530.7400000000653,1293.2499999999936,474.95178571428823,2095.6271428571135,8220.498928571784
2020-05,-9.219999999988431,-1050.139999999994,0.0,-365.7799999999752,-325.75071428570845,97.92999999998938,-1652.9607142856767
2020-06,495.21999999999844,-341.49999999996817,38.42999999999938,1217.8999999999405,-139.29142857143233,-146.3371428571445,1124.4214285713933
2020-07,2961.910000000007,-213.7900000001091,-164.64000000000578,-147.44999999999982,-241.43714285714395,125.53714285714614,2320.1299999998946
2020-08,106.72999999999956,191.40000000000055,0.0,-150.09999999999854,843.1292857142944,-289.43714285714213,701.7221428571538
2020-09,-150.8799999999992,-733.3400000000483,588.6000000000022,-181.4499999999971,-380.350000000004,216.9100000000044,-640.510000000042
2020-10,0.0,432.7600000000675,-303.25000000000273,0.0,776.3410714285901,-146.4728571428559,759.378214285799
2020-11,0.0,-163.79999999999563,336.5200000000332,37.419999999994616,46.95714285714348,-340.4499999999962,-83.35285714282054
2020-12,919.5300000000079,52.86000000003423,0.0,1454.6499999998614,-308.49285714285725,199.75999999998749,2318.307142857034
2021-01,-292.59999999999945,392.8999999999942,-140.60000000000036,0.0,239.16071428571286,326.81428571429115,525.6749999999984
2021-02,0.0,395.1900000000087,585.0600000000159,0.0,591.2775000000074,-302.4771428571412,1269.0503571428908
2021-03,0.0,-495.38000000001375,1009.5199999997467,345.9999999999982,160.70000000000073,521.6514285714366,1542.4914285711684
2021-04,-302.8299999999954,425.7399999999443,-179.33999999999742,377.5799999999981,-114.01714285714115,642.4114285714386,849.544285714247
2021-05,847.7800000000134,2735.650000000035,0.0,0.0,-492.5707142857136,-125.72142857142535,2965.1378571429095
2021-06,-236.61999999999898,280.1600000000599,0.0,-449.9999999998636,0.0,392.892857142856,-13.567142856946703
2021-07,0.0,39.289999999978136,546.9599999999245,625.5600000000177,390.04178571428565,-212.87285714284553,1388.9789285713605
2021-08,0.0,-868.5599999999531,652.3599999999133,21.890000000008513,184.6592857142814,-414.8414285714316,-424.49214285718153
2021-09,-146.70000000000073,452.03999999995267,0.0,-165.00000000000273,-378.39964285714177,-162.36000000000604,-400.4196428571986
2021-10,-154.55999999999403,110.37000000011176,540.0,297.5099999994627,-556.7682142857138,110.70714285714985,347.25892857101644
2021-11,1491.069999999986,370.64000000006763,-165.88999999999578,0.0,798.7371428571423,972.9442857142812,3467.5014285714815
2021-12,393.00000000001637,440.1700000000292,0.0,-326.2599999999866,382.2799999999979,-18.579999999989923,870.610000000067
2022-01,-1053.140000000004,3232.6800000005096,580.5200000000032,0.0,179.6467857142825,305.08428571429795,3244.7910714290892
2022-02,837.4600000000037,53.66999999942982,0.0,-256.63000000000284,-156.1457142857098,1134.1642857142706,1612.5185714279914
2022-03,429.1300000000001,796.2799999999988,1136.4400000000878,59.33999999999742,506.1085714285646,159.39999999999964,3086.6985714286484
2022-04,-505.9999999999991,381.50000000001,439.1600000000017,0.0,103.35214285714119,214.44285714284888,632.4550000000027
2022-05,0.0,105.78999999996995,588.0000000000045,0.0,122.57607142857705,-459.83428571427794,356.5317857142736
2022-06,0.0,-718.9000000000033,579.2799999999788,0.0,-18.459999999998217,-25.83857142857596,-183.91857142859863
2022-07,0.0,0.0,582.5400000000245,0.0,121.20071428572373,-522.4057142857191,181.33500000002914
2022-08,0.0,494.7900000002073,-164.7300000000032,392.6400000000094,3.82571428571282,-43.16571428572115,683.3600000002052
2022-09,0.0,483.84000000015385,0.0,0.0,172.72785714285965,446.74428571429235,1103.3121428573058
2022-10,0.0,-548.6199999999926,103.96999999987474,-155.9400000000005,36.25571428571402,260.5199999999868,-303.81428571441757
2022-11,-834.9299999999976,1260.5900000000365,386.3300000000181,1002.0400000001337,-314.2689285714323,-10.50000000000091,1489.2610714287575
2022-12,824.3499999999976,1960.9100000000153,-315.60000000000764,-151.600000000004,126.32571428571737,405.4285714285079,2849.8142857142266
2023-01,708.9099999999899,-1017.8500000000367,1017.0999999999558,577.9200000000183,-358.6246428571412,1063.0214285714019,1990.4767857141878
2023-02,-153.13999999999942,-198.8600000000115,-160.15999999999622,-11.87999999999829,415.78250000000025,-586.680000000003,-694.9375000000082
2023-03,191.64999999999873,569.9199999998891,0.0,-363.5199999999877,-246.63500000000295,156.3699999999999,307.7849999998971
2023-04,-110.43999999999596,1612.1599999997634,0.0,324.8799999995508,1185.0914285714298,5.978571428576288,3017.6699999993243
2023-05,271.09000000000196,-525.3599999999942,-162.8999999999969,566.0999999999594,-300.4049999999979,-403.7942857142825,-555.2692857143102
2023-06,0.0,297.81999999999425,912.5600000002778,0.0,330.67999999999574,186.0299999999952,1727.090000000263
2023-07,-572.3799999999992,686.7399999999298,0.0,0.0,310.2550000000201,363.32571428571373,787.9407142856644
2023-08,0.0,-761.6999999998834,1040.8000000000184,-245.73000000000138,-604.8789285714329,-414.5014285714233,-986.0103571427226
2023-09,0.0,-125.03999999980988,1194.4200000000064,-127.01000000000568,488.58142857142866,-117.4028571428662,1313.5485714287533
2023-10,-566.0700000000033,-149.5200000000059,1106.7399999998433,-322.84000000001015,61.37999999999647,158.5642857142775,288.25428571409793
2023-11,1065.799999999992,247.1500000000533,1436.4600000008068,213.37000000000353,-154.00000000000364,-366.9099999999926,2441.8700000008594
2023-12,1168.980000000006,21.40000000016971,0.0,0.0,-440.088928571422,882.4471428571378,1632.7382142858914
2024-01,-203.96000000000367,-377.6399999999503,-175.12000000000444,-67.31999999999243,150.3100000000013,-467.1142857142695,-1140.844285714219
2024-02,-56.9200000000028,-556.0100000000184,-159.53000000000338,385.5600000001041,-155.08607142857272,-131.23857142857014,-673.2246428570634
2024-03,4267.309999999989,-429.30000000027303,-159.4800000000041,1227.3999999999578,359.15000000000055,575.2571428571391,5840.337142856809
2024-04,172.86000000001422,63.85999999997148,0.0,1078.0400000004192,-463.8439285714376,404.2400000000134,1255.1560714289808
2024-05,-407.21000000000276,-131.4699999999957,533.8399999999692,-153.3000000000011,808.2500000000064,648.4771428570975,1298.5871428570736
2024-06,0.0,-157.8000000000011,438.7000000004282,688.0399999999909,-18.880000000001928,567.0600000000295,1517.1200000004455
2024-07,1879.529999999996,970.3200000004081,585.8999999999996,867.6200000006311,176.84607142857567,344.2071428571453,4824.423214286756
2024-08,894.5100000000111,1526.3899999999558,-160.59999999999582,-179.129999999991,14.00571428571493,-417.1628571428664,1678.0128571428286
2024-09,2357.4699999999975,1390.070000000418,0.0,412.9900000000189,-220.1025000000036,2.7014285714003563,3943.1289285718312
2024-10,2304.4599999999837,-1164.9100000000753,0.0,241.13000000000648,-147.3482142857174,-51.132857142854846,1182.1989285713425
2024-11,-219.13999999999578,384.6000000000158,404.02999999997246,581.6799999999394,439.38000000000557,143.08857142857687,1733.6385714285143
2024-12,-214.38000000000102,-454.40000000001055,0.0,887.679999999561,-267.55857142857803,132.12285714285008,83.46428571382148
2025-01,1849.939999999965,133.54000000002816,0.0,321.13999999998305,208.33535714283607,67.69714285714963,2580.652499999962
2025-02,1310.3699999999908,1102.3900000000021,-147.52000000000135,635.9799999999659,241.01928571427925,-573.521428571431,2568.7178571428058
2025-03,2127.0399999999954,480.0399999999836,0.0,561.2999999999902,-17.91714285713715,116.21857142857152,3266.6814285714036
2025-04,1533.2099999999891,226.69000000008054,0.0,2037.41000000019,0.7500000000063665,1212.3085714285407,5010.368571428807
2025-05,-451.15000000000055,607.0199999999913,0.0,0.0,227.15428571428492,-410.2085714285731,-27.184285714297403
2025-06,-640.3999999999969,673.7999999999565,-146.89999999999964,-179.33999999997468,-141.25571428571584,-135.649999999986,-569.7457142857165
2025-07,296.9699999999975,-802.9399999999914,0.0,193.2299999998495,743.8982142857021,-324.3142857142784,106.84392857127932
2025-08,1081.609999999987,773.4899999997269,0.0,960.9599999999919,-131.82000000000517,-27.524285714283906,2656.7157142854167
2025-09,3240.9400000000005,1220.2899999999818,-156.00000000000273,1024.2300000000032,130.37000000000444,-510.7942857142816,4949.035714285706
2025-10,2237.4800000000023,632.9299999999703,193.68000000015036,0.0,-261.43285714285685,-146.9900000000007,2655.6671428572654
2025-11,-185.13999999999942,398.680000000013,410.5999999999549,0.0,109.96535714285164,780.8971428571458,1515.002499999966
2025-12,1237.949999999989,-433.7600000000175,0.0,231.38000000000193,-280.89500000000317,1355.371428571416,2110.046428571386
2026-01,1372.6599999999862,1081.3600000000324,0.0,180.64000000010492,-280.1957142857227,432.14571428572344,2786.6100000001243
2026-02,583.6699999999973,-152.28000000005704,0.0,376.6400000000067,-64.40964285713926,782.2542857142735,1525.8746428570812
2026-03,-248.98000000000047,-437.75999999999385,0.0,434.25000000022555,1165.1853571428464,-0.8628571428507712,911.8325000002269
2026-04,0.0,2012.8500000003778,-143.14999999999964,-408.4399999999887,-166.1842857142792,-394.91428571428423,900.161428571826
2026-05,0.0,-440.1900000000096,304.39999999999145,-131.16000000000258,264.6310714285737,-411.20000000000437,-413.5189285714514
2026-06,0.0,-154.66000000000258,259.2600000000011,-125.70000000000073,-267.5321428571433,268.6157142857119,-20.016428571433607
