tf,direction,session,swing,atr_mult,retest_prox,wait,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
M5,long,london,3,0.8,0.25,3,2.0,333,-33.18339000744952,-4.965732871176795,0.3333333333333333,0.861270726323056,-49.395647378298584,-0.10052976597606925,2/8,"{2019: -4.86, 2020: -1.98, 2021: -13.39, 2022: -7.14, 2023: -5.81, 2024: 1.34, 2025: 4.01, 2026: -5.35}",49.83182989232413,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait3_RR2.0
M5,long,london,3,0.8,0.25,3,3.0,333,5.293846443089649,0.7921983646490346,0.2882882882882883,1.0207312165108458,-31.4337469733932,0.025202161400598645,3/8,"{2019: -4.86, 2020: -1.53, 2021: -12.81, 2022: 7.38, 2023: -7.49, 2024: 10.34, 2025: 16.29, 2026: -2.03}",49.83182989232413,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait3_RR3.0
M5,long,london,3,0.8,0.25,3,4.0,333,22.114671057871767,3.3093529317734824,0.25825825825825827,1.083410689730265,-30.95705996196247,0.10690139618683904,4/8,"{2019: -2.6, 2020: -4.84, 2021: -11.59, 2022: 7.98, 2023: -3.23, 2024: 24.68, 2025: 10.74, 2026: 0.97}",49.83182989232413,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait3_RR4.0
M5,long,london,3,0.8,0.25,5,2.0,447,-39.986411391260305,-5.966456761467232,0.33557046979865773,0.8749849435065201,-61.47539124866505,-0.09705439266475259,2/8,"{2019: -4.54, 2020: -12.24, 2021: -12.88, 2022: -9.0, 2023: 3.06, 2024: -0.27, 2025: 0.33, 2026: -4.45}",66.69781257136697,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait5_RR2.0
M5,long,london,3,0.8,0.25,5,3.0,447,-2.127587122594047,-0.31746176092177114,0.2841163310961969,0.9938090394020832,-51.02127208788667,-0.006222145154964532,4/8,"{2019: -2.54, 2020: -13.5, 2021: -21.57, 2022: 8.53, 2023: 6.39, 2024: 9.93, 2025: 12.61, 2026: -1.98}",66.69781257136697,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait5_RR3.0
M5,long,london,3,0.8,0.25,5,4.0,447,19.759512635410193,2.9483585464388065,0.2550335570469799,1.0553909732014137,-52.582536600976404,0.056071059652608286,5/8,"{2019: 1.72, 2020: -13.81, 2021: -20.13, 2022: 12.12, 2023: 10.94, 2024: 24.27, 2025: 5.06, 2026: -0.42}",66.69781257136697,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait5_RR4.0
M5,long,london,3,0.8,0.25,8,2.0,516,-39.868134925997786,-5.948825357187724,0.3430232558139535,0.8911321218109195,-65.63390874010864,-0.090636463245597,1/8,"{2019: -6.84, 2020: -3.11, 2021: -15.99, 2022: -7.01, 2023: -4.82, 2024: 1.47, 2025: -0.1, 2026: -3.47}",76.99366649597648,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait8_RR2.0
M5,long,london,3,0.8,0.25,8,3.0,516,4.014956645205466,0.5990818467766554,0.2926356589147287,1.0102305197125652,-55.502546759843824,0.010793772209568085,4/8,"{2019: -4.84, 2020: -0.51, 2021: -32.86, 2022: 10.52, 2023: 4.94, 2024: 11.58, 2025: 15.18, 2026: -0.0}",76.99366649597648,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait8_RR3.0
M5,long,london,3,0.8,0.25,8,4.0,516,30.18355541014695,4.503764726573025,0.2655038759689923,1.0742166493037886,-59.26999076305675,0.07598726891282463,6/8,"{2019: -0.58, 2020: 0.43, 2021: -31.42, 2022: 12.04, 2023: 11.5, 2024: 26.25, 2025: 9.42, 2026: 2.55}",76.99366649597648,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.25_wait8_RR4.0
M5,long,london,3,0.8,0.5,3,2.0,457,-41.62405192533071,-6.228836861778819,0.3347921225382932,0.8731927927775263,-59.33883765098197,-0.1049706584819789,2/8,"{2019: -2.87, 2020: -13.61, 2021: -20.47, 2022: -0.16, 2023: -13.53, 2024: 13.9, 2025: 11.7, 2026: -16.59}",68.38782660898536,False,False,False,False,False,long_M5_sw3_sesslondon_atr0.8_prox0.5_wait3_RR2.0
