tf,direction,session,swing,atr_mult,retest_prox,wait,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
M5,short,all,5,1.2,0.25,5,2.0,908,-64.55542046056497,-9.623672865069812,0.3491189427312775,0.8982772228354111,-106.7361922274009,-0.09016316456714726,3/8,"{2019: -19.05, 2020: -17.57, 2021: -18.58, 2022: 4.41, 2023: -6.73, 2024: -33.58, 2025: 22.01, 2026: 4.54}",135.36113465206782,False,False,False,False,False,short_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR2.0
M5,short,all,5,1.2,0.25,5,3.0,908,-11.896340866017441,-1.7734605702994317,0.29625550660792954,0.9825586835398377,-64.86751773205717,-0.027339732308316732,3/8,"{2019: -15.96, 2020: 11.73, 2021: -8.95, 2022: -3.55, 2023: -5.3, 2024: -26.68, 2025: 24.1, 2026: 12.72}",135.36113465206782,False,False,False,False,False,short_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR3.0
M5,short,all,5,1.2,0.25,5,4.0,908,-7.7592431258467265,-1.1567180105240862,0.26762114537444937,0.9890611118980518,-103.91240462123307,-0.011131664354610911,3/8,"{2019: -12.26, 2020: 28.27, 2021: -24.85, 2022: -9.26, 2023: -22.82, 2024: -16.89, 2025: 36.29, 2026: 13.78}",135.36113465206782,False,False,False,False,False,short_M5_sw5_sessall_atr1.2_prox0.25_wait5_RR4.0
M5,short,london,5,1.2,0.25,5,2.0,352,-22.256221460077487,-3.3288209920709666,0.34375,0.9088693015689214,-56.56782865296891,-0.05884654000938493,3/8,"{2019: -4.29, 2020: -16.47, 2021: -3.81, 2022: 2.36, 2023: -13.76, 2024: -7.86, 2025: 17.44, 2026: 4.13}",52.647974918420886,False,False,False,False,False,short_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR2.0
M5,short,london,5,1.2,0.25,5,3.0,352,10.375466154456678,1.551838868939659,0.30113636363636365,1.0403791892865053,-34.15007427925741,0.04544174212476716,3/8,"{2019: -1.2, 2020: -4.13, 2021: 3.86, 2022: -2.03, 2023: -10.04, 2024: -6.86, 2025: 19.64, 2026: 11.13}",52.647974918420886,False,False,False,False,False,short_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR3.0
M5,short,london,5,1.2,0.25,5,4.0,352,23.857921181201558,3.568384193049892,0.2727272727272727,1.0893182722246595,-49.96097900547137,0.07142342412183532,4/8,"{2019: 0.83, 2020: 2.75, 2021: -3.14, 2022: -7.66, 2023: -13.58, 2024: -0.91, 2025: 30.87, 2026: 14.7}",52.647974918420886,False,False,False,False,False,short_M5_sw5_sesslondon_atr1.2_prox0.25_wait5_RR4.0
M5,short,ny,5,1.2,0.25,5,2.0,287,-11.485143990161031,-1.7278248851420912,0.3588850174216028,0.9383302231296242,-39.17641540247891,-0.044103700335808724,3/8,"{2019: -3.05, 2020: -6.33, 2021: -10.6, 2022: 7.18, 2023: -1.4, 2024: -13.68, 2025: 9.21, 2026: 7.19}",43.17627558353558,False,False,False,False,False,short_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR2.0
M5,short,ny,5,1.2,0.25,5,3.0,287,-6.698820469346023,-1.0077704483244356,0.313588850174216,0.9660205603293921,-32.492639765018765,-0.0310153454940091,4/8,"{2019: -2.96, 2020: 1.67, 2021: -11.81, 2022: -0.41, 2023: 6.59, 2024: -17.43, 2025: 3.46, 2026: 14.19}",43.17627558353558,False,False,False,False,False,short_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR3.0
M5,short,ny,5,1.2,0.25,5,4.0,287,7.472533339048319,1.1241678005362632,0.29965156794425085,1.037271773020041,-37.046971749747385,0.03034439111865948,5/8,"{2019: -1.96, 2020: 8.84, 2021: -18.59, 2022: 5.33, 2023: 3.57, 2024: -14.43, 2025: 12.46, 2026: 12.25}",43.17627558353558,False,False,False,False,False,short_M5_sw5_sessny_atr1.2_prox0.25_wait5_RR4.0
M5,short,london_ny,5,1.2,0.25,5,2.0,470,-23.154465735761445,-3.4631696912096714,0.35319148936170214,0.9270063191142168,-67.0172532788419,-0.051675792751462,3/8,"{2019: -4.52, 2020: -21.93, 2021: -6.72, 2022: 8.31, 2023: -10.68, 2024: -17.92, 2025: 22.26, 2026: 8.06}",70.29701196493697,False,False,False,False,False,short_M5_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR2.0
M5,short,london_ny,5,1.2,0.25,5,3.0,470,12.970888363383088,1.9400312648438356,0.3127659574468085,1.0389191287040218,-36.26355820368889,0.0534980945318953,4/8,"{2019: -1.44, 2020: -8.59, 2021: 1.82, 2022: 2.35, 2023: -2.09, 2024: -14.92, 2025: 17.78, 2026: 18.06}",70.29701196493697,False,False,False,False,False,short_M5_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR3.0
M5,short,london_ny,5,1.2,0.25,5,4.0,470,30.96464894257297,4.631324036608778,0.28936170212765955,1.0901513719601563,-47.37486866103897,0.097759089734798,3/8,"{2019: 0.59, 2020: -0.72, 2021: -4.96, 2022: -0.54, 2023: -7.56, 2024: -6.97, 2025: 32.0, 2026: 19.12}",70.29701196493697,False,False,False,False,False,short_M5_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR4.0
M5,short,overlap,5,1.2,0.25,5,2.0,149,-15.95754145184548,-2.4429372493582395,0.3221476510067114,0.8457408996013593,-32.115936736932625,-0.07606619945009778,3/8,"{2019: -1.74, 2020: -4.4, 2021: -6.64, 2022: 1.27, 2023: -8.35, 2024: -1.73, 2025: 3.36, 2026: 2.28}",22.810384121689474,False,False,False,False,False,short_M5_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR2.0
M5,short,overlap,5,1.2,0.25,5,3.0,149,-18.194687577451468,-2.7854215611798634,0.26174496644295303,0.8361063295174855,-33.13470502652399,-0.08406356896644054,3/8,"{2019: -1.66, 2020: 0.6, 2021: -8.71, 2022: -3.16, 2023: -6.35, 2024: -7.47, 2025: 3.29, 2026: 5.28}",22.810384121689474,False,False,False,False,False,short_M5_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR3.0
M5,short,overlap,5,1.2,0.25,5,4.0,149,-12.009481248655034,-1.8385293985506592,0.24161073825503357,0.8949523030276162,-37.19100533366065,-0.049434786235440974,3/8,"{2019: -0.66, 2020: 6.29, 2021: -15.71, 2022: -0.16, 2023: -8.44, 2024: -6.47, 2025: 8.29, 2026: 4.86}",22.810384121689474,False,False,False,False,False,short_M5_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR4.0
M15,long,all,5,1.2,0.25,5,2.0,659,32.11669925429881,4.8032242547727,0.40515933232169954,1.0833776336019387,-50.41360702666135,0.09527634577372145,5/8,"{2019: -2.1, 2020: -1.26, 2021: -36.35, 2022: 19.41, 2023: 0.79, 2024: 20.66, 2025: 27.4, 2026: 3.57}",98.55697681857926,False,False,False,False,False,long_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR2.0
M15,long,all,5,1.2,0.25,5,3.0,659,53.53834077075334,8.006945387326757,0.37177541729893776,1.1310434091735466,-56.287915561505095,0.14224981165944348,6/8,"{2019: -0.31, 2020: 7.38, 2021: -43.05, 2022: 16.5, 2023: 0.89, 2024: 32.49, 2025: 36.67, 2026: 2.97}",98.55697681857926,False,False,False,False,False,long_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR3.0
M15,long,all,5,1.2,0.25,5,4.0,659,88.33935470559835,13.211623268418677,0.36418816388467373,1.2135017303927447,-46.07406553542384,0.286747503500879,6/8,"{2019: -2.31, 2020: 17.84, 2021: -37.62, 2022: 25.05, 2023: 1.29, 2024: 36.63, 2025: 41.22, 2026: 6.25}",98.55697681857926,False,False,False,False,False,long_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR4.0
M15,long,london,5,1.2,0.25,5,2.0,245,12.392969422312959,1.8636252045647719,0.4163265306122449,1.0870170961703574,-27.012998576320932,0.06898994198290853,5/8,"{2019: 1.33, 2020: -4.48, 2021: -10.62, 2022: 3.03, 2023: -5.84, 2024: 17.15, 2025: 8.86, 2026: 2.95}",36.84251607175788,False,False,False,False,False,long_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR2.0
M15,long,london,5,1.2,0.25,5,3.0,245,22.49695409872018,3.383038338562031,0.3836734693877551,1.1491896325814965,-27.07985107471121,0.1249282475456933,5/8,"{2019: 2.12, 2020: -5.82, 2021: -11.07, 2022: 7.67, 2023: -7.71, 2024: 26.56, 2025: 8.97, 2026: 1.77}",36.84251607175788,False,False,False,False,False,long_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR3.0
M15,long,london,5,1.2,0.25,5,4.0,245,25.493302239221272,3.8336220304926156,0.37551020408163266,1.166743317454356,-28.924677919055267,0.13253810608439193,5/8,"{2019: 3.12, 2020: -4.82, 2021: -9.46, 2022: 8.73, 2023: -11.56, 2024: 25.88, 2025: 9.89, 2026: 3.72}",36.84251607175788,False,False,False,False,False,long_M15_sw5_sesslondon_atr1.2_prox0.25_wait5_RR4.0
M15,long,ny,5,1.2,0.25,5,2.0,195,13.7239618983843,2.0877546150890347,0.4358974358974359,1.1340782292873968,-26.91723239598253,0.07756200876731434,6/8,"{2019: 4.96, 2020: 4.91, 2021: -13.71, 2022: 8.73, 2023: -9.95, 2024: 10.9, 2025: 4.88, 2026: 3.01}",29.664331113473178,False,False,False,False,False,long_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR2.0
M15,long,ny,5,1.2,0.25,5,3.0,195,26.329637339693406,4.005390154576063,0.4153846153846154,1.2472543120507578,-24.838712109033196,0.16125595147581773,6/8,"{2019: 5.76, 2020: 4.33, 2021: -11.93, 2022: 15.08, 2023: -9.11, 2024: 11.24, 2025: 8.94, 2026: 2.01}",29.664331113473178,False,False,False,False,False,long_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR3.0
M15,long,ny,5,1.2,0.25,5,4.0,195,39.76781731726945,6.049670259279967,0.4153846153846154,1.373448528199749,-23.8387121090332,0.2537750458837735,6/8,"{2019: 6.76, 2020: 6.54, 2021: -10.31, 2022: 16.33, 2023: -9.63, 2024: 14.24, 2025: 12.86, 2026: 2.96}",29.664331113473178,False,True,False,False,False,long_M15_sw5_sessny_atr1.2_prox0.25_wait5_RR4.0
M15,long,london_ny,5,1.2,0.25,5,2.0,310,18.187862214688877,2.7350473712473176,0.42258064516129035,1.1058328224954914,-28.56251357084376,0.09575653642889533,6/8,"{2019: 3.73, 2020: 0.2, 2021: -13.68, 2022: 7.25, 2023: -6.49, 2024: 21.17, 2025: 3.06, 2026: 2.95}",46.61706115202017,False,False,False,False,False,long_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR2.0
M15,long,london_ny,5,1.2,0.25,5,3.0,310,33.0731993213753,4.973468887927433,0.3967741935483871,1.1835064732382463,-29.744710945225677,0.1672051510968112,6/8,"{2019: 4.32, 2020: 0.4, 2021: -13.35, 2022: 14.61, 2023: -8.9, 2024: 30.46, 2025: 3.77, 2026: 1.77}",46.61706115202017,False,False,False,False,False,long_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR3.0
M15,long,london_ny,5,1.2,0.25,5,4.0,310,36.98581216418137,5.561838281983143,0.3903225806451613,1.2028573869612722,-28.744710945225677,0.19349084054389948,6/8,"{2019: 5.32, 2020: 2.61, 2021: -10.74, 2022: 14.37, 2023: -12.75, 2024: 29.77, 2025: 4.69, 2026: 3.72}",46.61706115202017,False,False,False,False,False,long_M15_sw5_sesslondon_ny_atr1.2_prox0.25_wait5_RR4.0
M15,long,overlap,5,1.2,0.25,5,2.0,122,6.325218837122548,0.9622224920491335,0.4344262295081967,1.0907900805039346,-21.2819492561023,0.045213080835310684,6/8,"{2019: 2.7, 2020: 1.26, 2021: -9.61, 2022: 4.51, 2023: -9.71, 2024: 5.47, 2025: 8.69, 2026: 3.01}",18.559222542788348,False,False,False,False,False,long_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR2.0
M15,long,overlap,5,1.2,0.25,5,3.0,122,13.149541848152463,2.0003710942259834,0.4016393442622951,1.178180914563292,-19.284444515183935,0.10372977519009983,5/8,"{2019: 3.7, 2020: -0.86, 2021: -8.61, 2022: 8.15, 2023: -8.33, 2024: 5.93, 2025: 11.16, 2026: 2.01}",18.559222542788348,False,False,False,False,False,long_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR3.0
M15,long,overlap,5,1.2,0.25,5,4.0,122,24.671457123423515,3.7531398623645726,0.4016393442622951,1.3343069168967507,-19.284444515183935,0.19462006589868192,6/8,"{2019: 4.7, 2020: 0.14, 2021: -8.0, 2022: 10.69, 2023: -8.84, 2024: 8.93, 2025: 14.09, 2026: 2.96}",18.559222542788348,False,True,False,False,False,long_M15_sw5_sessoverlap_atr1.2_prox0.25_wait5_RR4.0
M15,short,all,5,1.2,0.25,5,2.0,590,-22.27097162743683,-3.3265432272682327,0.36610169491525424,0.939027395742302,-50.82717350314425,-0.06544812544145205,3/8,"{2019: -7.01, 2020: -11.21, 2021: -6.66, 2022: -15.45, 2023: -1.52, 2024: 13.06, 2025: 1.93, 2026: 4.59}",88.12639775762403,False,False,False,False,False,short_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR2.0
M15,short,all,5,1.2,0.25,5,3.0,590,-14.614856588623073,-2.1829740083044564,0.3305084745762712,0.9621815367338048,-34.83219354114772,-0.06267116096853566,4/8,"{2019: -3.91, 2020: -13.13, 2021: 7.33, 2022: -11.39, 2023: 0.59, 2024: 4.31, 2025: -2.86, 2026: 4.45}",88.12639775762403,False,False,False,False,False,short_M15_sw5_sessall_atr1.2_prox0.25_wait5_RR3.0
