direction,trend_tf,pullback,pullback_tol,confirm,session,swing_lookback,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,H4,ema20,0.5,close,overlap,20,1.0,370,-53.36472187008419,-8.078131175954583,0.5135135135135135,0.7493947042029032,-60.21444524992054,-0.13415603419455638,2/8,"{2019: 0.24, 2020: -14.85, 2021: -8.23, 2022: 0.11, 2023: -15.54, 2024: -2.27, 2025: -10.39, 2026: -2.43}",56.00907173056499,False,False,False,False,False,long_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP1.0R
long,H4,ema20,0.5,close,overlap,20,2.0,370,-27.998063834395463,-4.238231258425928,0.372972972972973,0.8981693111908404,-46.219050257446455,-0.09169879594709103,2/8,"{2019: -4.39, 2020: -9.42, 2021: -11.23, 2022: -0.7, 2023: -10.54, 2024: 2.1, 2025: 6.61, 2026: -0.43}",56.00907173056499,False,False,False,False,False,long_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP2.0R
long,H4,ema20,0.5,close,overlap,20,3.0,370,3.3527409079316115,0.5075240702874088,0.31351351351351353,1.0111054639088297,-46.261786993665076,0.010970697486392112,5/8,"{2019: -0.39, 2020: -12.23, 2021: -24.23, 2022: 1.3, 2023: 2.46, 2024: 11.06, 2025: 20.2, 2026: 5.18}",56.00907173056499,False,False,False,False,False,long_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP3.0R
long,H4,ema20,0.5,close,overlap,20,4.0,370,5.941463313628319,0.8993941754527808,0.26756756756756755,1.0184720797648232,-60.27190066541856,0.014922279960034753,5/8,"{2019: -6.39, 2020: -1.89, 2021: -33.23, 2022: 2.01, 2023: 0.73, 2024: 14.84, 2025: 22.69, 2026: 7.18}",56.00907173056499,False,False,False,False,False,long_trendH4_pbema20_tol0.5_confclose_sessoverlap_sw20_TP4.0R
short,H4,ema20,0.5,close,all,20,1.0,550,-167.81338950218003,-25.140067118285035,0.4618181818181818,0.5491804315515315,-185.07753737281908,-0.1358353232658539,1/8,"{2019: -18.85, 2020: -22.95, 2021: -28.59, 2022: -28.13, 2023: -46.97, 2024: -34.33, 2025: -2.68, 2026: 14.69}",82.39531396198362,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessall_sw20_TP1.0R
short,H4,ema20,0.5,close,all,20,2.0,550,-99.43142112050373,-14.895787565291116,0.35454545454545455,0.7754013327200774,-132.7173757397338,-0.11223690554658486,2/8,"{2019: -18.85, 2020: -15.95, 2021: -5.59, 2022: -15.13, 2023: -35.71, 2024: -35.74, 2025: 2.85, 2026: 24.69}",82.39531396198362,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessall_sw20_TP2.0R
short,H4,ema20,0.5,close,all,20,3.0,550,-74.36663820591183,-11.140840915042457,0.28545454545454546,0.8486572268965864,-124.42890574627307,-0.08953579434155033,2/8,"{2019: -14.85, 2020: -16.95, 2021: 5.2, 2022: -15.98, 2023: -36.71, 2024: -32.74, 2025: -4.15, 2026: 41.82}",82.39531396198362,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessall_sw20_TP3.0R
short,H4,ema20,0.5,close,all,20,4.0,550,-25.892118335824513,-3.878889489856534,0.2509090909090909,0.950049488131518,-90.52435966885038,-0.042849123750181774,3/8,"{2019: -17.85, 2020: -7.95, 2021: 9.2, 2022: -21.68, 2023: -26.71, 2024: -22.74, 2025: 4.03, 2026: 57.82}",82.39531396198362,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sessall_sw20_TP4.0R
short,H4,ema20,0.5,close,london,20,1.0,377,-116.14780207014509,-17.44338752698383,0.46419098143236076,0.5376435721837435,-127.47601164169987,-0.13683662755320908,1/8,"{2019: -12.42, 2020: -13.93, 2021: -20.95, 2022: -17.21, 2023: -26.13, 2024: -31.22, 2025: -2.18, 2026: 7.9}",56.618868204680865,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sesslondon_sw20_TP1.0R
short,H4,ema20,0.5,close,london,20,2.0,377,-69.30453614931892,-10.4083405788457,0.35809018567639256,0.7709319915716499,-92.67757669099694,-0.11230699971309031,1/8,"{2019: -18.42, 2020: -9.93, 2021: -3.95, 2022: -15.21, 2023: -13.87, 2024: -25.64, 2025: -0.18, 2026: 17.9}",56.618868204680865,False,False,False,False,False,short_trendH4_pbema20_tol0.5_confclose_sesslondon_sw20_TP2.0R
