risk_pct,risk_usd_start,fixed_r_total_pnl_usd,fixed_r_max_dd_usd,monthly_reset_total_pnl_usd,monthly_reset_avg_month_pnl_usd,monthly_reset_median_month_pnl_usd,monthly_reset_worst_month_pnl_usd,monthly_reset_best_month_pnl_usd,monthly_reset_positive_months,monthly_reset_months,monthly_reset_worst_dd_usd,monthly_reset_avg_dd_usd,yearly_reset_total_pnl_usd,yearly_reset_avg_year_pnl_usd,yearly_reset_worst_year_pnl_usd,yearly_reset_best_year_pnl_usd,yearly_reset_positive_years,yearly_reset_years,yearly_reset_worst_dd_usd,avg_lot,median_lot,p95_lot,max_lot,min_lot
0.01,50.0,42545.99063923495,-629.8298150272451,44843.291861795355,546.8694129487238,508.27852512921345,-296.18886695182573,1174.9211143684643,80,82,-478.6051949762568,-167.05429269848565,82367.07171422153,10295.883964277691,1325.0673831002268,19812.390453499942,8,8,-754.6940541839649,0.17198686021042336,0.15152997708075555,0.3867917881907464,1.0346321871396444,0.003271817261788344
0.02,100.0,85091.9812784699,-1259.6596300544902,94590.74018837349,1153.5456120533352,1048.9277310496195,-589.5111422888467,2601.0709024894404,80,82,-921.6241256172052,-354.39756808289223,365886.43345603737,45735.80418200467,2933.6173269379133,114087.89174263088,8,8,-7009.454936041278,0.36228726887245066,0.3202928766898754,0.8201282274120766,2.13268280453222,0.007250432804716061
0.03,150.0,127637.97191770485,-1889.4894450817353,149737.2338914696,1826.0638279447512,1628.2816699157079,-878.3857811469843,4326.444732580321,80,82,-1330.563471692792,-565.8110622544777,1376268.159617422,172033.51995217774,4866.83729514269,547925.0496668314,8,8,-47287.669225123245,0.5727888935809975,0.5027259817122747,1.2957061601830038,3.294733459719798,0.012026264626771857
0.04,200.0,170183.9625569398,-2519.3192601089804,210820.3813765793,2570.980260689991,2244.9915876321984,-1161.3590604105939,6406.978690630423,80,82,-1706.9907066009841,-804.3876480961699,5059704.0643062955,632463.0080382869,7166.693925304598,2479022.4113806924,8,8,-274687.62913408014,0.8055388251676511,0.6980715766118062,1.8444867667603388,4.5212151986752245,0.017696317322952546
0.05,250.0,212729.95319617476,-3149.1490751362257,278422.9180983495,3395.401440223774,2899.3252136597935,-1437.1138264316419,8907.61719708958,80,82,-2326.3120129450017,-1074.8505444417924,18653627.053270508,2331703.3816588135,9874.415114394591,10794856.6682701,8,8,-1449321.2225928437,1.062753248758323,0.9064806955731892,2.45177089008416,5.812399951888046,0.024364125850085377
