direction,pivot_lb,impulse_atr,fib,tol,wait_h,session,atr_pad,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,1.0,0.5,0.2,24,all,0.5,3.0,2180,188.42401016627556,28.075717452949135,0.37706422018348623,1.1426706956112225,-84.5826442049104,0.3319323688312787,6/8,"{2019: -18.6, 2020: 34.72, 2021: -56.82, 2022: 9.73, 2023: 22.75, 2024: 90.51, 2025: 80.08, 2026: 26.05}",324.82624689612777,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait24h_sessall_pad0.5_TP3.0R
long,3,1.0,0.5,0.2,24,all,0.5,4.0,2180,239.0825535296233,35.62398557861014,0.3665137614678899,1.1779903409874648,-74.01890024529091,0.48128228682885005,6/8,"{2019: -18.93, 2020: 47.9, 2021: -59.49, 2022: 26.41, 2023: 27.91, 2024: 94.31, 2025: 92.87, 2026: 28.1}",324.82624689612777,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait24h_sessall_pad0.5_TP4.0R
long,3,1.0,0.5,0.2,24,london_ny,0.5,2.0,2024,120.20908780148645,17.91149854741465,0.4125494071146245,1.1032345368595833,-65.84528238550082,0.27202402204837034,6/8,"{2019: -15.95, 2020: 8.21, 2021: -30.73, 2022: 5.15, 2023: 29.01, 2024: 52.83, 2025: 62.93, 2026: 8.75}",301.5817998705333,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait24h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.5,0.2,24,london_ny,0.5,3.0,2024,193.79282793944478,28.875686685760044,0.3814229249011858,1.1583909314408047,-66.50781818131543,0.4341698085334623,6/8,"{2019: -21.1, 2020: 35.57, 2021: -40.87, 2022: 18.9, 2023: 35.34, 2024: 73.92, 2025: 79.99, 2026: 12.05}",301.5817998705333,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait24h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.5,0.2,24,london_ny,0.5,4.0,2024,208.23324218203686,31.02734978761627,0.366600790513834,1.1661183813046532,-71.46659026890984,0.4341518137477747,6/8,"{2019: -18.55, 2020: 44.25, 2021: -46.84, 2022: 23.11, 2023: 35.77, 2024: 67.41, 2025: 90.52, 2026: 12.57}",301.5817998705333,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait24h_sesslondon_ny_pad0.5_TP4.0R
long,3,1.0,0.5,0.2,72,all,0.5,2.0,2442,114.81743140005719,17.108126293547794,0.411957411957412,1.082706022522631,-91.7176733161069,0.186530312806609,5/8,"{2019: -13.07, 2020: -2.22, 2021: -49.23, 2022: 3.08, 2023: 18.58, 2024: 72.11, 2025: 74.26, 2026: 11.31}",363.86499766988254,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sessall_pad0.5_TP2.0R
long,3,1.0,0.5,0.2,72,all,0.5,3.0,2442,170.1069308736022,25.34642014985837,0.3787878787878788,1.1162653347965803,-98.0276186158873,0.25856407110302365,6/8,"{2019: -20.77, 2020: 20.7, 2021: -57.61, 2022: 3.98, 2023: 14.23, 2024: 103.9, 2025: 85.02, 2026: 20.66}",363.86499766988254,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sessall_pad0.5_TP3.0R
long,3,1.0,0.5,0.2,72,all,0.5,4.0,2442,225.2036025046989,33.55598210508658,0.36936936936936937,1.151587541131143,-87.79673437432676,0.3822007998841801,6/8,"{2019: -21.44, 2020: 35.42, 2021: -60.03, 2022: 21.45, 2023: 21.13, 2024: 107.86, 2025: 98.1, 2026: 22.71}",363.86499766988254,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sessall_pad0.5_TP4.0R
long,3,1.0,0.5,0.2,72,london_ny,0.5,2.0,2317,94.13766426217525,14.026781731123908,0.4108761329305136,1.071137150897938,-82.73110795794355,0.16954664427139593,5/8,"{2019: -23.22, 2020: -6.33, 2021: -39.82, 2022: 9.11, 2023: 27.21, 2024: 64.56, 2025: 61.85, 2026: 0.77}",345.23963947629727,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sesslondon_ny_pad0.5_TP2.0R
long,3,1.0,0.5,0.2,72,london_ny,0.5,3.0,2317,173.01849808252956,25.780252007226125,0.3815278377211912,1.1249794404660962,-63.2484718501873,0.40760276498521886,6/8,"{2019: -28.37, 2020: 23.42, 2021: -47.17, 2022: 27.53, 2023: 30.47, 2024: 85.14, 2025: 76.93, 2026: 5.07}",345.23963947629727,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.5,0.2,72,london_ny,0.5,4.0,2317,187.73292456633615,27.97274371821873,0.3685800604229607,1.1327307351013522,-70.55833252814381,0.39644848051165554,6/8,"{2019: -25.82, 2020: 33.63, 2021: -52.84, 2022: 28.93, 2023: 32.64, 2024: 77.09, 2025: 87.52, 2026: 6.59}",345.23963947629727,True,False,False,False,False,long_lb3_imp1.0_fib0.5_tol0.2_wait72h_sesslondon_ny_pad0.5_TP4.0R
