direction,pivot_lb,max_hold_h,session,ext,sl_buf,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,5,24,london_ny,0.27,0.05,1396,77.36944082500858,11.528905279054845,0.4391117478510029,1.0979601019891159,-36.340984522984726,0.31724251366286216,6/8,"{2019: 6.16, 2020: 28.05, 2021: -30.13, 2022: 20.04, 2023: 6.83, 2024: 39.35, 2025: 20.94, 2026: -13.87}",208.01949190717548,True,False,False,False,False,long_lb5_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
long,5,48,all,0.27,0.05,1643,142.0016712777586,21.159824863301644,0.4497869750456482,1.1531968066759002,-35.020539080940054,0.6042118544890672,6/8,"{2019: 4.19, 2020: 44.72, 2021: -20.71, 2022: 28.17, 2023: 4.66, 2024: 60.01, 2025: 36.14, 2026: -15.18}",244.82523295378888,True,False,False,False,False,long_lb5_hold48h_sessall_ext0.27_sl0.05_v2
long,5,48,london_ny,0.27,0.05,1508,106.2262816614776,15.828894798287308,0.4423076923076923,1.123460105252656,-33.27567423863404,0.4756896790361499,6/8,"{2019: 3.77, 2020: 34.89, 2021: -23.67, 2022: 26.83, 2023: 11.18, 2024: 55.13, 2025: 17.36, 2026: -19.25}",224.70873481090302,True,False,False,False,False,long_lb5_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
short,5,12,all,0.27,0.05,1544,-103.0241171291192,-15.362095162357374,0.3898963730569948,0.8801035874359557,-132.63028927250608,-0.1158264469347116,1/8,"{2019: -3.55, 2020: -8.73, 2021: -20.19, 2022: -32.58, 2023: -5.87, 2024: -38.78, 2025: -8.5, 2026: 15.17}",230.2283736239436,True,False,False,False,False,short_lb5_hold12h_sessall_ext0.27_sl0.05_v2
short,5,12,london_ny,0.27,0.05,1342,-88.69057199980432,-13.224140636127382,0.3897168405365127,0.8815498298479356,-110.44615662713619,-0.11973382361118995,1/8,"{2019: -2.65, 2020: -5.99, 2021: -9.28, 2022: -30.28, 2023: -0.64, 2024: -43.0, 2025: -5.56, 2026: 8.71}",200.0978946637316,True,False,False,False,False,short_lb5_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
short,5,24,all,0.27,0.05,1617,-146.0373059285931,-21.775862326659514,0.37909709338280767,0.854046187275505,-175.65352382331218,-0.12397054071379518,2/8,"{2019: 2.04, 2020: -10.8, 2021: -32.36, 2022: -37.74, 2023: -7.91, 2024: -44.39, 2025: -25.05, 2026: 10.18}",241.11352341315856,True,False,False,False,False,short_lb5_hold24h_sessall_ext0.27_sl0.05_v2
short,5,24,london_ny,0.27,0.05,1466,-117.53054412812043,-17.52430286044687,0.3806275579809004,0.8701292654371622,-149.09030203255023,-0.11754153436902198,3/8,"{2019: 3.62, 2020: -1.5, 2021: -27.14, 2022: -30.64, 2023: 1.05, 2024: -46.97, 2025: -21.19, 2026: 5.23}",218.58682084726567,True,False,False,False,False,short_lb5_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
short,5,48,all,0.27,0.05,1672,-171.36135180632175,-25.551972362933864,0.36901913875598086,0.8408680880134108,-201.71040870162145,-0.1266765187151617,1/8,"{2019: -4.31, 2020: -18.2, 2021: -45.4, 2022: -33.26, 2023: -7.73, 2024: -49.6, 2025: -24.51, 2026: 11.65}",249.3146636653068,True,False,False,False,False,short_lb5_hold48h_sessall_ext0.27_sl0.05_v2
short,5,48,london_ny,0.27,0.05,1538,-133.27335382490756,-19.871622589522044,0.3732119635890767,0.8644972557266697,-157.8759201288308,-0.12586860981273323,2/8,"{2019: -2.2, 2020: -11.95, 2021: -34.6, 2022: -29.08, 2023: 2.39, 2024: -47.48, 2025: -14.08, 2026: 3.73}",229.32232637318867,True,False,False,False,False,short_lb5_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
long,8,12,all,0.27,0.05,885,64.73778371092678,9.650380202561584,0.4745762711864407,1.1610299229767405,-22.09543563347969,0.4367589923386271,6/8,"{2019: 9.6, 2020: 14.69, 2021: 4.29, 2022: -7.98, 2023: 5.17, 2024: 24.4, 2025: 20.21, 2026: -5.65}",131.9258397445799,False,False,False,False,False,long_lb8_hold12h_sessall_ext0.27_sl0.05_v2
long,8,12,london_ny,0.27,0.05,749,20.207783151998314,3.0123488832810748,0.4539385847797063,1.0578935768571238,-25.49501956973137,0.11815440561016266,5/8,"{2019: 9.17, 2020: 9.29, 2021: -1.53, 2022: -6.68, 2023: 6.15, 2024: 10.88, 2025: 8.83, 2026: -15.91}",111.65249036010208,False,False,False,False,False,long_lb8_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
long,8,24,all,0.27,0.05,965,55.989935607276294,8.346349460152407,0.44870466321243524,1.1086194097521216,-46.038602357405395,0.18129024411641118,5/8,"{2019: 7.68, 2020: 19.71, 2021: -9.88, 2022: -15.52, 2023: 4.93, 2024: 31.96, 2025: 25.0, 2026: -7.9}",143.85133938250803,False,False,False,False,False,long_lb8_hold24h_sessall_ext0.27_sl0.05_v2
long,8,24,london_ny,0.27,0.05,845,28.01240086846568,4.1757734551798125,0.4437869822485207,1.061590724943557,-42.95517011451691,0.09721235986372195,5/8,"{2019: 6.83, 2020: 20.12, 2021: -15.67, 2022: -7.02, 2023: 2.96, 2024: 20.27, 2025: 16.87, 2026: -16.36}",125.96308992561583,False,False,False,False,False,long_lb8_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
long,8,48,all,0.27,0.05,1021,97.35790483734075,14.513020736089352,0.46131243878550443,1.1751556816962467,-40.1081353062401,0.3618473066692629,5/8,"{2019: 8.57, 2020: 31.72, 2021: -8.74, 2022: -5.08, 2023: 11.46, 2024: 39.65, 2025: 30.27, 2026: -10.49}",152.19918912905771,False,False,False,False,False,long_lb8_hold48h_sessall_ext0.27_sl0.05_v2
long,8,48,london_ny,0.27,0.05,912,61.77465109560689,9.208669740922454,0.45394736842105265,1.123114565116781,-37.62636306772195,0.24473983106866312,6/8,"{2019: 7.72, 2020: 31.02, 2021: -15.59, 2022: 1.27, 2023: 10.64, 2024: 25.25, 2025: 18.8, 2026: -17.33}",135.95069587238063,False,False,False,False,False,long_lb8_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
short,8,12,all,0.27,0.05,968,-57.00585974833561,-8.511445800878203,0.4049586776859504,0.883508173326102,-70.73881293240923,-0.12032214633020304,2/8,"{2019: -3.32, 2020: -24.05, 2021: -9.46, 2022: -8.51, 2023: 17.13, 2024: -23.38, 2025: -14.24, 2026: 8.84}",144.53039690346318,False,False,False,False,False,short_lb8_hold12h_sessall_ext0.27_sl0.05_v2
short,8,12,london_ny,0.27,0.05,847,-60.37116757962323,-9.014809747672649,0.4049586776859504,0.8580966064791661,-71.5921416543642,-0.12591898411413305,2/8,"{2019: -2.67, 2020: -26.78, 2021: -8.8, 2022: -8.11, 2023: 23.07, 2024: -17.78, 2025: -26.07, 2026: 6.77}",126.47666365253336,False,False,False,False,False,short_lb8_hold12h_sesslondon_ny_ext0.27_sl0.05_v2
short,8,24,all,0.27,0.05,1025,-80.31482008495797,-11.99166614060869,0.3951219512195122,0.8657471576057242,-94.62816232610415,-0.12672407289579865,2/8,"{2019: -0.99, 2020: -22.97, 2021: -19.36, 2022: -18.26, 2023: 26.51, 2024: -26.13, 2025: -26.33, 2026: 7.21}",153.04096779550594,False,False,False,False,False,short_lb8_hold24h_sessall_ext0.27_sl0.05_v2
short,8,24,london_ny,0.27,0.05,923,-89.005717627606,-13.29060945872383,0.39219934994582883,0.8362256267605427,-101.28897790597445,-0.13121476525374134,3/8,"{2019: 0.09, 2020: -22.66, 2021: -24.83, 2022: -17.26, 2023: 24.04, 2024: -16.22, 2025: -37.39, 2026: 5.23}",137.82521906881735,False,False,False,False,False,short_lb8_hold24h_sesslondon_ny_ext0.27_sl0.05_v2
short,8,48,all,0.27,0.05,1062,-108.59344813484174,-16.213898925665617,0.3709981167608286,0.8374465316438141,-124.99576046604756,-0.12971559087453832,2/8,"{2019: -4.79, 2020: -36.37, 2021: -23.4, 2022: -12.72, 2023: 21.07, 2024: -31.22, 2025: -31.44, 2026: 10.29}",158.56537346227054,False,False,False,False,False,short_lb8_hold48h_sessall_ext0.27_sl0.05_v2
short,8,48,london_ny,0.27,0.05,969,-106.2620090407051,-15.867372345317259,0.3684210526315789,0.8255857189149887,-120.08298577475665,-0.13213672397420378,2/8,"{2019: -2.99, 2020: -36.36, 2021: -25.04, 2022: -10.05, 2023: 21.37, 2024: -18.28, 2025: -42.35, 2026: 7.44}",144.69408155762082,False,False,False,False,False,short_lb8_hold48h_sesslondon_ny_ext0.27_sl0.05_v2
