segment,trades,net_r,wr_pct,pf,max_dd_r,positive_years,total_years,positive_months,total_months
all_sleeve1,1032,256.10667497371514,63.856589147286826,1.6837572732457418,-12.694926116838438,8,8,53,80
claude_cutoff_pre_0900,298,196.78746331167775,84.56375838926175,5.146880414381171,-3.093018991932013,7,7,49,54
causal_cutoff_pre_0930,312,202.33724218774339,83.97435897435898,4.921008083561633,-3.093018991932013,7,7,49,54
causal_remaining_post_0930,720,53.76943278597176,55.13888888888889,1.1664922815247336,-15.410471682845458,6,8,38,80
