win_start,win_end,anchor,minor_lb,sl_buf,rr,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
19,22,19:55,5,0.2,2.0,3561,-2638827907259.983,-130159912605.9978,0.37629879247402415,8.470758942980094e-10,-2638827907285.479,-0.04932489619601275,3/21,"{2006: -20.0, 2007: -2638827906740.38, 2008: -44.28, 2009: -80.53, 2010: -13.32, 2011: 6.61, 2012: -33.02, 2013: 6.51, 2014: -21.22, 2015: -48.87, 2016: -14.89, 2017: -39.72, 2018: -34.68, 2019: -27.89, 2020: -19.72, 2021: -57.66, 2022: -9.24, 2023: -31.38, 2024: -39.16, 2025: -10.24, 2026: 13.1}",175.64595535569845,False,False,False,False,False,w19-22_anc19:55_ml5_sl0.2_RR2.0
19,22,19:55,5,0.2,3.0,3561,-2638827906965.995,-130159912591.49687,0.3164841336703173,1.0603965917146282e-09,-2638827907033.5806,-0.04932489619522601,8/21,"{2006: 3.77, 2007: -2638827906710.96, 2008: -37.42, 2009: -58.52, 2010: 4.73, 2011: 14.47, 2012: -20.34, 2013: 27.22, 2014: -19.08, 2015: -25.99, 2016: -25.99, 2017: -17.66, 2018: -26.36, 2019: -12.19, 2020: 1.82, 2021: -72.93, 2022: 4.35, 2023: -18.06, 2024: -30.09, 2025: 28.33, 2026: 24.93}",175.64595535569845,False,False,False,True,False,w19-22_anc19:55_ml5_sl0.2_RR3.0
19,22,19:55,5,0.5,1.5,3564,-696.1836286577125,-34.33918521723693,0.42368125701459036,0.733507805578881,-709.6474511555199,-0.04838907708513909,2/21,"{2006: -19.25, 2007: -52.03, 2008: -47.28, 2009: -60.18, 2010: -17.61, 2011: -8.92, 2012: -171.14, 2013: 5.44, 2014: -27.98, 2015: -45.73, 2016: -12.27, 2017: -38.94, 2018: -33.62, 2019: -20.9, 2020: -10.32, 2021: -46.98, 2022: -13.96, 2023: -21.64, 2024: -40.41, 2025: -14.66, 2026: 2.22}",175.79393004428792,False,False,False,False,False,w19-22_anc19:55_ml5_sl0.5_RR1.5
19,22,19:55,5,0.5,2.0,3564,-580.5508845806239,-28.635612118719326,0.36924803591470257,0.7953268747367659,-605.6119453399485,-0.04728376370225868,3/21,"{2006: -15.03, 2007: -38.0, 2008: -35.93, 2009: -41.68, 2010: -3.98, 2011: -2.42, 2012: -166.0, 2013: 17.12, 2014: -29.93, 2015: -27.78, 2016: -31.22, 2017: -26.71, 2018: -15.61, 2019: -8.95, 2020: -20.59, 2021: -59.01, 2022: -20.42, 2023: -36.5, 2024: -32.83, 2025: 1.7, 2026: 13.24}",175.79393004428792,False,False,False,False,False,w19-22_anc19:55_ml5_sl0.5_RR2.0
19,22,19:55,5,0.5,3.0,3564,-357.2890343867703,-17.623244533271347,0.3164983164983165,0.8829901750905685,-423.2003183332365,-0.041642796023122194,6/21,"{2006: -7.63, 2007: -10.48, 2008: -37.02, 2009: -47.81, 2010: -6.1, 2011: 14.63, 2012: -160.41, 2013: 22.06, 2014: -26.12, 2015: -8.74, 2016: -27.4, 2017: -24.44, 2018: -11.42, 2019: 8.9, 2020: 17.31, 2021: -39.41, 2022: -13.79, 2023: -17.69, 2024: -29.66, 2025: 23.05, 2026: 24.89}",175.79393004428792,False,False,False,False,False,w19-22_anc19:55_ml5_sl0.5_RR3.0
19,22,19:55,5,1.0,1.5,3564,-346.6320732609578,-17.097591031970623,0.42536475869809204,0.8493335124315351,-365.142476613496,-0.046824437382749245,2/21,"{2006: -5.06, 2007: -24.39, 2008: -20.06, 2009: -35.7, 2010: -10.71, 2011: -4.26, 2012: -4.39, 2013: 19.87, 2014: -30.76, 2015: -9.1, 2016: -23.7, 2017: -18.96, 2018: -17.19, 2019: -0.84, 2020: -11.9, 2021: -60.74, 2022: -13.07, 2023: -29.1, 2024: -40.06, 2025: -8.96, 2026: 2.44}",175.79393004428792,False,False,False,False,False,w19-22_anc19:55_ml5_sl1.0_RR1.5
19,22,19:55,5,1.0,2.0,3564,-198.51286831515455,-9.791626623312352,0.3824354657687991,0.9193182927640526,-240.29963420003867,-0.04074757190500449,6/21,"{2006: -1.2, 2007: -18.93, 2008: -27.52, 2009: -33.22, 2010: -5.12, 2011: -2.2, 2012: -2.17, 2013: 18.45, 2014: -23.04, 2015: 4.02, 2016: -13.18, 2017: -20.92, 2018: -6.72, 2019: 15.29, 2020: 3.35, 2021: -52.01, 2022: -8.51, 2023: -15.75, 2024: -29.73, 2025: 4.19, 2026: 16.43}",175.79393004428792,False,False,False,False,False,w19-22_anc19:55_ml5_sl1.0_RR2.0
19,22,19:55,5,1.0,3.0,3564,-26.35258814380103,-1.299838674701821,0.3425925925925926,0.9899035655200663,-114.83666171352986,-0.011319021776724777,11/21,"{2006: 7.41, 2007: -5.14, 2008: -19.44, 2009: -19.04, 2010: -8.36, 2011: 7.88, 2012: 8.74, 2013: 15.23, 2014: 2.48, 2015: 21.73, 2016: -8.29, 2017: -20.95, 2018: -9.7, 2019: 20.36, 2020: 10.68, 2021: -52.68, 2022: 1.15, 2023: -6.22, 2024: -31.99, 2025: 31.01, 2026: 28.79}",175.79393004428792,False,False,False,True,False,w19-22_anc19:55_ml5_sl1.0_RR3.0
19,22,19:55,10,0.2,1.5,2826,-465.90123246380017,-22.980529929093382,0.4295824486907289,0.7629740200878277,-484.01266074501876,-0.04747919175031598,1/21,"{2006: -26.72, 2007: -53.07, 2008: -22.75, 2009: -50.99, 2010: -27.97, 2011: -7.46, 2012: -17.22, 2013: -8.97, 2014: -24.18, 2015: -36.0, 2016: -9.95, 2017: -30.6, 2018: -27.4, 2019: -29.06, 2020: -32.11, 2021: -19.94, 2022: -4.87, 2023: -15.52, 2024: -13.51, 2025: -14.69, 2026: 7.1}",139.3921566512788,False,False,False,False,False,w19-22_anc19:55_ml10_sl0.2_RR1.5
19,22,19:55,10,0.2,2.0,2826,-305.4028779847922,-15.063965254708968,0.3842887473460722,0.8559283490114712,-332.7922709879668,-0.04526536992577468,3/21,"{2006: -17.45, 2007: -39.32, 2008: -14.8, 2009: -44.21, 2010: -17.81, 2011: -2.32, 2012: -5.19, 2013: 4.04, 2014: -20.65, 2015: -15.05, 2016: -7.98, 2017: -21.8, 2018: -17.11, 2019: -24.05, 2020: -21.74, 2021: -24.38, 2022: 4.0, 2023: -13.65, 2024: -14.04, 2025: -5.52, 2026: 13.62}",139.3921566512788,False,False,False,False,False,w19-22_anc19:55_ml10_sl0.2_RR2.0
