zone_id,zone_tf,spec_name,direction,upper,lower,created_timestamp,base_timestamp,impulse_start_timestamp,impulse_end_timestamp,impulse_candles,impulse_atr,zone_width_atr,base_body_ratio,touch_timestamp,entry_timestamp,entry_price,stop_price,risk_units,touch_delay_hours,confirmed,confirm_i,entry_i,bars_to_confirm,confirm_close,confirm_body_ratio,mfe_24h_r,mae_24h_r,close_24h_r,bracket_1r_outcome_r,first_event_24h,year,month,date,cost_r,net_1r_after_cost,cost_bucket,same_dir_intraday_overlap_24h,same_dir_intraday_distinct_specs_24h,same_dir_intraday_distinct_tfs_24h,same_dir_intraday_max_overlap_ratio_24h,same_dir_intraday_overlap_7d,same_dir_intraday_distinct_specs_7d,same_dir_intraday_distinct_tfs_7d,same_dir_intraday_max_overlap_ratio_7d,same_dir_h1_overlap_96h,same_dir_h1_distinct_specs_96h,same_dir_h1_max_overlap_ratio_96h,same_dir_h1_overlap_30d,same_dir_h1_distinct_specs_30d,same_dir_h1_max_overlap_ratio_30d,has_intraday_stack,has_intraday_stack_7d,has_cross_tf_intraday_stack,has_h1_stack,has_h1_stack_30d,stack_score,stack_score_capped,stack_score_7d_30d,stack_score_7d_30d_capped
30,15min,m15_2c_1atr,demand,1335.96,1332.96,2019-06-07 14:15:00+00:00,2019-06-07 12:00:00+00:00,2019-06-07 13:00:00+00:00,2019-06-07 14:00:00+00:00,2,1.4396173774411627,1.6739736946990738,0.966666666666697,2019-06-07 15:00:00+00:00,2019-06-07 16:00:00+00:00,1341.1,1332.4481428571428,8.651857142857125,0.75,True,200,201,0,1341.22,0.5793814432989786,0.8264121658438442,1.3950762016412617,7.653848059045971,-1.0,stop,2019,2019-06,2019-06-07,0.0346746363291119,-1.034674636329112,0.03-0.05R,5,4,2,1.0,7,4,2,1.0,7,4,1.0,7,4,1.0,True,True,True,True,True,19,7,21,7
34,15min,m15_2c_1atr,supply,1328.96,1328.24,2019-06-11 09:15:00+00:00,2019-06-11 07:00:00+00:00,2019-06-11 08:00:00+00:00,2019-06-11 09:00:00+00:00,2,2.3061772605191537,0.4512085944494368,0.1388888888887573,2019-06-11 19:00:00+00:00,2019-06-12 04:00:00+00:00,1326.63,1329.3464285714283,2.7164285714284233,9.75,True,257,258,7,1326.59,0.6612021857923137,0.2208782540100543,2.1977386273994677,-30.77938469629404,-1.0,stop,2019,2019-06,2019-06-12,0.110439127005002,-1.110439127005002,0.10-0.20R,3,3,2,1.0,5,4,2,1.0,5,4,1.0,5,4,1.0,True,True,True,True,True,13,7,15,7
39,15min,m15_2c_1atr,supply,1338.4,1336.55,2019-06-12 13:15:00+00:00,2019-06-12 11:00:00+00:00,2019-06-12 12:00:00+00:00,2019-06-12 13:00:00+00:00,2,1.3546762589928576,0.9316546762590784,0.1351351351351251,2019-06-12 19:00:00+00:00,2019-06-12 20:00:00+00:00,1332.54,1338.9228571428573,6.382857142857347,5.75,True,273,274,0,1332.56,0.6315789473684525,0.1175022381378655,1.0199194270366714,-7.893017009847571,-1.0,stop,2019,2019-06,2019-06-12,0.0470008952551462,-1.0470008952551462,0.03-0.05R,1,1,1,1.0,9,4,2,1.0,5,4,1.0,12,4,1.0,True,True,True,True,True,11,5,33,7
40,15min,m15_2c_1atr,supply,1336.24,1334.35,2019-06-12 16:15:00+00:00,2019-06-12 14:00:00+00:00,2019-06-12 15:00:00+00:00,2019-06-12 16:00:00+00:00,2,1.0278086763069638,0.7358175750834689,0.0476190476190017,2019-06-12 17:00:00+00:00,2019-06-12 18:00:00+00:00,1334.09,1336.7531428571428,2.6631428571429296,0.75,True,271,272,0,1334.15,0.7131147540983485,0.6083038300610947,1.103958802703563,-21.891427958373036,-1.0,stop,2019,2019-06,2019-06-12,0.1126488574187288,-1.1126488574187288,0.10-0.20R,1,1,1,1.0,7,4,2,1.0,4,4,0.624338624338625,8,4,1.0,True,True,True,True,True,9,5,23,7
41,15min,m15_2c_1atr,demand,1334.46,1329.93,2019-06-12 18:15:00+00:00,2019-06-12 16:00:00+00:00,2019-06-12 17:00:00+00:00,2019-06-12 18:00:00+00:00,2,1.1809576837416424,1.7655902004454311,0.3863134657836667,2019-06-12 19:00:00+00:00,2019-06-13 05:00:00+00:00,1336.01,1329.4768571428572,6.5331428571428205,0.75,True,281,282,8,1336.04,0.5730027548209352,15.77035773637724,0.4561357473978886,8.991078457097926,1.0,tp1,2019,2019-06,2019-06-13,0.0459197061138811,0.9540802938861188,0.03-0.05R,5,2,2,1.0,15,4,2,1.0,2,1,1.0,14,4,1.0,True,True,True,True,True,9,7,43,7
42,15min,m15_2c_1atr,demand,1334.16,1332.9,2019-06-13 04:15:00+00:00,2019-06-13 01:00:00+00:00,2019-06-13 02:00:00+00:00,2019-06-13 04:00:00+00:00,3,1.3573893944147788,0.553498588013804,0.4841269841269082,2019-06-13 07:00:00+00:00,2019-06-13 08:00:00+00:00,1334.8,1332.5242857142855,2.27571428571423,2.75,True,284,285,0,1334.8,0.5684210526315134,45.80539861895907,0.7777777777777889,22.48085373509161,1.0,tp1,2019,2019-06,2019-06-13,0.1318267419962367,0.8681732580037632,0.10-0.20R,5,4,2,1.0,9,4,2,1.0,2,1,1.0,8,4,1.0,True,True,True,True,True,9,7,25,7
43,15min,m15_2c_1atr,demand,1336.75,1334.18,2019-06-13 09:15:00+00:00,2019-06-13 06:00:00+00:00,2019-06-13 07:00:00+00:00,2019-06-13 09:00:00+00:00,3,1.893464299206641,1.3592746505477782,0.9649805447471128,2019-06-13 10:00:00+00:00,2019-06-13 11:00:00+00:00,1336.97,1333.823142857143,3.146857142857016,0.75,True,287,288,0,1336.95,0.3982300884955164,0.6609769384419865,1.03277646631564,15.040403123298203,-1.0,stop,2019,2019-06,2019-06-13,0.0953332122752898,-1.09533321227529,0.05-0.10R,7,4,2,1.0,13,4,2,1.0,5,3,1.0,12,4,1.0,True,True,True,True,True,17,7,37,7
45,15min,m15_2c_1atr,demand,1342.18,1340.53,2019-06-14 01:15:00+00:00,2019-06-13 22:00:00+00:00,2019-06-13 23:00:00+00:00,2019-06-14 01:00:00+00:00,2,1.0419198055893244,0.7017010935601828,0.0545454545454019,2019-06-14 04:00:00+00:00,2019-06-14 05:00:00+00:00,1343.7,1340.0331428571428,3.666857142857225,2.75,True,304,305,0,1343.72,0.1213389121338824,3.95161290322572,1.5926445379460847,13.739286270842731,1.0,tp1,2019,2019-06,2019-06-14,0.0818139317438036,0.9181860682561964,0.05-0.10R,1,1,1,1.0,1,1,1,1.0,1,1,1.0,1,1,1.0,True,True,True,True,True,3,3,3,3
51,15min,m15_2c_1atr,demand,1341.66,1340.57,2019-06-18 08:15:00+00:00,2019-06-18 06:00:00+00:00,2019-06-18 07:00:00+00:00,2019-06-18 08:00:00+00:00,2,2.662543486664094,0.5898724391187412,0.2660550458714907,2019-06-18 16:00:00+00:00,2019-06-18 20:00:00+00:00,1347.94,1339.6691428571428,8.270857142857267,7.75,True,365,366,3,1347.96,0.5798045602605895,11.014577863755523,0.7943553958822795,8.077760121597219,1.0,tp1,2019,2019-06,2019-06-18,0.0362719358850346,0.9637280641149653,0.03-0.05R,5,4,2,1.0,9,4,2,1.0,5,4,1.0,6,4,1.0,True,True,True,True,True,15,7,21,7
52,15min,m15_2c_1atr,demand,1347.04,1344.58,2019-06-18 13:15:00+00:00,2019-06-18 10:00:00+00:00,2019-06-18 11:00:00+00:00,2019-06-18 13:00:00+00:00,3,1.3957418046637418,1.163906725245018,0.6382113821138783,2019-06-18 14:00:00+00:00,2019-06-18 15:00:00+00:00,1350.83,1344.038,6.791999999999916,0.75,True,360,361,0,1350.83,0.6842105263157895,0.5653710247350108,1.47526501766786,9.605418138987163,-1.0,stop,2019,2019-06,2019-06-18,0.044169611307421,-1.044169611307421,0.03-0.05R,3,3,2,1.0,5,4,2,1.0,4,4,1.0,6,4,1.0,True,True,True,True,True,11,7,17,7
55,15min,m15_2c_1atr,supply,1347.54,1345.17,2019-06-19 10:15:00+00:00,2019-06-19 08:00:00+00:00,2019-06-19 09:00:00+00:00,2019-06-19 10:00:00+00:00,2,1.0316804407712978,1.142561983471032,0.130801687763696,2019-06-19 15:00:00+00:00,2019-06-19 16:00:00+00:00,1343.24,1348.0072857142857,4.767285714285663,4.75,True,384,385,0,1343.26,0.3196480938416105,0.1468340774924446,2.7017470258607816,-12.986425339366674,-1.0,stop,2019,2019-06,2019-06-19,0.0629288903539007,-1.0629288903539007,0.05-0.10R,3,3,2,1.0,3,3,2,1.0,1,1,1.0,1,1,1.0,True,True,True,True,True,5,5,5,5
59,15min,m15_2c_1atr,demand,1384.98,1381.45,2019-06-20 19:15:00+00:00,2019-06-20 16:00:00+00:00,2019-06-20 17:00:00+00:00,2019-06-20 19:00:00+00:00,3,1.2723178381856064,0.7949171626186309,0.2776203966005738,2019-06-21 10:00:00+00:00,2019-06-21 14:00:00+00:00,1394.75,1380.1101428571428,14.63985714285718,14.75,True,428,429,3,1394.76,0.4620853080568701,3.025302744952614,0.8832053396305605,-0.0963124152265395,1.0,tp1,2019,2019-06,2019-06-21,0.020492003239688,0.979507996760312,<=0.03R,3,3,2,1.0,3,3,2,1.0,3,3,1.0,3,3,1.0,True,True,True,True,True,9,7,9,7
62,15min,m15_2c_1atr,demand,1389.56,1386.2,2019-06-21 15:15:00+00:00,2019-06-21 12:00:00+00:00,2019-06-21 13:00:00+00:00,2019-06-21 15:00:00+00:00,3,1.1573604060913762,0.4873096446700375,0.1636904761904675,2019-06-21 17:00:00+00:00,2019-06-21 19:00:00+00:00,1398.45,1384.847142857143,13.602857142857149,1.75,True,433,434,1,1398.43,0.6589327146171851,2.9839319470699364,1.1703423650493645,-0.2065742491073263,1.0,tp1,2019,2019-06,2019-06-21,0.0220541902961562,0.9779458097038436,<=0.03R,5,4,2,1.0,5,4,2,1.0,5,4,1.0,5,4,1.0,True,True,True,True,True,15,7,15,7
68,15min,m15_2c_1atr,supply,1436.56,1425.78,2019-06-25 08:15:00+00:00,2019-06-25 06:00:00+00:00,2019-06-25 07:00:00+00:00,2019-06-25 08:00:00+00:00,2,2.283849918433943,1.8938386246706032,0.9601113172541684,2019-06-25 09:00:00+00:00,2019-06-25 16:00:00+00:00,1425.55,1437.784,12.233999999999924,0.75,True,476,477,6,1425.64,0.4802110817941542,3.574464606833439,0.9947686774562816,1.3879352623835317,1.0,tp1,2019,2019-06,2019-06-25,0.0245218244237372,0.9754781755762628,<=0.03R,1,1,1,1.0,1,1,1,1.0,2,2,1.0,2,2,1.0,True,True,True,True,True,5,5,5,5
70,15min,m15_2c_1atr,supply,1433.81,1424.78,2019-06-25 20:15:00+00:00,2019-06-25 16:00:00+00:00,2019-06-25 17:00:00+00:00,2019-06-25 20:00:00+00:00,4,1.262430939226503,1.2472375690607709,0.6976744186046482,2019-06-25 21:00:00+00:00,2019-06-25 22:00:00+00:00,1424.53,1435.079,10.548999999999978,0.75,True,482,483,0,1424.5,0.3897550111358566,4.048724997630119,1.094890510948903,1.7584605175846044,1.0,tp1,2019,2019-06,2019-06-25,0.0284387145701014,0.9715612854298984,<=0.03R,3,2,2,1.0,3,2,2,1.0,3,2,1.0,3,2,1.0,True,True,True,True,True,9,7,9,7
