direction,fvg_max_age_h,session,swing_lookback,require_m15_inside_h4,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,12,london,20,True,4.0,86,28.075321100606686,4.339672723981894,0.4418604651162791,1.272105994589015,-23.149450430824686,0.18746331525017096,5/8,"{2019: 1.75, 2020: 13.08, 2021: 16.63, 2022: 3.38, 2023: -4.66, 2024: -2.31, 2025: -1.57, 2026: 1.78}",13.293235469152945,False,False,False,False,False,long_age12h_sesslondon_sw20_inside1_TP4.0R
long,24,london,20,True,1.0,124,-59.59944269761994,-8.902517907955737,0.5806451612903226,0.4940670136754437,-61.355432187021755,-0.14509746880796723,2/8,"{2019: -2.55, 2020: -9.42, 2021: 1.17, 2022: -5.59, 2023: -6.13, 2024: -23.38, 2025: -15.33, 2026: 1.64}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP1.0R
long,24,london,20,True,2.0,124,-18.855987200237756,-2.8165659966650054,0.5161290322580645,0.8527779843777453,-36.88131780682809,-0.07636836653769337,3/8,"{2019: -1.55, 2020: -0.68, 2021: 7.17, 2022: -3.59, 2023: 0.87, 2024: -13.38, 2025: -10.33, 2026: 2.64}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP2.0R
long,24,london,20,True,3.0,124,6.503484609828675,0.9714417716430492,0.4435483870967742,1.0483100730913921,-27.073958531939542,0.03588103935732284,3/8,"{2019: -0.55, 2020: 8.79, 2021: 11.74, 2022: -3.59, 2023: 3.38, 2024: -4.49, 2025: -8.41, 2026: -0.36}",18.522190319584908,False,False,False,False,False,long_age24h_sesslondon_sw20_inside1_TP3.0R
long,24,london,20,True,4.0,124,53.07110756064842,7.927364150882997,0.43548387096774194,1.402714132693585,-17.157780241832143,0.46202737412123984,7/8,"{2019: 0.45, 2020: 18.79, 2021: 13.31, 2022: 2.41, 2023: 11.38, 2024: 7.51, 2025: -3.41, 2026: 2.64}",18.522190319584908,False,True,False,True,False,long_age24h_sesslondon_sw20_inside1_TP4.0R
long,72,london,20,True,1.0,169,-71.88091202195668,-10.737031716258228,0.5443786982248521,0.5128050035705605,-72.07828081431416,-0.14896348241044535,0/8,"{2019: -2.55, 2020: -7.27, 2021: -4.26, 2022: -2.81, 2023: -6.12, 2024: -31.17, 2025: -17.12, 2026: -0.58}",25.2439529355633,False,False,False,False,False,long_age72h_sesslondon_sw20_inside1_TP1.0R
long,72,london,20,True,2.0,169,-23.42325239899101,-3.4987898293369777,0.47337278106508873,0.8527598158581048,-44.99308955127293,-0.07776282678587453,4/8,"{2019: -1.55, 2020: 4.47, 2021: 4.74, 2022: -2.4, 2023: 0.89, 2024: -22.87, 2025: -9.12, 2026: 2.42}",25.2439529355633,False,False,False,False,False,long_age72h_sesslondon_sw20_inside1_TP2.0R
long,72,london,20,True,3.0,169,15.702374593472587,2.345502989433177,0.4319526627218935,1.0952725589303824,-32.185730276384376,0.07287400252509237,4/8,"{2019: -0.55, 2020: 16.38, 2021: 12.31, 2022: -1.4, 2023: 4.73, 2024: -12.98, 2025: -4.21, 2026: 1.42}",25.2439529355633,False,False,False,False,False,long_age72h_sesslondon_sw20_inside1_TP3.0R
long,72,london,20,True,4.0,169,69.80482900496644,10.42692200045217,0.42011834319526625,1.4279698474684557,-17.6843141443362,0.589614158363706,8/8,"{2019: 0.45, 2020: 28.38, 2021: 15.41, 2022: 0.6, 2023: 14.73, 2024: 0.02, 2025: 3.79, 2026: 6.42}",25.2439529355633,False,True,False,True,False,long_age72h_sesslondon_sw20_inside1_TP4.0R
long,12,ny,20,True,1.0,89,-106.4077570373394,-16.57983383241863,0.6067415730337079,0.2805558616620931,-109.36224109381696,-0.1516047373077837,2/8,"{2019: -2.39, 2020: -54.95, 2021: -5.25, 2022: -25.8, 2023: 7.31, 2024: -21.98, 2025: -4.05, 2026: 0.72}",13.86745902902037,False,False,False,False,False,long_age12h_sessny_sw20_inside1_TP1.0R
long,12,ny,20,True,2.0,89,-83.2034660193867,-12.964277034790266,0.4943820224719101,0.4601843851652612,-89.05353240518154,-0.14557847043960656,3/8,"{2019: -2.49, 2020: -52.46, 2021: -1.25, 2022: -19.8, 2023: 4.28, 2024: -15.14, 2025: 2.95, 2026: 0.72}",13.86745902902037,False,False,False,False,False,long_age12h_sessny_sw20_inside1_TP2.0R
long,12,ny,20,True,3.0,89,-57.787204076928376,-9.004063875712845,0.449438202247191,0.6238987630856183,-73.93238082829033,-0.12178782523756393,4/8,"{2019: -2.49, 2020: -47.99, 2021: 1.32, 2022: -19.8, 2023: 6.28, 2024: -7.76, 2025: 9.95, 2026: 2.72}",13.86745902902037,False,False,False,False,False,long_age12h_sessny_sw20_inside1_TP3.0R
long,12,ny,20,True,4.0,89,-22.265981666062554,-3.4693549269105755,0.43820224719101125,0.8504386875668836,-57.72967737996706,-0.06009655837977169,5/8,"{2019: -2.49, 2020: -39.99, 2021: 4.32, 2022: -18.8, 2023: 11.28, 2024: 2.24, 2025: 16.47, 2026: 4.72}",13.86745902902037,False,False,False,False,False,long_age12h_sessny_sw20_inside1_TP4.0R
long,24,ny,20,True,1.0,137,-102.14916989286921,-15.769224134983297,0.6058394160583942,0.3947498153331018,-105.37556206876002,-0.14964782939609383,1/8,"{2019: -0.67, 2020: -57.46, 2021: -4.54, 2022: -25.51, 2023: 8.26, 2024: -19.55, 2025: -1.95, 2026: -0.73}",21.149302620456467,False,False,False,False,False,long_age24h_sessny_sw20_inside1_TP1.0R
long,24,ny,20,True,2.0,137,-87.19125135060837,-13.460103362556934,0.45985401459854014,0.5373176960544017,-93.45682145339035,-0.14402483578226424,1/8,"{2019: -4.77, 2020: -51.83, 2021: -1.54, 2022: -19.51, 2023: -3.15, 2024: -9.71, 2025: 7.05, 2026: -3.73}",21.149302620456467,False,False,False,False,False,long_age24h_sessny_sw20_inside1_TP2.0R
long,24,ny,20,True,3.0,137,-57.47981734972247,-8.87341643575069,0.41605839416058393,0.6980693422768446,-79.46051527401879,-0.1116707638397612,2/8,"{2019: -4.77, 2020: -47.36, 2021: 2.03, 2022: -17.51, 2023: -1.15, 2024: -2.64, 2025: 14.65, 2026: -0.73}",21.149302620456467,False,False,False,False,False,long_age24h_sessny_sw20_inside1_TP3.0R
long,24,ny,20,True,4.0,137,-21.390971988036927,-3.30221999942117,0.39416058394160586,0.8860572047179139,-55.668930661857196,-0.05931890482106492,5/8,"{2019: -4.77, 2020: -36.36, 2021: 4.6, 2022: -14.51, 2023: 3.85, 2024: 0.36, 2025: 23.17, 2026: 2.27}",21.149302620456467,False,False,False,False,False,long_age24h_sessny_sw20_inside1_TP4.0R
long,72,ny,20,True,1.0,162,-96.29534967478153,-14.865543731493641,0.6172839506172839,0.45855330703222424,-101.44654074991031,-0.14653573814942314,2/8,"{2019: -0.67, 2020: -57.33, 2021: -4.88, 2022: -24.84, 2023: 9.09, 2024: -18.66, 2025: -0.21, 2026: 1.2}",25.008664412510566,False,False,False,False,False,long_age72h_sessny_sw20_inside1_TP1.0R
long,72,ny,20,True,2.0,162,-76.23015846373109,-11.767990439086129,0.4691358024691358,0.6201116586607499,-88.05461368549902,-0.13364422313085567,2/8,"{2019: -4.77, 2020: -52.71, 2021: 1.12, 2022: -16.74, 2023: -2.3, 2024: -6.81, 2025: 8.79, 2026: -2.8}",25.008664412510566,False,False,False,False,False,long_age72h_sessny_sw20_inside1_TP2.0R
long,72,ny,20,True,3.0,162,-43.71313005725072,-6.748191358161804,0.41975308641975306,0.787231561111985,-72.252713100533,-0.09339706522538907,5/8,"{2019: -4.77, 2020: -47.24, 2021: 3.69, 2022: -13.94, 2023: 0.7, 2024: 2.26, 2025: 14.39, 2026: 1.2}",25.008664412510566,False,False,False,False,False,long_age72h_sessny_sw20_inside1_TP3.0R
long,72,ny,20,True,4.0,162,1.1940079873615161,0.184324352233218,0.4012345679012346,1.0058873407058835,-54.56125054221998,0.003378301457562564,5/8,"{2019: -4.77, 2020: -35.24, 2021: 8.26, 2022: -9.94, 2023: 6.7, 2024: 7.07, 2025: 23.91, 2026: 5.2}",25.008664412510566,False,False,False,False,False,long_age72h_sessny_sw20_inside1_TP4.0R
long,12,overlap,20,True,1.0,46,-38.90116852850762,-6.061352367978607,0.5434782608695652,0.3214979133712439,-39.960020609977626,-0.15168541646009928,4/8,"{2019: -2.39, 2020: -13.7, 2021: -5.46, 2022: 0.4, 2023: 4.66, 2024: -24.04, 2025: 0.92, 2026: 0.72}",7.1674507341004166,False,False,False,False,False,long_age12h_sessoverlap_sw20_inside1_TP1.0R
long,12,overlap,20,True,2.0,46,-29.26213070180815,-4.559453916956895,0.45652173913043476,0.5260627511296319,-32.34373210387759,-0.1409687015188416,4/8,"{2019: -2.49, 2020: -11.96, 2021: -2.46, 2022: 2.4, 2023: 2.66, 2024: -20.04, 2025: 1.92, 2026: 0.72}",7.1674507341004166,False,False,False,False,False,long_age12h_sessoverlap_sw20_inside1_TP2.0R
long,12,overlap,20,True,3.0,46,-22.219670676282764,-3.4621390195693995,0.391304347826087,0.6444965836824089,-30.301272078352202,-0.11425721701112398,4/8,"{2019: -2.49, 2020: -13.49, 2021: -0.89, 2022: 0.4, 2023: 2.66, 2024: -14.04, 2025: 2.92, 2026: 2.72}",7.1674507341004166,False,False,False,False,False,long_age12h_sessoverlap_sw20_inside1_TP3.0R
long,12,overlap,20,True,4.0,46,-5.219670676282763,-0.8132985308801153,0.391304347826087,0.9122773751068509,-18.502481623963675,-0.043956186386736554,5/8,"{2019: -2.49, 2020: -11.49, 2021: 1.11, 2022: 1.4, 2023: 5.66, 2024: -8.04, 2025: 3.92, 2026: 4.72}",7.1674507341004166,False,False,False,False,False,long_age12h_sessoverlap_sw20_inside1_TP4.0R
