,fvg_short_$,fvg_long_$,traderzden_$,martin_luke_$,total_$
2019-10,626.849999999934,0.0,779.4900000000744,27.900000000017826,1434.2400000000262
2019-11,328.4599999999082,-164.30000000000928,358.60000000002856,-153.90000000000236,368.8599999999251
2019-12,0.0,-168.54000000004908,-417.3899999996811,1701.2500000000455,1115.3200000003153
2020-01,0.0,0.0,74.95000000019536,716.0500000000293,791.0000000002246
2020-02,0.0,685.3799999999756,-794.5099999999984,2766.4800000000187,2657.349999999996
2020-03,405.4200000000001,0.0,70.46000000001186,704.5199999999959,1180.4000000000078
2020-04,530.7400000000653,1293.2499999999936,2609.880000000313,1216.0500000000102,5649.920000000382
2020-05,0.0,-365.7799999999752,-1050.139999999994,-9.219999999988431,-1425.1399999999576
2020-06,38.42999999999938,1217.8999999999405,-341.49999999996817,495.21999999999844,1410.0499999999702
2020-07,-164.64000000000578,-147.44999999999982,-213.7900000001091,2961.910000000007,2436.0299999998924
2020-08,0.0,-150.09999999999854,191.40000000000055,106.72999999999956,148.03000000000156
2020-09,588.6000000000022,-181.4499999999971,-733.3400000000483,-150.8799999999992,-477.07000000004246
2020-10,-303.25000000000273,0.0,432.7600000000675,0.0,129.5100000000648
2020-11,336.5200000000332,37.419999999994616,-163.79999999999563,0.0,210.14000000003216
2020-12,0.0,1454.6499999998614,52.86000000003423,919.5300000000079,2427.0399999999036
2021-01,-140.60000000000036,0.0,392.8999999999942,-292.59999999999945,-40.30000000000564
2021-02,585.0600000000159,0.0,395.1900000000087,0.0,980.2500000000246
2021-03,1009.5199999997467,345.9999999999982,-495.38000000001375,0.0,860.1399999997311
2021-04,-179.33999999999742,377.5799999999981,425.7399999999443,-302.8299999999954,321.1499999999496
2021-05,0.0,0.0,2735.650000000035,847.7800000000134,3583.4300000000485
2021-06,0.0,-449.9999999998636,280.1600000000599,-236.61999999999898,-406.4599999998027
2021-07,546.9599999999245,625.5600000000177,39.289999999978136,0.0,1211.8099999999204
2021-08,652.3599999999133,21.890000000008513,-868.5599999999531,0.0,-194.31000000003132
2021-09,0.0,-165.00000000000273,452.03999999995267,-146.70000000000073,140.3399999999492
2021-10,540.0,297.5099999994627,110.37000000011176,-154.55999999999403,793.3199999995804
2021-11,-165.88999999999578,0.0,370.64000000006763,1491.069999999986,1695.820000000058
2021-12,0.0,-326.2599999999866,440.1700000000292,393.00000000001637,506.910000000059
2022-01,580.5200000000032,0.0,3232.6800000005096,-1053.140000000004,2760.060000000509
2022-02,0.0,-256.63000000000284,53.66999999942982,837.4600000000037,634.4999999994307
2022-03,1136.4400000000878,59.33999999999742,796.2799999999988,429.1300000000001,2421.190000000084
2022-04,439.1600000000017,0.0,381.50000000001,-505.9999999999991,314.6600000000126
2022-05,588.0000000000045,0.0,105.78999999996995,0.0,693.7899999999745
2022-06,579.2799999999788,0.0,-718.9000000000033,0.0,-139.62000000002445
2022-07,582.5400000000245,0.0,0.0,0.0,582.5400000000245
2022-08,-164.7300000000032,392.6400000000094,494.7900000002073,0.0,722.7000000002135
