cfg,n,pf_close,pf_honest,net_close,net_honest,wr_honest,posY_h,oos_h
l_a4_overlap_sw30_in0_tp3.0,25,1.96,1.89,15.0,15.0,52.0,6/7,2.78
l_a4_overlap_sw30_in0_tp4.0,25,1.64,1.6,11.0,11.0,44.0,6/7,1.98
l_a4_overlap_sw30_in1_tp2.0,23,1.34,1.33,5.0,5.0,48.0,4/7,1.57
l_a4_overlap_sw30_in1_tp3.0,23,1.52,1.85,8.0,12.0,48.0,4/7,2.5
l_a4_overlap_sw30_in1_tp4.0,23,1.08,1.39,1.0,6.0,39.0,4/7,1.63
l_a12_all_sw10_in0_tp2.0,94,1.21,0.74,17.0,-31.0,55.0,2/8,0.6
l_a12_all_sw10_in0_tp3.0,94,1.64,0.97,53.0,-4.0,49.0,4/8,0.87
l_a12_all_sw10_in0_tp4.0,94,1.99,0.92,79.0,-11.0,38.0,4/8,0.92
l_a12_all_sw10_in1_tp2.0,99,0.51,0.34,-77.0,-143.0,46.0,1/8,0.24
l_a12_all_sw10_in1_tp3.0,99,0.78,0.44,-32.0,-125.0,40.0,1/8,0.35
l_a12_all_sw10_in1_tp4.0,99,1.07,0.52,10.0,-110.0,35.0,0/8,0.43
l_a12_all_sw20_in0_tp2.0,129,0.82,0.69,-27.0,-57.0,55.0,3/8,1.41
l_a12_all_sw20_in0_tp3.0,129,1.09,0.82,14.0,-34.0,48.0,4/8,1.77
l_a12_all_sw20_in0_tp4.0,129,1.39,0.88,58.0,-24.0,43.0,3/8,1.74
l_a12_all_sw20_in1_tp2.0,147,0.43,0.35,-153.0,-207.0,46.0,0/8,0.44
l_a12_all_sw20_in1_tp3.0,147,0.61,0.44,-100.0,-184.0,40.0,1/8,0.57
l_a12_all_sw20_in1_tp4.0,147,0.83,0.51,-43.0,-163.0,37.0,2/8,0.65
l_a12_all_sw30_in0_tp2.0,144,1.69,1.39,56.0,38.0,53.0,4/8,1.38
l_a12_all_sw30_in0_tp3.0,144,2.1,1.64,94.0,66.0,48.0,5/8,1.63
l_a12_all_sw30_in0_tp4.0,144,2.35,1.73,118.0,80.0,44.0,5/8,1.65
l_a12_all_sw30_in1_tp2.0,185,0.65,0.55,-77.0,-116.0,45.0,1/8,0.5
l_a12_all_sw30_in1_tp3.0,185,0.88,0.71,-26.0,-78.0,42.0,2/8,0.63
l_a12_all_sw30_in1_tp4.0,185,1.09,0.82,20.0,-48.0,40.0,3/8,0.69
l_a12_london_sw10_in0_tp2.0,64,1.29,0.71,13.0,-20.0,47.0,3/8,0.68
l_a12_london_sw10_in0_tp3.0,64,1.57,0.96,29.0,-3.0,42.0,4/8,0.99
l_a12_london_sw10_in0_tp4.0,64,2.14,1.04,56.0,3.0,36.0,4/8,1.07
l_a12_london_sw10_in1_tp2.0,61,0.75,0.43,-17.0,-53.0,43.0,1/8,0.28
l_a12_london_sw10_in1_tp3.0,61,1.07,0.55,4.0,-44.0,36.0,1/8,0.39
l_a12_london_sw10_in1_tp4.0,61,1.56,0.72,36.0,-28.0,34.0,1/8,0.48
l_a12_london_sw20_in0_tp2.0,82,1.13,0.92,8.0,-7.0,51.0,5/8,1.5
l_a12_london_sw20_in0_tp3.0,82,1.58,1.23,39.0,19.0,48.0,6/8,2.17
l_a12_london_sw20_in0_tp4.0,82,2.12,1.32,74.0,29.0,41.0,5/8,1.86
l_a12_london_sw20_in1_tp2.0,86,0.63,0.55,-40.0,-55.0,47.0,0/8,0.46
l_a12_london_sw20_in1_tp3.0,86,0.9,0.7,-11.0,-39.0,41.0,2/8,0.62
l_a12_london_sw20_in1_tp4.0,86,1.27,0.83,28.0,-22.0,37.0,4/8,0.68
l_a12_london_sw30_in0_tp2.0,92,1.5,1.28,27.0,18.0,51.0,4/8,1.21
l_a12_london_sw30_in0_tp3.0,92,2.1,1.75,63.0,51.0,49.0,7/8,1.82
l_a12_london_sw30_in0_tp4.0,92,2.33,1.73,80.0,55.0,42.0,5/8,1.61
l_a12_london_sw30_in1_tp2.0,103,0.65,0.57,-42.0,-60.0,45.0,3/8,0.34
l_a12_london_sw30_in1_tp3.0,103,0.86,0.74,-18.0,-38.0,41.0,3/8,0.48
l_a12_london_sw30_in1_tp4.0,103,1.03,0.82,4.0,-26.0,37.0,4/8,0.48
l_a12_ny_sw10_in0_tp2.0,58,1.71,1.04,25.0,2.0,53.0,4/8,0.66
l_a12_ny_sw10_in0_tp3.0,58,1.91,1.24,38.0,14.0,47.0,4/8,0.84
l_a12_ny_sw10_in0_tp4.0,58,1.86,1.11,41.0,7.0,36.0,5/8,0.91
l_a12_ny_sw10_in1_tp2.0,58,0.65,0.44,-25.0,-54.0,45.0,1/8,0.31
l_a12_ny_sw10_in1_tp3.0,58,0.9,0.5,-7.0,-51.0,36.0,1/8,0.37
l_a12_ny_sw10_in1_tp4.0,58,1.1,0.6,7.0,-42.0,33.0,2/8,0.5
l_a12_ny_sw20_in0_tp2.0,78,0.66,0.55,-37.0,-57.0,50.0,5/8,1.56
l_a12_ny_sw20_in0_tp3.0,78,0.8,0.59,-23.0,-55.0,41.0,4/8,1.83
l_a12_ny_sw20_in0_tp4.0,78,1.05,0.69,5.0,-42.0,38.0,3/8,2.06
l_a12_ny_sw20_in1_tp2.0,89,0.46,0.36,-83.0,-118.0,44.0,2/8,0.68
l_a12_ny_sw20_in1_tp3.0,89,0.62,0.39,-58.0,-118.0,35.0,2/8,0.8
l_a12_ny_sw20_in1_tp4.0,89,0.85,0.48,-22.0,-102.0,33.0,2/8,1.0
l_a12_ny_sw30_in0_tp2.0,91,1.69,1.37,32.0,21.0,48.0,6/8,1.41
l_a12_ny_sw30_in0_tp3.0,91,1.9,1.44,48.0,28.0,42.0,6/8,1.47
l_a12_ny_sw30_in0_tp4.0,91,2.01,1.57,57.0,37.0,40.0,6/8,1.54
l_a12_ny_sw30_in1_tp2.0,121,0.7,0.58,-40.0,-66.0,43.0,3/8,0.46
l_a12_ny_sw30_in1_tp3.0,121,0.93,0.72,-9.0,-45.0,39.0,5/8,0.54
l_a12_ny_sw30_in1_tp4.0,121,1.12,0.8,16.0,-34.0,36.0,4/8,0.54
l_a12_overlap_sw10_in0_tp2.0,29,1.68,1.01,11.0,0.0,52.0,5/8,0.72
l_a12_overlap_sw10_in0_tp3.0,29,1.55,1.14,12.0,4.0,45.0,5/8,0.7
l_a12_overlap_sw10_in0_tp4.0,29,1.35,1.0,9.0,0.0,34.0,4/8,0.71
l_a12_overlap_sw10_in1_tp2.0,31,0.57,0.43,-17.0,-27.0,42.0,2/7,0.27
l_a12_overlap_sw10_in1_tp3.0,31,0.75,0.44,-10.0,-30.0,32.0,2/7,0.23
l_a12_overlap_sw10_in1_tp4.0,31,0.92,0.59,-3.0,-22.0,32.0,2/7,0.31
l_a12_overlap_sw20_in0_tp2.0,37,0.88,0.65,-4.0,-15.0,43.0,5/8,1.33
l_a12_overlap_sw20_in0_tp3.0,37,0.87,0.63,-5.0,-17.0,35.0,5/8,1.42
l_a12_overlap_sw20_in0_tp4.0,37,1.2,0.72,7.0,-13.0,32.0,5/8,1.57
l_a12_overlap_sw20_in1_tp2.0,46,0.53,0.42,-29.0,-43.0,41.0,4/8,0.47
l_a12_overlap_sw20_in1_tp3.0,46,0.64,0.37,-22.0,-50.0,30.0,3/8,0.49
l_a12_overlap_sw20_in1_tp4.0,46,0.91,0.45,-5.0,-45.0,28.0,3/8,0.57
l_a12_overlap_sw30_in0_tp2.0,43,1.47,1.2,11.0,6.0,47.0,6/8,1.2
l_a12_overlap_sw30_in0_tp3.0,43,1.4,1.11,12.0,4.0,37.0,5/8,1.34
l_a12_overlap_sw30_in0_tp4.0,43,1.27,1.07,9.0,3.0,33.0,5/8,1.25
l_a12_overlap_sw30_in1_tp2.0,61,0.58,0.47,-34.0,-51.0,43.0,5/8,0.3
l_a12_overlap_sw30_in1_tp3.0,61,0.73,0.53,-23.0,-47.0,36.0,4/8,0.33
l_a12_overlap_sw30_in1_tp4.0,61,0.81,0.55,-16.0,-47.0,31.0,3/8,0.34
