rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
orb_continuation + risk_ge_10 + dir_supply,3,249,2.0372806109200647,0.31173721958045814,50.602409638554214,1.016912457555976,-20.41818181461263,0.015267628744365373,5,8,24,52
orb_continuation + risk_ge_15 + dir_demand,3,142,3.234830076796602,0.48186039378057055,52.816901408450704,1.047616976235726,-9.530156774340021,0.05056164396770274,6,8,14,25
orb_continuation + risk_ge_15 + dir_supply,3,134,10.807670756638803,1.7200443328376136,53.73134328358209,1.181203138693302,-10.224119234428453,0.16823398606753115,5,7,14,28
orb_reversal + ny_main_or_overlap + avoid_after_hours,3,1209,-258.9328682989527,-38.50782986408489,42.018196856906535,0.6478511219241965,-260.87732518378357,-0.1476089569569022,0,8,17,82
orb_reversal + ny_main_or_overlap + recent_fvg_20,3,978,-223.33924375908035,-33.214437615229684,41.308793456032724,0.6291604613958898,-225.68560776178964,-0.14717127044400372,0,8,18,82
orb_reversal + ny_main_or_overlap + zone_fvg_overlap_100,3,1003,-205.9857048442073,-30.633663963496222,42.47258225324028,0.6597844577503721,-206.92632074217937,-0.1480414084279996,0,8,18,82
orb_reversal + ny_main_or_overlap + opposite_fvg_20,3,1144,-226.23070495531755,-33.64444828376618,42.83216783216783,0.6700340824566462,-227.48960585965193,-0.14789444184330286,0,8,18,82
orb_reversal + ny_main_or_overlap + ob_overlap_30d,3,598,-113.60098288494854,-16.894445846387402,43.1438127090301,0.6806624767701882,-118.61662037109302,-0.1424289934541466,1,8,29,81
orb_reversal + ny_main_or_overlap + ob_fvg_bos_overlap_30d,3,436,-81.60598745244928,-12.13623245806478,43.34862385321101,0.6846801179326867,-86.53617330730702,-0.1402446167219184,1,8,25,81
orb_reversal + ny_main_or_overlap + risk_ge_10,3,240,-48.77991832619172,-7.776894442881504,39.58333333333333,0.6541213867479131,-50.102074035916864,-0.1552210081623857,1,7,15,50
orb_reversal + ny_main_or_overlap + risk_ge_15,3,121,-27.40112485974729,-4.383819910215812,38.01652892561984,0.6188168255096076,-27.401124859747274,-0.1599868593955323,0,6,3,24
orb_reversal + ny_main_or_overlap + dir_demand,3,639,-128.35873379775853,-19.12032117440102,42.41001564945227,0.664450663346014,-129.9120804392998,-0.14717893139533555,0,8,22,82
orb_reversal + ny_main_or_overlap + dir_supply,3,570,-130.57413450119418,-19.41864927791579,41.578947368421055,0.6298506032064015,-133.55600692681227,-0.1453970489590713,0,8,20,82
orb_reversal + avoid_after_hours + recent_fvg_20,3,978,-223.33924375908035,-33.214437615229684,41.308793456032724,0.6291604613958898,-225.68560776178964,-0.14717127044400372,0,8,18,82
orb_reversal + avoid_after_hours + zone_fvg_overlap_100,3,1003,-205.9857048442073,-30.633663963496222,42.47258225324028,0.6597844577503721,-206.92632074217937,-0.1480414084279996,0,8,18,82
orb_reversal + avoid_after_hours + opposite_fvg_20,3,1144,-226.23070495531755,-33.64444828376618,42.83216783216783,0.6700340824566462,-227.48960585965193,-0.14789444184330286,0,8,18,82
orb_reversal + avoid_after_hours + ob_overlap_30d,3,598,-113.60098288494854,-16.894445846387402,43.1438127090301,0.6806624767701882,-118.61662037109302,-0.1424289934541466,1,8,29,81
orb_reversal + avoid_after_hours + ob_fvg_bos_overlap_30d,3,436,-81.60598745244928,-12.13623245806478,43.34862385321101,0.6846801179326867,-86.53617330730702,-0.1402446167219184,1,8,25,81
orb_reversal + avoid_after_hours + risk_ge_10,3,240,-48.77991832619172,-7.776894442881504,39.58333333333333,0.6541213867479131,-50.102074035916864,-0.1552210081623857,1,7,15,50
orb_reversal + avoid_after_hours + risk_ge_15,3,121,-27.40112485974729,-4.383819910215812,38.01652892561984,0.6188168255096076,-27.401124859747274,-0.1599868593955323,0,6,3,24
orb_reversal + avoid_after_hours + dir_demand,3,639,-128.35873379775853,-19.12032117440102,42.41001564945227,0.664450663346014,-129.9120804392998,-0.14717893139533555,0,8,22,82
orb_reversal + avoid_after_hours + dir_supply,3,570,-130.57413450119418,-19.41864927791579,41.578947368421055,0.6298506032064015,-133.55600692681227,-0.1453970489590713,0,8,20,82
orb_reversal + recent_fvg_20 + zone_fvg_overlap_100,3,1711,-273.96984951019226,-40.74409101530852,46.1718293395675,0.7238139919826135,-277.7152960501615,-0.1467117281431601,0,8,23,82
orb_reversal + recent_fvg_20 + opposite_fvg_20,3,1826,-298.0689082604956,-44.3280410187891,45.947426067908,0.7192247090884656,-303.07671382376986,-0.14626013480060546,0,8,18,82
orb_reversal + recent_fvg_20 + ob_overlap_30d,3,973,-158.99566529098752,-23.645426200135667,45.83761562178829,0.718933978894519,-164.01462601852586,-0.14416657083658416,1,8,20,82
orb_reversal + recent_fvg_20 + ob_fvg_bos_overlap_30d,3,692,-102.55004088406845,-15.250978189293976,46.53179190751445,0.7410851274125239,-109.64017913560168,-0.13910026697814626,1,8,25,82
orb_reversal + recent_fvg_20 + risk_ge_10,3,306,-55.387729535667276,-8.597691548194845,41.17647058823529,0.6890166042320732,-58.552524424771,-0.14683724796940675,1,7,17,52
orb_reversal + recent_fvg_20 + risk_ge_15,3,163,-34.726669049499975,-5.550947864476965,39.263803680981596,0.6420593644728011,-35.71977014149852,-0.15540267595473645,0,6,3,24
orb_reversal + recent_fvg_20 + dir_demand,3,1031,-150.0437221279078,-22.341406240203153,46.55674102812803,0.7450008387440183,-153.90184016432005,-0.14516659590521705,0,8,24,82
orb_reversal + recent_fvg_20 + dir_supply,3,951,-193.0540670397558,-28.710504066071177,44.479495268138805,0.6639290935635557,-199.23617913553502,-0.14410286420188873,0,8,20,82
orb_reversal + zone_fvg_overlap_100 + opposite_fvg_20,3,1771,-253.78743595957064,-37.742614407261065,46.80971202710333,0.7490891224008598,-256.60055676076246,-0.14708703240441448,0,8,23,82
orb_reversal + zone_fvg_overlap_100 + ob_overlap_30d,3,937,-120.73826449817821,-17.955884001612212,47.49199573105656,0.7710589650262551,-124.78272299910685,-0.14389719642310364,1,8,27,82
