rule,version,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
ema8_aligned + orb_reversal,original,2508,850.919812784699,126.59815137255045,71.7304625199362,2.100002799891556,-12.596596300544903,10.050187237251865,8,8,80,82
ema8_aligned + orb_reversal,causal_0930,1085,56.51608093215516,8.40834971913225,57.14285714285714,1.1125216769806168,-40.95877040840411,0.20528813817631072,6,8,48,82
ema8_aligned + orb_reversal,causal_1000,1084,57.625587111432424,8.573419833992135,57.19557195571956,1.114984667717252,-40.95877040840411,0.20931829125986165,6,8,48,82
ema8_aligned + orb_reversal + avoid_after_hours,original,1802,842.9541441384827,125.56647681345058,77.6914539400666,2.9569228817588997,-7.707277392710523,16.291936881915042,8,8,80,82
ema8_aligned + orb_reversal + avoid_after_hours,causal_0930,379,48.55041228593877,7.232070998139942,58.31134564643799,1.3044642189561007,-13.829365578544188,0.5229503086793993,6,8,47,82
ema8_aligned + orb_reversal + avoid_after_hours,causal_1000,378,49.65991846521602,7.397343074804304,58.46560846560847,1.3136040367622783,-13.829365578544188,0.5349011155132845,6,8,47,82
ema8_aligned + intraday_stack_24h + orb_reversal,original,2017,719.169027730861,106.99653253714744,72.58304412493803,2.191750191961115,-8.336931964905062,12.834041705936588,8,8,79,82
ema8_aligned + intraday_stack_24h + orb_reversal,causal_0930,829,52.02869524622797,7.740725433272817,57.65983112183354,1.1372978079050127,-31.30474987021367,0.2472699978554399,6,8,44,82
ema8_aligned + intraday_stack_24h + orb_reversal,causal_1000,828,53.138201425505216,7.905795548132701,57.729468599033815,1.1406374352973536,-31.30474987021367,0.25254300324740914,6,8,45,82
ema8_aligned + intraday_stack_7d + orb_reversal,original,2309,809.2969380342495,120.40558314338479,72.32568211346904,2.1586087652802344,-9.572819993888004,12.577859316299755,8,8,79,82
ema8_aligned + intraday_stack_7d + orb_reversal,causal_0930,980,66.2357827270134,9.854427552359123,57.95918367346938,1.1484209457850059,-34.73716074394178,0.28368546367387704,6,8,50,82
ema8_aligned + intraday_stack_7d + orb_reversal,causal_1000,979,67.34528890629068,10.01949766721901,58.018386108273745,1.1512832410358205,-34.73716074394178,0.288437438542424,6,8,51,82
ema8_aligned + stack_7d30d_score3 + orb_reversal,original,2219,752.4313232106833,111.94523046953242,71.78909418657052,2.099150918943789,-10.65537805014182,10.505983921240828,8,8,79,82
ema8_aligned + stack_7d30d_score3 + orb_reversal,causal_0930,944,52.54328615416099,7.81728524146937,57.41525423728814,1.1206016278048385,-36.912518904476656,0.21177869929980067,6,8,47,82
ema8_aligned + stack_7d30d_score3 + orb_reversal,causal_1000,943,53.65279233343824,7.982355356329254,57.476139978791096,1.1234626703146755,-36.912518904476656,0.2162506269752611,6,8,47,82
ema8_aligned + orb_reversal + asia_post_session,original,1362,760.4374640218234,113.3210051954186,82.8928046989721,3.931210715591313,-5.200278059990637,21.791335749385414,8,8,82,82
ema8_aligned + orb_reversal + asia_post_session,causal_0930,0,0.0,0.0,0.0,0.0,0.0,inf,0,0,0,0
ema8_aligned + orb_reversal + asia_post_session,causal_1000,0,0.0,0.0,0.0,0.0,0.0,inf,0,0,0,0
