version,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
all,1032,256.10667497371514,36.497449486597525,63.856589147286826,1.6837572732457418,-12.694926116838438,2.8749635209131017,8,8,53,80
causal_0930,720,53.76943278597176,7.662616201746464,55.13888888888889,1.1664922815247336,-15.410471682845458,0.4972343715005357,6,8,38,80
causal_1000,706,54.23275657452575,7.728643909030641,55.240793201133144,1.171779584955067,-12.855725426434375,0.601183025668761,7,8,40,80
pre_0930,312,202.33724218774339,32.104117162933655,83.97435897435898,4.921008083561633,-3.093018991932013,10.37954091024842,7,7,49,54
