year,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019,12,1.5916729139630699,5.099636244079046,58.333333333333336,1.3067132147676424,0.1326394094969225,-2.280241989418938,2.2364451964936225,1.1977108572782764,10,2,-2.067883671808729,4,1,1,1,4
2020,102,8.303237847121991,8.542979221581147,55.88235294117647,1.1800056129721013,0.08140429261884305,-8.496994114030954,1.0054119264922472,3.5051567211911667,53,4,-4.153331191896404,8,1,1,5,12
2021,59,5.869651145042398,6.3806252402581425,55.932203389830505,1.245875190954432,0.09948561262783726,-10.487084726154727,0.6084269753580708,5.256591827637979,42,5,-5.174279854538305,5,1,1,5,11
2022,78,9.239218883387043,9.95464512435728,57.692307692307686,1.2899640804695476,0.11845152414598772,-4.227486827221161,2.3547430261067737,1.5673903338489321,11,3,-3.111373633523398,5,1,1,7,12
2023,64,-7.513838413006722,-7.709071574018835,46.875,0.782887453071094,-0.11740372520323003,-11.667571325190739,-0.6607263293411072,5.243732970319579,29,4,-4.163863284636691,5,0,1,2,11
2024,117,20.742329034160342,22.957986908263834,59.82905982905983,1.4521435310262898,0.17728486353983197,-6.197398549126625,3.7044554624454826,1.7221879792148207,18,6,-6.197398549126622,11,1,1,10,12
2025,174,-4.870253091933346,-4.900440611098222,50.0,0.9455235609139184,-0.027989960298467505,-10.397468952849685,-0.4713109155045983,5.082377554326322,82,6,-6.210586780232857,7,0,1,3,12
2026,114,20.40741446723699,44.63358164166653,59.64912280701754,1.4434762613819176,0.17901240760734202,-6.106922927308196,7.308685924638004,2.1151254999163953,18,6,-6.106922927308196,10,1,1,5,6
