risk_pct,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_intrayear_dd_usd
0.01,2019,12,5000.0,5077.185552640466,77.18555264046608,1.5437110528093267,-114.73201287092616
0.01,2020,102,5000.0,5405.8413426264315,405.84134262643147,8.116826852528636,-414.164878595353
0.01,2021,59,5000.0,5288.500085386965,288.5000853869651,5.770001707739292,-524.9495750239503
0.01,2022,78,5000.0,5464.406980277343,464.4069802773429,9.288139605546863,-215.7926984609312
0.01,2023,64,5000.0,4623.8453825489105,-376.1546174510895,-7.523092349021788,-579.5575710830335
0.01,2024,117,5000.0,6118.420837392752,1118.4208373927522,22.368416747855036,-389.55639952203364
0.01,2025,174,5000.0,4721.0393990966995,-278.9606009033005,-5.579212018066004,-523.9699251381198
0.01,2026,114,5000.0,6097.836349549912,1097.8363495499116,21.95672699099822,-311.0310686298435
0.02,2019,12,5000.0,5149.408272445513,149.40827244551292,2.9881654489102516,-230.77597443881587
0.02,2020,102,5000.0,5786.5740275422,786.5740275422004,15.731480550844012,-806.6469563545879
0.02,2021,59,5000.0,5564.644311441508,564.6443114415079,11.292886228830156,-1049.6274485762706
0.02,2022,78,5000.0,5929.426245805824,929.4262458058238,18.588524916116466,-439.403239709457
0.02,2023,64,5000.0,4249.710871053238,-750.2891289467616,-15.005782578935234,-1147.4011635183033
0.02,2024,117,5000.0,7404.363256795398,2404.3632567953982,48.08726513590798,-969.4248633328216
0.02,2025,174,5000.0,4380.586205616881,-619.4137943831192,-12.388275887662381,-1061.3879416032723
0.02,2026,114,5000.0,7354.358054267345,2354.3580542673453,47.08716108534689,-733.0585412706614
0.03,2019,12,5000.0,5216.426359933617,216.42635993361728,4.328527198672338,-347.9413475519377
0.03,2020,102,5000.0,6132.559024027939,1132.559024027939,22.651180480558786,-1177.1347676560008
0.03,2021,59,5000.0,5824.84582154366,824.8458215436603,16.49691643087321,-1571.9233898244884
0.03,2022,78,5000.0,6388.215835202774,1388.2158352027736,27.76431670405548,-669.213455312025
0.03,2023,64,5000.0,3881.7247325444596,-1118.2752674555404,-22.365505349110805,-1697.7330621324281
0.03,2024,117,5000.0,8861.798412100097,3861.7984121000973,77.23596824200195,-1790.8368112423905
0.03,2025,174,5000.0,3994.2411117218858,-1005.7588882781142,-20.115177765562287,-1646.6862150699467
0.03,2026,114,5000.0,8771.770743674351,3771.7707436743513,75.43541487348702,-1285.2003797719926
0.04,2019,12,5000.0,5278.009769726041,278.00976972604076,5.560195394520817,-466.0395784221837
0.04,2020,102,5000.0,6434.5537180513475,1434.5537180513475,28.691074361026956,-1525.516083326056
0.04,2021,59,5000.0,6065.575219942133,1065.5752199421331,21.31150439884266,-2089.8476665701196
0.04,2022,78,5000.0,6833.490488019802,1833.490488019802,36.66980976039604,-903.4999450139694
0.04,2023,64,5000.0,3523.5803888622,-1476.4196111378,-29.528392222756004,-2225.234941873488
0.04,2024,117,5000.0,10489.279894038953,5489.279894038953,109.78559788077904,-2910.6728259629454
0.04,2025,174,5000.0,3578.653043301575,-1421.346956698425,-28.4269391339685,-2246.5199430288844
0.04,2026,114,5000.0,10346.9094974607,5346.9094974607,106.93818994921398,-1986.5671764767194
0.05,2019,12,5000.0,5333.941262332134,333.9412623321341,6.678825246642672,-584.8844336787361
0.05,2020,102,5000.0,6684.1075340375155,1684.1075340375155,33.68215068075031,-1851.862214781696
0.05,2021,59,5000.0,6283.435102166842,1283.4351021668417,25.668702043336843,-2601.540542975236
0.05,2022,78,5000.0,7257.6944691473955,2257.6944691473955,45.15388938294791,-1208.190213731973
0.05,2023,64,5000.0,3178.4901752780943,-1821.5098247219057,-36.430196494438114,-2725.1361317218334
0.05,2024,117,5000.0,12278.91928221865,7278.919282218651,145.578385644373,-4389.941353120959
0.05,2025,174,5000.0,3150.3538988687956,-1849.6461011312044,-36.992922022624086,-2845.7547491615564
0.05,2026,114,5000.0,12070.337318432392,7070.337318432392,141.40674636864782,-2855.4491907053616
