risk_pct,total_pnl_usd,positive_years,total_years,worst_year_usd,best_year_usd,avg_year_usd,worst_intrayear_dd_usd
0.01,2797.0759295194794,6,8,-376.1546174510895,1118.4208373927522,349.6344911899349,-579.5575710830335
0.02,5819.071244967908,6,8,-750.2891289467616,2404.3632567953982,727.3839056209885,-1147.4011635183033
0.03,9071.582040748784,6,8,-1118.2752674555404,3861.7984121000973,1133.947755093598,-1790.8368112423905
0.04,12550.052019402752,6,8,-1476.4196111378,5489.279894038953,1568.756502425344,-2910.6728259629454
0.05,16237.27904248182,6,8,-1849.6461011312044,7278.919282218651,2029.6598803102274,-4389.941353120959
