risk_pct,total_pnl_usd,positive_months,total_months,worst_month_usd,best_month_usd,avg_month_usd,worst_intramonth_dd_usd
0.01,2671.3765775640804,38,80,-215.05328667696085,435.5248899848202,33.392207219551004,-305.12025268638627
0.02,5308.346486010357,38,80,-425.5927137879153,900.6267303074565,66.35433107512947,-595.3922644040013
0.03,7910.545307706176,37,80,-631.4393069192201,1396.5507987870033,98.8818163463272,-871.3121811191077
0.04,10477.541476101,37,80,-832.4324557809923,1924.527829648614,130.9692684512625,-1133.371922496778
0.05,13008.818426098496,37,80,-1028.4296114845138,2485.7665932786667,162.6102303262312,-1396.176375368942
