month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019-06,3,-1.1076958275653805,-26.97239340121702,33.33333333333333,0.46929197107846377,-0.36923194252179353,-1.1076958275653805,-24.35,0.8808624963481464,3,1,-1.0470008952551462,1,0,1,0,1
2019-08,4,-0.13818358760585236,-2.8039752985020874,50.0,0.9331763244278697,-0.03454589690146309,-2.067883671808729,-1.355963750151147,1.2814697108118562,3,2,-2.067883671808729,1,0,1,0,1
2019-09,2,-0.06830251671142173,-12.473747114423395,50.0,0.9339665621978847,-0.03415125835571087,-1.0343625742477052,-12.059356578611311,0.7329976701168475,2,1,-1.0343625742477052,1,0,1,0,1
2019-10,3,2.905854845845724,265.34087061128764,100.0,inf,0.9686182819485746,0.9570218165445534,inf,0.0,0,0,0.0,3,1,1,1,1
2020-01,3,-2.6034085529281628,-39.62062391487547,0.0,0.0,-0.8678028509760543,-2.6034085529281628,-15.218749999999998,1.853275241619021,3,3,-2.6034085529281628,0,0,1,0,1
2020-02,3,-1.1275727573799619,-17.906345636218745,33.33333333333333,0.45921441050826717,-0.3758575857933206,-2.085064356910345,-8.587910285298065,1.3474403960009282,2,2,-2.085064356910345,1,0,1,0,1
2020-03,20,-0.612681611826426,-9.32424827998342,50.0,0.9405198116535489,-0.0306340805913213,-4.342551472280981,-2.1471819826434295,2.487382275006736,14,3,-3.1158186985708136,3,0,1,0,1
2020-04,10,-2.3951079576715815,-31.243327912126613,40.0,0.6160413074018453,-0.23951079576715814,-4.153331191896404,-7.522474483394367,2.4939543365340806,10,4,-4.153331191896404,3,0,1,0,1
2020-05,7,2.680983050194729,37.66265611860095,71.42857142857143,2.2825374568639734,0.38299757859924705,-2.090374075116837,18.01718485075255,0.9798237555771098,3,2,-2.090374075116837,4,1,1,1,1
2020-06,5,-1.1965062533322843,-23.001258369979833,40.0,0.6161963652631776,-0.23930125066645686,-2.093383178932912,-10.98760064638743,1.142683685944651,2,2,-2.093383178932912,2,0,1,0,1
