iter,net_r,avg_r_year,wr,pf,max_dd_r
0,228.3624058079448,28.5453007259931,0.626937984496124,1.5813108614750635,-9.039439714747942
1,329.3551183622686,41.16938979528358,0.6734496124031008,1.9832132929144364,-8.011258444515988
2,273.3714990328772,34.17143737910965,0.6453488372093024,1.7485624225162673,-8.474315166862056
3,228.04316839181374,28.505396048976717,0.623062015503876,1.5859707166686319,-7.78745330784232
4,252.21390974428053,31.526738718035066,0.6385658914728682,1.6709044866198997,-8.610439591612433
5,216.33353659726288,27.04169207465786,0.6201550387596899,1.5516573010131962,-9.416764465243887
6,311.56153372283694,38.94519171535462,0.6666666666666666,1.9031918439105449,-9.817369590733179
7,263.02412860350216,32.87801607543777,0.6405038759689923,1.7138064559213233,-13.620283589878852
8,260.38557389142466,32.54819673642808,0.6395348837209303,1.697604497450394,-9.2698432031776
9,301.925763704107,37.740720463013375,0.6560077519379846,1.8636159760238644,-6.155390443129534
10,307.55556019233404,38.444445024041755,0.6627906976744186,1.8831383044755414,-7.239803511979034
11,201.17113358258393,25.14639169782299,0.6104651162790697,1.5005395265026367,-9.317328738886559
12,239.07348543735839,29.884185679669798,0.6317829457364341,1.6244815627307032,-8.451997341524006
13,278.051209990126,34.75640124876575,0.6482558139534884,1.7725023495920096,-11.319839729327242
14,248.0071257885912,31.0008907235739,0.6327519379844961,1.6566171976453525,-16.464825569968724
15,337.19883380312723,42.149854225390904,0.6763565891472868,2.0243681839236696,-8.323895966757078
16,272.10913163980547,34.013641454975684,0.6453488372093024,1.7489168298574138,-10.459146827828178
17,261.51664642620915,32.689580803276144,0.6405038759689923,1.7073445692525058,-7.654452357408502
18,267.9032473246557,33.48790591558196,0.6424418604651163,1.7232935466022274,-7.433730413978708
19,298.9371261176451,37.36714076470564,0.6608527131782945,1.845011666842175,-10.923892729521766
20,261.6219967462963,32.70274959328704,0.6424418604651163,1.6999210871795842,-8.538647511160747
21,240.13271942546265,30.01658992818283,0.6317829457364341,1.6256665826338232,-8.514121752119408
22,272.5996162111394,34.074952026392424,0.6501937984496124,1.7447335107506838,-14.910221382186563
23,233.66211394085803,29.207764242607254,0.625968992248062,1.6071726460900024,-8.51051465682778
24,278.1362258560191,34.76702823200239,0.6501937984496124,1.7623031649879914,-10.362188589112208
25,300.7504207319796,37.59380259149745,0.6608527131782945,1.8457204972771253,-7.41579565062451
26,223.03686084205478,27.879607605256847,0.622093023255814,1.5677784744305152,-11.48391504615661
27,271.35787761166387,33.91973470145798,0.6463178294573644,1.7369431323971465,-8.650923129094679
28,223.46185780400722,27.932732225500903,0.623062015503876,1.5708448663029788,-15.024988575261517
29,244.44503113133987,30.555628891417484,0.6346899224806202,1.6514467717028334,-8.625638894059506
30,327.72278551813906,40.96534818976738,0.6744186046511628,1.9791613004749058,-5.681319819151668
31,240.96563265303564,30.120704081629455,0.6317829457364341,1.6306881043228285,-14.340600669521876
32,273.13668649951194,34.14208581243899,0.6463178294573644,1.7497005400650718,-9.902605599109146
33,259.78326267267164,32.472907834083955,0.6395348837209303,1.6997085652197501,-7.589028144233083
34,239.17536662561275,29.896920828201594,0.627906976744186,1.6323115478041732,-7.074358106769454
35,247.93239624989675,30.991549531237094,0.6337209302325582,1.6507110045938953,-8.495517613003088
36,274.9786925949357,34.37233657436696,0.6492248062015504,1.7607879948186207,-14.633143191988204
37,253.84092688209054,31.730115860261318,0.6356589147286822,1.6778471087041558,-9.211830313977657
38,313.03600369632636,39.129500462040795,0.6637596899224806,1.9114085475180174,-7.724720850153886
39,288.6482933831445,36.08103667289306,0.6560077519379846,1.8065209508253537,-7.889966678391829
40,310.21653908789915,38.777067385987394,0.6647286821705426,1.8969122975677224,-9.08363772684541
41,240.56493274526719,30.070616593158398,0.6308139534883721,1.627472163867691,-9.457461020815543
42,229.68375375992287,28.710469219990358,0.6288759689922481,1.590414726313605,-9.562236708495789
43,230.50523404948333,28.813154256185417,0.623062015503876,1.595538856729509,-11.66953925780141
44,319.18190611138186,39.89773826392273,0.6705426356589147,1.9222871320150134,-7.7419670708979424
45,235.826080562295,29.478260070286876,0.627906976744186,1.6158831557412128,-10.642856122543975
46,237.06044467052712,29.63255558381589,0.627906976744186,1.622254442378671,-13.360546838272711
47,270.3385120607279,33.79231400759099,0.6434108527131783,1.7328998653071064,-13.8738649490233
48,257.83603275134135,32.22950409391767,0.6385658914728682,1.6829371016954544,-6.595618857962759
49,263.8078348602327,32.975979357529084,0.6443798449612403,1.7062797238538052,-10.446886842785489
50,211.68255351307874,26.460319189134843,0.6153100775193798,1.5340796553007434,-17.818616809087843
51,287.89063547685384,35.98632943460673,0.6579457364341085,1.8062069812113652,-11.11027081256475
52,224.28493116141058,28.035616395176323,0.622093023255814,1.5718273653020436,-8.271107705259844
53,221.12915769046003,27.641144711307504,0.623062015503876,1.5630672821029188,-16.255056769897593
54,273.9029587747608,34.2378698468451,0.6482558139534884,1.7500651305185706,-7.5207636990551805
55,249.15748561222077,31.144685701527596,0.6337209302325582,1.6644683741677855,-9.370600945326075
56,280.1287887759308,35.01609859699135,0.6521317829457365,1.7705279563543588,-7.263168127428202
57,246.93008211308407,30.86626026413551,0.6317829457364341,1.6570242887959095,-10.764172261253812
