iter,net_r,max_dd_r
0,256.10667497371514,-10.103320024420228
1,256.10667497371514,-6.574718548093955
2,256.10667497371514,-7.661258264542511
3,256.10667497371514,-9.047803669963969
4,256.10667497371514,-8.745695571329591
5,256.10667497371514,-13.851312387819084
6,256.10667497371514,-7.441941719486543
7,256.10667497371514,-18.519839951238673
8,256.10667497371514,-8.747227701618982
9,256.10667497371514,-13.549243378409578
10,256.10667497371514,-8.600390485954847
11,256.10667497371514,-10.140622590876063
12,256.10667497371514,-6.585524256413208
13,256.10667497371514,-8.21722987395998
14,256.10667497371514,-9.282793546229755
15,256.10667497371514,-7.733893970969888
16,256.10667497371514,-7.669247326495849
17,256.10667497371514,-7.655325888627573
18,256.10667497371514,-10.801088731316867
19,256.10667497371514,-6.788846710682975
20,256.10667497371514,-13.44827216135738
21,256.10667497371514,-8.822683006187422
22,256.10667497371514,-10.009353114130448
23,256.10667497371514,-9.615794634390397
24,256.10667497371514,-7.956883445322788
25,256.10667497371514,-9.68279456301127
26,256.10667497371514,-8.404297401514143
27,256.10667497371514,-12.298816552253399
28,256.10667497371514,-6.596704325658351
29,256.10667497371514,-10.774711324999856
30,256.10667497371514,-10.967895405231047
31,256.10667497371514,-7.581856818101926
32,256.10667497371514,-10.11927474649903
33,256.10667497371514,-8.909015577966443
34,256.1066749737152,-10.115993167462463
35,256.10667497371514,-7.254621635837424
36,256.10667497371514,-8.556359189676584
37,256.10667497371514,-8.872820052059197
38,256.10667497371514,-8.224894534776713
39,256.10667497371514,-8.802698173468855
40,256.10667497371514,-9.184231031741461
41,256.10667497371514,-9.530602436213115
42,256.10667497371514,-15.047721813322141
43,256.10667497371514,-8.494886050448262
44,256.10667497371514,-8.684211911285814
45,256.10667497371514,-8.507008271259991
46,256.10667497371514,-14.184605697233621
47,256.10667497371514,-9.723404020639208
48,256.10667497371514,-8.067563438900322
49,256.10667497371514,-6.546201637937514
50,256.10667497371514,-8.505001226322406
51,256.10667497371514,-11.681743410506812
52,256.10667497371514,-10.109513380033064
53,256.10667497371514,-8.058317850149265
54,256.10667497371514,-6.923109120544353
55,256.10667497371514,-9.204805635840671
56,256.10667497371514,-10.697777066890154
57,256.10667497371514,-14.700707759152863
58,256.10667497371514,-11.916950210178754
59,256.10667497371514,-7.595500791759676
60,256.10667497371514,-8.683785479538926
61,256.10667497371514,-7.569653434720891
62,256.10667497371514,-12.076121564123053
63,256.10667497371514,-8.430560368817224
