window_trades,worst_window_r,best_window_r
5,-5.184478089262443,4.960499750865621
10,-5.2856200245495675,9.86385879462348
20,-8.336978522215764,17.483518153811623
50,-9.468071526099363,27.36171524355358
100,2.8295895558645987,46.96169970720555
