run,net_r,max_drawdown_r
0,256.10667497371526,-9.930589346211917
1,256.10667497371537,-7.726010376914189
2,256.1066749737153,-15.195628922710824
3,256.10667497371537,-11.27319547048559
4,256.1066749737152,-8.420046967569306
5,256.10667497371537,-7.932208709129355
6,256.1066749737154,-10.130807552982901
7,256.1066749737155,-6.7097695144209695
8,256.10667497371537,-12.854042291918717
9,256.1066749737155,-10.771409174593401
10,256.10667497371514,-7.652930598185463
11,256.10667497371514,-9.520193770178764
12,256.10667497371537,-13.060991790982115
13,256.10667497371537,-13.620577821561511
14,256.10667497371526,-10.334667567155066
15,256.10667497371554,-8.222530671457527
16,256.1066749737155,-10.770243123221547
17,256.1066749737151,-6.356187067815043
18,256.1066749737153,-7.764553161497346
19,256.1066749737152,-9.206442503067677
20,256.10667497371503,-10.392323182653257
21,256.106674973715,-11.37547281780391
22,256.1066749737155,-9.007849306654407
23,256.10667497371514,-8.609212939879626
24,256.10667497371526,-12.4534261444567
25,256.1066749737151,-6.438972394029975
26,256.1066749737153,-7.350173171966912
27,256.1066749737153,-16.737289350146213
28,256.10667497371537,-8.401726511540062
29,256.10667497371514,-9.708113857693661
30,256.1066749737152,-8.409979949586472
31,256.1066749737153,-8.3772570655089
32,256.10667497371526,-9.861746495954819
33,256.10667497371514,-8.433750627668573
34,256.10667497371526,-8.769745283971389
35,256.1066749737153,-8.270036291866248
36,256.10667497371537,-7.449835979526284
37,256.1066749737152,-7.461009939021473
38,256.1066749737152,-11.427719028149454
39,256.10667497371526,-11.495163624802927
40,256.1066749737153,-7.78879698695755
41,256.10667497371537,-7.448009755342525
42,256.1066749737152,-9.604616120520927
43,256.1066749737153,-13.328821112829246
44,256.10667497371537,-8.283624307039744
45,256.1066749737153,-9.218213485168434
46,256.10667497371537,-7.509934137834023
47,256.1066749737152,-8.347791785298398
48,256.10667497371526,-11.55726749311765
49,256.10667497371514,-8.700718625468681
50,256.1066749737152,-8.849925687341663
51,256.1066749737152,-11.99844511912545
52,256.10667497371537,-7.231396153296629
53,256.10667497371537,-15.783944872720781
54,256.10667497371537,-6.8122721966355755
55,256.10667497371554,-11.170808090631292
56,256.10667497371537,-7.27635322708349
57,256.1066749737153,-9.044656305210264
58,256.1066749737154,-11.168515279537132
59,256.1066749737152,-10.079411185927885
60,256.1066749737152,-9.94919873087782
61,256.10667497371503,-6.747050372256382
62,256.10667497371475,-7.550231220727255
63,256.10667497371503,-8.021489957657636
64,256.1066749737152,-9.5699417622223
65,256.10667497371503,-7.481787380253252
66,256.10667497371526,-10.480958621038951
67,256.1066749737152,-11.343012258815833
68,256.10667497371537,-8.669396216679528
69,256.10667497371537,-10.586502550794897
70,256.1066749737151,-10.464555524348413
71,256.10667497371537,-7.296372039898323
72,256.1066749737153,-7.583535530131513
73,256.1066749737151,-12.04688363572562
74,256.1066749737157,-7.214673165839002
75,256.10667497371514,-7.598253906992568
76,256.10667497371537,-11.355305835789665
77,256.1066749737152,-8.461988157149733
78,256.10667497371514,-10.49227356023836
79,256.1066749737152,-19.98136700508295
80,256.10667497371554,-9.453704970291511
81,256.1066749737154,-14.125361515433497
82,256.1066749737154,-9.744332325853321
83,256.1066749737153,-11.654768696631265
84,256.10667497371514,-9.139435736949508
85,256.10667497371526,-9.145332539672864
86,256.106674973715,-7.824791793172693
87,256.10667497371526,-13.678826834672453
88,256.10667497371537,-7.017342503703702
89,256.10667497371503,-8.926008156092578
90,256.1066749737154,-11.023966831344438
91,256.106674973715,-9.42690664134986
92,256.1066749737152,-13.181187566272513
93,256.10667497371514,-6.3768971407343145
94,256.10667497371503,-9.864050414684982
95,256.1066749737152,-9.296287288984132
96,256.10667497371514,-7.1711622589697015
97,256.1066749737152,-8.433557628257716
98,256.1066749737155,-8.29726859398247
99,256.1066749737155,-8.209733425577127
100,256.10667497371526,-13.949105549703468
101,256.1066749737154,-9.304391155718452
102,256.1066749737153,-10.472770789209676
103,256.1066749737156,-13.642249755180286
104,256.1066749737153,-7.3488293451363935
105,256.10667497371514,-10.714941636712638
106,256.106674973715,-12.876461103433286
107,256.1066749737152,-9.974756247161764
108,256.10667497371526,-9.10126941687281
109,256.10667497371526,-7.596214718284301
110,256.10667497371503,-9.284596751811506
111,256.1066749737152,-12.899448912098563
112,256.10667497371526,-12.603692246278683
113,256.1066749737152,-11.891486368595594
114,256.106674973715,-14.162813852751412
115,256.10667497371526,-11.539177283947396
116,256.1066749737153,-8.829790784306432
117,256.1066749737152,-8.435983063239517
118,256.1066749737154,-7.4141345091838105
119,256.10667497371526,-12.77566539217483
120,256.10667497371503,-5.681957915430132
121,256.10667497371526,-7.897471202436691
122,256.1066749737153,-12.374098893580523
123,256.1066749737153,-13.693125041777222
124,256.1066749737152,-7.923308570245354
125,256.1066749737153,-11.729797555120115
126,256.10667497371537,-15.137776778081388
127,256.1066749737153,-7.991892250176846
128,256.1066749737152,-7.37998841422035
129,256.106674973715,-6.601208797295044
130,256.10667497371514,-8.83169270089845
131,256.1066749737153,-9.787032205203474
132,256.10667497371537,-7.92323318670816
133,256.10667497371486,-9.382118239339349
134,256.10667497371526,-9.446359163822223
135,256.10667497371486,-9.563639314758966
136,256.1066749737153,-8.404060488099944
137,256.1066749737153,-6.422832856429352
138,256.1066749737154,-9.436120135751253
139,256.10667497371526,-14.01397078567868
140,256.1066749737153,-7.578298160695468
141,256.1066749737149,-5.734253961237371
142,256.10667497371514,-8.11408015774644
143,256.1066749737151,-12.381195099192752
144,256.10667497371526,-9.501988617692334
145,256.10667497371503,-14.17678057283726
146,256.1066749737152,-10.35261580445841
147,256.1066749737153,-7.374481094623377
148,256.1066749737151,-8.298549954021787
149,256.1066749737155,-9.293912561770611
150,256.1066749737152,-9.337632750358559
151,256.1066749737154,-8.93464895328384
152,256.1066749737151,-13.830709440453887
153,256.1066749737152,-11.716178279916207
154,256.10667497371537,-12.115399731746663
155,256.10667497371537,-10.950784183946524
156,256.10667497371526,-10.929416496607743
157,256.1066749737154,-9.593473975881238
158,256.1066749737154,-7.488031440631147
159,256.1066749737155,-12.77136642596065
160,256.1066749737151,-8.839310086023971
161,256.10667497371526,-10.101066938126962
162,256.10667497371526,-9.726109544068947
163,256.1066749737154,-8.865675754073123
164,256.10667497371514,-7.288180726891639
165,256.1066749737157,-11.711651534027624
166,256.10667497371526,-8.616855160210534
167,256.1066749737152,-11.95017463134549
168,256.1066749737152,-7.8145970312499315
169,256.10667497371526,-7.390301845043069
170,256.1066749737155,-7.62550831000115
171,256.10667497371514,-7.410305688336621
172,256.10667497371537,-8.479729640427625
173,256.106674973715,-7.568049405507345
174,256.1066749737153,-14.871792380480443
175,256.1066749737152,-7.2596079374831675
176,256.10667497371503,-12.500482284081414
177,256.10667497371537,-8.789259289531486
178,256.10667497371554,-10.320287927592062
179,256.10667497371503,-13.229951788038221
180,256.10667497371526,-10.439476903618043
181,256.10667497371526,-10.456618632176571
182,256.1066749737153,-9.576391872425852
183,256.10667497371514,-12.364692009532902
184,256.1066749737153,-9.360125078881282
185,256.10667497371537,-7.761297360045134
186,256.10667497371514,-8.307194294184526
187,256.10667497371514,-7.347657797084139
188,256.1066749737152,-8.646758217838823
189,256.1066749737151,-7.2213608693445615
190,256.10667497371537,-8.744584189934338
191,256.10667497371503,-8.093366492516509
192,256.1066749737155,-7.937257307291503
193,256.1066749737151,-9.06148093377476
194,256.10667497371526,-6.691020470819737
195,256.1066749737152,-10.855926354396246
196,256.10667497371526,-7.733722662165791
197,256.10667497371537,-14.215025307561163
198,256.1066749737152,-9.63478674077433
199,256.1066749737153,-8.585326710930275
200,256.1066749737153,-8.749568551640351
201,256.1066749737149,-9.335109845236715
202,256.1066749737153,-8.278743833743931
203,256.10667497371537,-9.765664763670642
204,256.1066749737152,-7.620184502648698
205,256.10667497371503,-14.029942741990425
206,256.10667497371486,-12.384302772947521
207,256.10667497371514,-7.650003489317257
208,256.10667497371537,-8.072970442960212
209,256.1066749737154,-8.801408459759227
210,256.1066749737153,-7.310889366115674
211,256.1066749737155,-8.339857329042623
212,256.10667497371537,-9.568833186035818
213,256.10667497371526,-9.276562645347774
214,256.10667497371537,-7.24204520547579
215,256.1066749737153,-8.569860149224624
216,256.10667497371537,-8.620305970955712
217,256.10667497371514,-10.382777726106326
218,256.10667497371514,-8.014423291541277
219,256.10667497371503,-8.89718550828053
220,256.10667497371526,-8.602492956708971
221,256.10667497371526,-9.865937836228
222,256.10667497371526,-6.399709374670152
223,256.1066749737154,-8.165666974478953
224,256.1066749737152,-11.583027736069837
225,256.1066749737152,-6.772500452183735
226,256.1066749737153,-9.998858655204998
227,256.10667497371514,-8.835554163720076
228,256.1066749737151,-10.484798613286653
229,256.1066749737152,-8.497086807799803
230,256.1066749737156,-7.221755886063178
231,256.10667497371526,-11.022279290337984
232,256.10667497371514,-11.594902068508986
233,256.1066749737155,-8.24620232106745
234,256.1066749737152,-6.320650709393259
235,256.10667497371503,-6.9753339345229115
236,256.10667497371503,-10.0822064382887
237,256.1066749737154,-8.639780459445262
238,256.106674973715,-8.271083874502835
239,256.10667497371503,-8.657313022663768
240,256.10667497371537,-12.070543432728684
241,256.1066749737153,-8.797710914596507
242,256.10667497371526,-9.113324993892974
243,256.1066749737152,-10.391965532836394
244,256.106674973715,-6.622060964069135
245,256.10667497371503,-9.623375563796259
246,256.10667497371526,-7.598999890078716
247,256.10667497371514,-7.320196109660628
248,256.10667497371537,-10.750754919786282
249,256.1066749737152,-9.100345917562635
250,256.1066749737152,-8.919543562351066
251,256.1066749737157,-12.266112982571226
252,256.10667497371537,-10.965175415269243
253,256.10667497371503,-10.518603422667127
254,256.1066749737153,-7.556460217589631
255,256.10667497371526,-9.805511894735599
256,256.1066749737152,-7.286323350345327
257,256.10667497371514,-7.337202946201089
258,256.1066749737153,-9.909324802399208
259,256.10667497371554,-8.87749679993297
260,256.10667497371526,-10.62703294402175
261,256.1066749737155,-8.350737595706917
262,256.10667497371537,-6.324833114606321
263,256.1066749737152,-8.06773534426108
264,256.1066749737152,-7.545627699057832
265,256.10667497371526,-9.83535412861022
266,256.1066749737153,-8.404277888512041
267,256.10667497371537,-11.620047356934577
268,256.10667497371503,-9.487788547572364
269,256.1066749737155,-7.486342095555955
270,256.1066749737155,-8.395343261961425
271,256.1066749737151,-10.258799699727874
272,256.1066749737152,-17.421761070213407
273,256.10667497371537,-8.754546736954012
274,256.1066749737153,-7.4320232781980735
275,256.1066749737152,-12.653841996434188
276,256.10667497371537,-9.829671059468609
277,256.1066749737151,-9.302172241952192
278,256.10667497371514,-10.889148896943027
279,256.10667497371526,-8.534645690609935
280,256.1066749737153,-12.376064302441232
281,256.10667497371537,-7.769700867769316
282,256.1066749737153,-7.26124280020376
283,256.10667497371526,-8.59363590578655
284,256.10667497371503,-6.318032227543085
285,256.1066749737155,-10.6292425951398
