name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,window_months,start_month,end_month
6m_2019-06_2020-02,19,-1.1876320266002485,2,-0.5938160133001242,0.47368421052631576,0.8797690537799959,-0.06250694876843413,-2.7793049405633186,1,1,1,5,-2.779304940563318,1.5916729139630694,-2.6034085529281628,2.905854845845724,6,2019-06,2020-02
6m_2019-08_2020-03,42,-0.9139835097495282,2,-0.4569917548747641,0.5,0.9568906487599189,-0.021761512136893528,-6.51007920135188,1,1,1,5,-3.6133522512779788,2.69936874152845,-2.6034085529281628,2.905854845845724,6,2019-08,2020-03
6m_2019-09_2020-04,54,2.5647640037900525,2,1.2823820018950263,0.5370370370370371,1.1010881414409766,0.047495629699815786,-6.51007920135188,1,1,2,4,-0.27278832534425,2.8375523291343026,-2.6034085529281628,3.3405639259337288,6,2019-09,2020-04
6m_2019-10_2020-05,62,8.192314353492945,2,4.096157176746472,0.5806451612903226,1.3099911722467088,0.13213410247569266,-6.51007920135188,2,0,3,3,2.905854845845724,5.286459507647218,-2.6034085529281628,5.559247832991469,6,2019-10,2020-05
6m_2020-01_2020-06,68,5.920600388626896,1,5.920600388626896,0.5588235294117647,1.1935585883475632,0.08706765277392495,-5.521388970922148,1,0,3,3,5.920600388626896,5.920600388626896,-2.6034085529281628,5.559247832991469,6,2020-01,2020-06
6m_2020-02_2020-07,71,14.298819392806166,1,14.298819392806166,0.6197183098591549,1.5109504444896564,0.20139182243388967,-5.521388970922148,1,0,4,2,14.298819392806163,14.298819392806163,-0.8340473107146608,5.7748104512511045,6,2020-02,2020-07
6m_2020-03_2020-08,87,23.864307948100166,1,23.864307948100166,0.6551724137931034,1.7687471081677335,0.27430239020804786,-5.521388970922148,1,0,5,1,23.864307948100166,23.864307948100166,-0.8340473107146608,9.389592167658845,6,2020-03,2020-08
6m_2020-04_2020-09,74,25.23801056223194,1,25.23801056223194,0.6891891891891891,2.0576259920407334,0.34105419678691806,-4.1644896547184445,1,0,6,0,25.238010562231935,25.238010562231935,0.5396553034171079,9.389592167658845,6,2020-04,2020-09
6m_2020-05_2020-10,65,24.613902336904808,1,24.613902336904808,0.7076923076923077,2.2493912659060458,0.37867542056776626,-4.1644896547184445,1,0,6,0,24.613902336904804,24.613902336904804,0.5396553034171079,9.389592167658845,6,2020-05,2020-10
6m_2020-06_2020-11,64,19.687764321346016,1,19.687764321346016,0.671875,1.9042868888833682,0.3076213175210315,-4.1644896547184445,1,0,6,0,19.687764321346016,19.687764321346016,0.5396553034171079,9.389592167658845,6,2020-06,2020-11
6m_2020-07_2020-12,64,21.191076208500576,1,21.191076208500576,0.6875,2.0224120018333864,0.3311105657578215,-4.164489654718443,1,0,6,0,21.191076208500576,21.191076208500576,0.5396553034171079,9.389592167658845,6,2020-07,2020-12
6m_2020-08_2021-01,68,15.75598595679248,2,7.87799297839624,0.6323529411764706,1.6251819549960886,0.23170567583518353,-4.1644896547184445,2,0,6,0,0.3397201995430057,15.416265757249473,0.3397201995430057,9.389592167658845,6,2020-08,2021-01
6m_2020-09_2021-02,61,6.145063622177591,2,3.0725318110887954,0.5737704918032787,1.233806269922482,0.10073874790455067,-4.1644896547184445,2,0,5,1,0.11839003258696446,6.026673589590627,-0.22133016695604146,2.7164557006066,6,2020-09,2021-02
6m_2020-10_2021-03,56,5.291600868281073,2,2.6458004341405363,0.5714285714285714,1.2185183554818153,0.0944928726478763,-4.449790295534443,1,1,4,2,-0.19541741789244638,5.487018286173519,-0.31380745047941083,2.7164557006066,6,2020-10,2021-03
6m_2020-11_2021-04,55,2.0000256962984895,2,1.0000128481492447,0.5454545454545454,1.0821730946633765,0.036364103569063444,-5.864593999057977,1,1,3,3,-0.7705368892684294,2.7705625855669185,-0.5751194713759831,2.1374527681342386,6,2020-11,2021-04
6m_2020-12_2021-05,52,1.8930589376352496,2,0.9465294688176248,0.5384615384615384,1.0840148885109926,0.036404979569908645,-5.864593999057978,1,1,3,3,-0.244393830498989,2.1374527681342386,-0.5751194713759831,2.1374527681342386,6,2020-12,2021-05
6m_2021-01_2021-06,49,-2.4593163747717393,1,-2.4593163747717393,0.4897959183673469,0.8956400891020802,-0.050190130097382435,-6.713689252413733,0,1,2,4,-2.4593163747717384,-2.4593163747717384,-2.214922544272749,0.5261430587694405,6,2021-01,2021-06
6m_2021-02_2021-08,46,0.6457962507527386,1,0.6457962507527386,0.5217391304347826,1.0315707826238332,0.01403904892940736,-6.713689252413733,1,0,2,4,0.645796250752737,0.645796250752737,-2.214922544272749,3.4448328250674813,6,2021-02,2021-08
6m_2021-03_2021-09,41,6.5417629136347974,1,6.5417629136347974,0.5853658536585366,1.4287782536966607,0.15955519301548288,-5.458172956837036,1,0,3,3,6.541762913634797,6.541762913634797,-2.214922544272749,5.674636495926018,6,2021-03,2021-09
6m_2021-04_2021-10,35,6.775972354540169,1,6.775972354540169,0.6,1.5585819576026587,0.19359921012971912,-4.3096123424468145,1,0,3,3,6.775972354540169,6.775972354540169,-2.214922544272749,5.674636495926018,6,2021-04,2021-10
6m_2021-05_2021-11,31,9.290524872122365,1,9.290524872122365,0.6451612903225806,1.9354558585376462,0.29969435071362466,-4.3096123424468145,1,0,4,2,9.290524872122367,9.290524872122367,-2.214922544272749,5.674636495926018,6,2021-05,2021-11
6m_2021-06_2021-12,27,10.682070620938406,1,10.682070620938406,0.7037037037037037,2.4097916695814408,0.39563224521994095,-3.1253294390290107,1,0,4,2,10.682070620938406,10.682070620938406,-2.214922544272749,5.674636495926018,6,2021-06,2021-12
6m_2021-08_2022-01,22,11.856867821279636,2,5.928433910639818,0.7727272727272727,3.6535290226671484,0.5389485373308925,-1.1119581578511326,1,1,4,2,-1.0401253439315188,12.896993165211155,-1.0401253439315188,5.674636495926018,6,2021-08,2022-01
6m_2021-09_2022-02,27,11.522559301733352,2,5.761279650866676,0.7407407407407407,2.587798234389809,0.4267614556197538,-3.5917731766720618,2,0,4,2,2.070398961589677,9.452160340143672,-1.0401253439315188,5.674636495926018,6,2021-09,2022-02
6m_2021-10_2022-03,42,11.9851982295033,2,5.99259911475165,0.6666666666666666,1.8259147791551464,0.28536186260722146,-3.591773176672061,2,0,4,2,3.777523844217655,8.207674385285644,-1.0401253439315188,6.137275423695967,6,2021-10,2022-03
6m_2021-11_2022-04,48,11.739413071654752,2,5.869706535827376,0.6458333333333334,1.6662209589114045,0.24457110565947401,-3.591773176672061,2,0,4,2,3.8571218537916936,7.882291217863058,-1.0401253439315188,6.137275423695967,6,2021-11,2022-04
6m_2021-12_2022-05,56,14.141128740705344,2,7.070564370352672,0.6428571428571429,1.7074068008561645,0.252520156084024,-3.591773176672061,2,0,4,2,1.9176888075854794,12.223439933119865,-1.0401253439315188,6.137275423695967,6,2021-12,2022-05
