n,sumR,deltaR,pf,wr,combo,depth
3489,1004.2,-7275.0,1.56,55.1,impulse_ge_q40 & dow_2,2
5444,994.5,-7284.7,1.318,49.3,nyh_15_23 & retr_0.3_0.6,2
3280,990.8,-7288.4,1.543,50.9,atrpct_0.3_0.9 & dow_2,2
3092,990.2,-7289.0,1.542,46.3,retr_0.5_0.8 & dow_1,2
3900,986.6,-7292.6,1.472,52.0,nyh_11_15 & atrpct_0.2_0.8,2
3079,980.8,-7298.4,1.625,54.1,nyh_12_14 & impulse_ge_q50,2
2767,976.0,-7303.2,1.692,55.1,impulse_ge_q50 & dow_0,2
2718,974.8,-7304.4,1.64,49.9,pd_bear & dow_3,2
2468,972.8,-7306.4,1.709,50.2,sent_align & dow_4,2
4688,972.0,-7307.2,1.37,50.2,nyh_13_17 & retr_0.4_0.7,2
3033,971.7,-7307.5,1.559,48.6,sent_counter & dow_1,2
2977,969.8,-7309.4,1.564,48.6,atrpct_0.1_0.7 & dow_3,2
4257,966.6,-7312.5,1.417,51.5,nyh_13_17 & retr_0.3_0.6,2
3350,963.4,-7315.8,1.516,50.5,nyh_12_14 & near_key_level,2
4627,963.2,-7316.0,1.385,52.5,nyh_15_23 & impulse_ge_q30,2
3923,961.2,-7318.0,1.455,51.9,nyh_11_15 & atrpct_0.3_0.9,2
4060,955.8,-7323.3,1.413,49.0,nyh_15_23 & atrpct_0.3_0.9,2
3001,954.6,-7324.6,1.578,50.4,atrpct_0.3_0.9 & dow_1,2
3004,953.3,-7325.9,1.543,48.2,pd_bull & dow_3,2
3189,952.5,-7326.7,1.513,48.0,dow_0 & leg_D,2
4817,949.3,-7329.9,1.35,49.3,nyh_13_17 & dow_not_fri,2
3546,943.1,-7336.1,1.491,51.2,nyh_13_17 & atrpct_0.4_1.0,2
3540,939.3,-7339.9,1.455,47.4,dow_1 & leg_D,2
3107,937.7,-7341.5,1.574,53.2,nyh_12_14 & retr_0.3_0.6,2
4140,936.2,-7343.0,1.408,51.7,retr_0.3_0.6 & dow_2,2
2731,928.9,-7350.3,1.682,55.6,impulse_ge_q50 & dow_1,2
2861,924.7,-7354.5,1.599,52.1,nyh_12_14 & nyh_13_17,2
3578,922.1,-7357.1,1.437,47.3,dow_3 & leg_D,2
3899,917.6,-7361.6,1.434,51.4,nyh_11_15 & atrpct_0.1_0.7,2
3025,917.3,-7361.9,1.512,47.1,sent_counter & dow_3,2
3871,905.3,-7373.9,1.444,53.4,nyh_15_23 & impulse_ge_q40,2
3953,899.3,-7379.9,1.405,50.6,retr_0.3_0.6 & dow_1,2
3222,897.2,-7382.0,1.469,46.8,retr_0.5_0.8 & dow_2,2
2855,896.7,-7382.5,1.538,48.5,atrpct_0.2_0.8 & dow_4,2
2727,892.2,-7387.0,1.565,48.6,pd_bull & dow_1,2
2680,888.3,-7390.8,1.573,48.6,pd_bear & dow_4,2
2799,887.3,-7391.9,1.569,50.7,pd_bear & dow_2,2
2626,865.3,-7413.9,1.62,52.4,nyh_12_14 & atrpct_0.4_1.0,2
3187,854.6,-7424.6,1.463,48.6,atrpct_0.2_0.8 & dow_2,2
1762,853.0,-7426.2,1.908,53.4,nyh_7_12 & dow_3,2
2112,850.3,-7428.8,1.782,54.2,nyh_12_14 & leg_A,2
2588,846.4,-7432.8,1.571,49.1,pd_bull & dow_4,2
2889,844.7,-7434.5,1.586,56.2,impulse_ge_q50 & dow_2,2
2532,837.7,-7441.5,1.609,52.9,retr_0.2_0.5 & dow_3,2
2324,835.4,-7443.8,1.669,52.1,nyh_12_14 & pd_bull,2
1551,833.6,-7445.6,2.001,52.2,nyh_7_12 & nyh_0_7,2
2812,831.6,-7447.6,1.527,51.2,atrpct_0.4_1.0 & dow_0,2
3026,828.6,-7450.6,1.484,49.2,atrpct_0.2_0.8 & dow_1,2
2956,823.9,-7455.3,1.453,45.5,retr_0.5_0.8 & dow_0,2
2059,823.3,-7455.9,1.682,48.1,nyh_0_7 & dow_3,2
2640,812.7,-7466.5,1.544,49.6,sent_align & dow_0,2
2751,808.0,-7471.2,1.521,50.1,atrpct_0.2_0.8 & dow_0,2
3153,805.5,-7473.7,1.494,54.0,nyh_15_23 & impulse_ge_q50,2
3191,802.8,-7476.4,1.436,48.8,sent_counter & dow_2,2
3555,797.3,-7481.8,1.415,51.2,nyh_11_15 & sent_align,2
2740,796.0,-7483.2,1.51,48.9,atrpct_0.1_0.7 & dow_0,2
3308,788.2,-7491.0,1.458,53.1,nyh_11_15 & retr_0.2_0.5,2
3091,778.2,-7501.0,1.446,49.5,nyh_13_17 & pd_bull,2
4046,766.7,-7512.5,1.321,47.0,nyh_15_23 & atrpct_0.2_0.8,2
2822,765.5,-7513.7,1.469,48.2,pd_bull & dow_0,2
3645,765.3,-7513.9,1.357,48.2,dow_2 & leg_D,2
1739,762.3,-7516.9,1.813,51.9,nyh_7_12 & dow_4,2
2800,761.9,-7517.3,1.459,47.7,sent_counter & dow_4,2
3033,758.0,-7521.2,1.456,51.0,nyh_7_12 & nyh_11_15,2
2493,757.2,-7522.0,1.525,49.3,pd_bear & dow_0,2
3818,754.9,-7524.3,1.34,47.4,nyh_15_23 & pd_bear,2
2083,754.1,-7525.1,1.614,48.1,nyh_0_7 & dow_4,2
2776,745.4,-7533.8,1.448,47.2,atrpct_0.1_0.7 & dow_4,2
3499,741.6,-7537.6,1.387,50.8,nyh_11_15 & pd_bear,2
5946,740.6,-7538.6,1.199,44.2,nyh_15_23 & leg_D,2
3130,738.5,-7540.7,1.399,47.5,atrpct_0.1_0.7 & dow_2,2
2217,733.9,-7545.3,1.599,50.9,dow_2 & leg_A,2
3206,733.9,-7545.3,1.418,50.8,nyh_13_17 & atrpct_0.3_0.9,2
2431,732.6,-7546.6,1.53,49.9,nyh_12_14 & retr_0.5_0.8,2
2982,731.3,-7547.9,1.422,48.0,atrpct_0.1_0.7 & dow_1,2
2319,730.8,-7548.4,1.571,51.6,nyh_12_14 & sent_counter,2
2570,710.0,-7569.2,1.493,50.7,atrpct_0.3_0.9 & dow_0,2
2675,709.9,-7569.3,1.449,47.8,sent_counter & dow_0,2
2671,696.4,-7582.8,1.457,49.7,sent_align & dow_2,2
1760,691.6,-7587.6,1.749,53.0,nyh_7_12 & dow_1,2
2370,686.5,-7592.7,1.542,52.7,nyh_12_14 & atrpct_0.3_0.9,2
3063,684.3,-7594.9,1.39,48.8,nyh_13_17 & sent_counter,2
2918,682.7,-7596.5,1.42,49.0,pd_bear & dow_1,2
1837,682.6,-7596.6,1.696,53.2,nyh_7_12 & dow_2,2
2348,673.7,-7605.5,1.542,52.9,retr_0.2_0.5 & dow_0,2
1824,671.7,-7607.5,1.688,52.7,nyh_7_12 & dow_0,2
2369,659.3,-7619.9,1.519,52.2,nyh_12_14 & atrpct_0.2_0.8,2
2413,657.0,-7622.2,1.501,52.0,retr_0.2_0.5 & dow_4,2
2753,648.6,-7630.6,1.447,52.9,nyh_13_17 & retr_0.2_0.5,2
2021,647.8,-7631.4,1.546,46.6,nyh_0_7 & dow_1,2
3574,647.3,-7631.9,1.319,50.2,nyh_15_23 & retr_0.2_0.5,2
3209,647.0,-7632.2,1.34,46.3,nyh_15_23 & sent_align,2
4335,643.2,-7636.0,1.244,45.6,nyh_15_23 & sent_counter,2
2105,635.6,-7643.6,1.558,51.1,dow_1 & leg_A,2
3177,629.9,-7649.3,1.334,46.1,nyh_13_17 & retr_0.5_0.8,2
3063,611.8,-7667.4,1.338,47.8,pd_bull & dow_2,2
2868,607.7,-7671.5,1.386,49.8,nyh_13_17 & sent_align,2
2612,603.2,-7676.0,1.411,49.0,sent_align & dow_1,2
2636,591.7,-7687.5,1.408,52.4,retr_0.2_0.5 & dow_2,2
3945,589.0,-7690.2,1.236,42.1,nyh_15_23 & retr_0.5_0.8,2
3199,587.8,-7691.4,1.33,49.4,nyh_13_17 & atrpct_0.2_0.8,2
2551,582.4,-7696.8,1.423,51.8,retr_0.2_0.5 & dow_1,2
2126,570.1,-7709.1,1.469,49.8,dow_0 & leg_A,2
2351,559.4,-7719.8,1.439,51.9,nyh_12_14 & atrpct_0.1_0.7,2
1598,549.6,-7729.6,1.668,52.1,nyh_15_23 & leg_A,2
2100,549.3,-7729.9,1.488,51.4,nyh_12_14 & sent_align,2
3235,537.9,-7741.3,1.27,45.6,dow_4 & leg_D,2
3726,535.3,-7743.9,1.23,44.3,nyh_15_23 & pd_bull,2
1985,533.6,-7745.6,1.522,53.5,nyh_12_14 & retr_0.2_0.5,2
3868,525.8,-7753.4,1.233,48.3,nyh_11_15 & leg_D,2
1914,519.4,-7759.8,1.458,47.6,nyh_0_7 & dow_0,2
2840,513.8,-7765.4,1.324,49.1,nyh_13_17 & pd_bear,2
3182,501.4,-7777.8,1.275,48.0,nyh_13_17 & atrpct_0.1_0.7,2
2096,493.4,-7785.8,1.386,46.3,nyh_0_7 & dow_2,2
1538,484.1,-7795.1,1.589,52.9,nyh_11_15 & dow_2,2
4013,476.9,-7802.3,1.192,44.1,nyh_15_23 & atrpct_0.1_0.7,2
2095,444.7,-7834.4,1.385,50.9,nyh_12_14 & pd_bear,2
2307,429.8,-7849.4,1.326,49.1,nyh_12_14 & leg_D,2
1436,381.3,-7897.9,1.472,49.7,nyh_11_15 & dow_4,2
1465,373.6,-7905.6,1.461,50.1,nyh_11_15 & dow_3,2
3070,367.3,-7911.9,1.206,46.7,nyh_13_17 & nyh_15_23,2
1558,355.4,-7923.7,1.413,50.5,nyh_7_12 & nyh_12_14,2
1457,347.7,-7931.5,1.433,50.7,nyh_11_15 & dow_0,2
928,346.1,-7933.1,1.709,53.7,nyh_12_14 & dow_2,2
1114,342.7,-7936.5,1.554,49.3,nyh_13_17 & dow_4,2
1350,312.9,-7966.3,1.378,45.0,nyh_15_23 & dow_0,2
914,280.5,-7998.7,1.562,51.0,nyh_12_14 & dow_3,2
1456,273.7,-8005.5,1.349,51.2,nyh_11_15 & dow_1,2
883,270.6,-8008.6,1.571,52.1,nyh_12_14 & dow_0,2
1219,268.6,-8010.6,1.365,45.7,nyh_15_23 & dow_4,2
1245,265.3,-8013.9,1.386,51.6,nyh_13_17 & dow_2,2
1606,256.1,-8023.1,1.265,45.6,nyh_15_23 & dow_3,2
1615,239.7,-8039.5,1.248,46.2,nyh_15_23 & dow_1,2
1216,238.6,-8040.6,1.355,49.9,nyh_13_17 & dow_1,2
1215,233.5,-8045.7,1.336,47.4,nyh_13_17 & dow_3,2
829,218.2,-8061.0,1.468,50.1,nyh_12_14 & dow_4,2
1137,212.7,-8066.5,1.324,48.0,nyh_13_17 & dow_0,2
1618,192.1,-8087.1,1.199,46.4,nyh_15_23 & dow_2,2
3069,189.1,-8090.1,1.1,44.9,nyh_13_17 & leg_D,2
1461,175.5,-8103.7,1.213,48.5,nyh_11_15 & nyh_15_23,2
863,165.6,-8113.6,1.348,50.6,nyh_12_14 & dow_1,2
