n,sumR,deltaR,pf,wr,combo,depth
12040,3597.4,-4681.8,1.526,49.6,atrpct_0.2_0.8 & dow_not_fri,2
12323,3574.5,-4704.7,1.49,47.5,atrpct_0.1_0.7 & near_key_level,2
10618,3527.3,-4751.9,1.597,51.0,retr_0.4_0.7 & sent_align,2
11025,3521.9,-4757.3,1.561,49.5,sent_align & near_key_level,2
10819,3493.6,-4785.6,1.608,52.9,impulse_ge_q20 & sent_align,2
11840,3485.5,-4793.7,1.522,50.6,retr_0.4_0.7 & atrpct_0.2_0.8,2
12077,3468.8,-4810.4,1.498,48.7,atrpct_0.2_0.8 & atrpct_0.1_0.7,2
11320,3467.6,-4811.6,1.563,52.2,impulse_ge_q20 & pd_bull,2
7942,3466.3,-4812.9,1.871,55.5,impulse_ge_q30 & leg_A,2
8840,3465.7,-4813.5,1.706,50.7,near_key_level & leg_A,2
10462,3454.4,-4824.8,1.634,54.4,impulse_ge_q30 & atrpct_0.2_0.8,2
12173,3454.2,-4825.0,1.48,47.7,pd_bull & near_key_level,2
10334,3451.2,-4828.0,1.615,52.6,impulse_ge_q30 & retr_0.5_0.8,2
10305,3427.5,-4851.7,1.667,55.3,impulse_ge_q50 & retr_0.3_0.6,2
12000,3412.1,-4867.0,1.488,48.1,sent_counter & dow_not_fri,2
12531,3373.7,-4905.5,1.498,52.4,retr_0.2_0.5,1
13389,3368.1,-4911.1,1.454,51.5,impulse_ge_q20 & leg_D,2
12503,3367.8,-4911.4,1.498,52.4,retr_0.3_0.6 & retr_0.2_0.5,2
13747,3365.6,-4913.6,1.423,48.8,retr_0.4_0.7 & leg_D,2
11328,3340.4,-4938.8,1.518,49.7,retr_0.4_0.7 & pd_bull,2
10991,3304.0,-4975.2,1.534,49.7,pd_bear & dow_not_fri,2
10015,3272.7,-5006.5,1.584,50.5,atrpct_0.2_0.8 & atrpct_0.4_1.0,2
10454,3272.6,-5006.6,1.557,50.0,atrpct_0.4_1.0 & leg_D,2
9917,3270.4,-5008.8,1.623,53.8,impulse_ge_q30 & sent_counter,2
11895,3241.5,-5037.7,1.47,48.3,atrpct_0.1_0.7 & dow_not_fri,2
11691,3240.4,-5038.8,1.475,48.2,pd_bull & dow_not_fri,2
10173,3238.0,-5041.2,1.537,47.4,nyh_0_7,1
9703,3227.1,-5052.1,1.639,54.1,impulse_ge_q30 & pd_bear,2
10342,3218.3,-5060.9,1.589,53.7,impulse_ge_q30 & atrpct_0.1_0.7,2
10286,3181.1,-5098.1,1.604,54.9,impulse_ge_q20 & retr_0.2_0.5,2
10859,3168.7,-5110.5,1.52,50.7,retr_0.4_0.7 & pd_bear,2
11667,3168.1,-5111.1,1.474,49.6,retr_0.4_0.7 & atrpct_0.1_0.7,2
8979,3166.0,-5113.2,1.709,55.8,impulse_ge_q40 & atrpct_0.3_0.9,2
8680,3156.1,-5123.1,1.662,51.2,atrpct_0.4_1.0 & pd_bull,2
8440,3143.5,-5135.7,1.686,52.5,retr_0.4_0.7 & leg_A,2
8888,3137.4,-5141.8,1.633,50.7,atrpct_0.4_1.0 & sent_counter,2
10682,3132.3,-5146.9,1.521,49.9,sent_align & dow_not_fri,2
8987,3121.1,-5158.1,1.684,55.3,impulse_ge_q40 & atrpct_0.2_0.8,2
9838,3101.4,-5177.8,1.595,53.4,impulse_ge_q30 & pd_bull,2
10541,3094.5,-5184.7,1.546,53.1,retr_0.3_0.6 & atrpct_0.3_0.9,2
7891,3084.4,-5194.8,1.756,54.5,nyh_7_12 & impulse_ge_q20,2
