year,direction,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years
2019,demand,54.0,9.85900228671253,41.8720998281599,0.6851851851851852,1.4884735478592168,0.1825741164206024,-3.1278174895046202,13.387002268726219,3.0780525624507806,1.0,1.0
2019,supply,42.0,14.073338894574347,55.2719035617557,0.7619047619047619,2.1761428659722566,0.3350794974898654,-3.2224512915583565,17.152130028015588,6.092694878291799,1.0,1.0
2020,demand,197.0,50.50830284691564,51.96664116855194,0.6751269035532995,1.7229698544823027,0.2563873240960185,-7.8667847064215195,6.605829841273332,4.334146946381032,1.0,1.0
2020,supply,162.0,43.59524120700143,44.6026942601044,0.6790123456790124,1.773571358527974,0.26910642720371253,-5.050400698118784,8.831515938273649,4.572952592183941,1.0,1.0
2021,demand,174.0,54.43809761210935,55.54054511961715,0.7068965517241379,1.9963092123483541,0.31286262995465147,-4.698311684735092,11.821383689819788,5.501027436848594,1.0,1.0
2021,supply,199.0,46.33097708625921,47.40165092648789,0.678391959798995,1.6482186745359197,0.23281898033296086,-9.236467918026031,5.1320105636894064,3.950176231483021,1.0,1.0
2022,demand,197.0,55.024312256618636,55.826750143694326,0.6954314720812182,1.836404717163298,0.2793112297290286,-6.227260805484063,8.964896747945785,4.839900139327702,1.0,1.0
2022,supply,224.0,63.935416467480486,64.86780795763124,0.7008928571428571,1.852224235540151,0.28542596637268075,-6.608884760101276,9.815242709215767,4.91411519510778,1.0,1.0
2023,demand,173.0,61.44164276068927,62.5113092432918,0.7398843930635838,2.2114053769590067,0.3551540043970478,-8.058144656446615,7.757531281506839,6.377927401151397,1.0,1.0
2023,supply,182.0,67.0768924073168,68.4352931613756,0.7472527472527473,2.282828462577232,0.36855435388635605,-4.322814361932833,15.831189459354102,6.637049926475101,1.0,1.0
2024,demand,223.0,79.58117280518434,81.64894204239769,0.7174887892376681,2.2122547379109267,0.35686624576315845,-6.954944803338689,11.739696626090044,6.378675834361145,1.0,1.0
2024,supply,168.0,60.41211302441964,60.619572203761734,0.7261904761904762,2.2008873623956875,0.3595959108596407,-3.6435347749763167,16.63757201388472,6.367190595450939,1.0,1.0
2025,demand,183.0,100.43122915404798,101.33289074175698,0.7978142076502732,3.589677863693373,0.5488045308964371,-5.367546077051017,18.878811525252946,10.800500288601249,1.0,1.0
2025,supply,168.0,61.43672401676626,61.81753015736606,0.7083333333333334,2.185418723621121,0.3656947858140849,-4.356912601109336,14.188379666286254,6.332983981545938,1.0,1.0
2026,demand,79.0,37.54393783042586,83.10862601553362,0.7468354430379747,2.8426450659311024,0.4752397193724793,-2.1758019962064807,38.196778089382136,8.61718415913769,1.0,1.0
2026,supply,83.0,45.23141212817718,103.90423446425608,0.7831325301204819,3.4679637374192307,0.5449567726286407,-3.0349279038166017,34.23614588458274,10.452439160172377,1.0,1.0
