split_train_before,train_n,train_net_r,train_r_per_year,train_wr,train_pf,train_avg_r,train_max_dd,train_mar,train_sharpe_trade,train_pos_years,train_years,oos_n,oos_net_r,oos_r_per_year,oos_wr,oos_pf,oos_avg_r,oos_max_dd,oos_mar,oos_sharpe_trade,oos_pos_years,oos_years
2020,96,23.932341181286876,93.99233996198959,0.71875,1.7444204025278423,0.24929522063840495,-4.460772668905825,21.070865282414132,4.345507619667281,1,1,2412,826.987471603412,128.15323462161487,0.7172470978441128,2.115421481685885,0.34286379419710283,-12.596596300544931,10.173639891600793,6.036343399841696,7,7
2021,455,118.03588523520398,93.92724854500709,0.6857142857142857,1.7453312117857909,0.2594195279894593,-8.542527868210996,10.995252224407157,4.430987226488442,2,2,2053,732.883927549495,134.5831345085234,0.7243058938139308,2.1913044710765774,0.35698194230369945,-12.596596300544917,10.684087296081834,6.331053886452231,6,6
2022,828,218.80495993357252,96.87092317059074,0.6884057971014492,1.7691371082308724,0.26425719798740643,-12.596596300544903,7.690245909238221,4.5366299974745115,3,3,1680,632.1148528511264,142.0799692331532,0.731547619047619,2.2924558795922616,0.37625884098281337,-7.253234636851623,19.588497594064485,6.721893761836099,5,5
2023,1249,337.7646886576716,103.7582443500543,0.6917534027221778,1.7941992350547402,0.270428093400858,-12.596596300544903,8.237006400337362,4.65522250643746,4,4,1259,513.1551241270273,148.7538961011085,0.7426528991262907,2.473432549765316,0.40758945522400897,-5.449207405042273,27.298262856257445,7.381154152006224,4,4
2024,1604,466.28322382567774,109.6651303942877,0.7032418952618454,1.8826153535925951,0.2907002642304724,-12.596596300544903,8.70593355361748,5.049792880908664,5,5,904,384.6365889590213,156.79521664875284,0.7422566371681416,2.5682535135236635,0.4254829523882979,-5.449207405042241,28.773949125824732,7.723594944546353,3,3
2025,1995,606.2765096552818,115.27459404039129,0.706766917293233,1.9410568584901553,0.3038979998272089,-12.596596300544903,9.151249376421212,5.304220270004241,6,6,513,244.6433031294173,168.5961631472069,0.7582846003898636,2.891901123649279,0.47688753046670035,-4.048061112071764,41.64862102610916,8.809346473606363,2,2
