rule,k,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years,rank_net
ema8_aligned+orb_reversal,2,828,218.80495993357252,96.87092317059074,0.6884057971014492,1.7691371082308724,0.26425719798740643,-12.596596300544903,7.690245909238221,4.5366299974745115,3,3,1
orb_reversal+avoid_after_hours,2,1107,210.2475485001085,92.96963328046566,0.6449864498644986,1.4909123773483925,0.18992551806694535,-15.509443546596207,5.994388709120987,3.1622399937421592,3,3,2
orb_reversal+zone_fvg_overlap_100,2,1278,156.7998351697926,69.41956338880819,0.6158059467918623,1.289626646524547,0.12269157681517417,-29.588731734564448,2.3461486626584556,2.0039547909585442,3,3,3
orb_reversal+recent_fvg_20,2,1332,137.336488650381,60.802609066123225,0.6066066066066066,1.2371817727255106,0.1031054719597455,-27.874425259963427,2.181304493242958,1.6755551161699924,3,3,4
orb_reversal,1,1512,135.0913188873004,59.7362036605163,0.5992063492063492,1.2019276642951249,0.08934611037519867,-30.756293307277364,1.9422432691647498,1.447645986510481,3,3,5
intraday_stack_7d+orb_reversal,2,1394,116.03537302430962,51.37202423894435,0.5968436154949784,1.1867053685588984,0.0832391485109825,-32.07226028316958,1.6017587717664734,1.3470591391505442,3,3,6
stack_7d30d_score3+orb_reversal,2,1337,115.43799650785192,51.10754936302172,0.5983545250560958,1.1948099886841659,0.08634105946735372,-23.983509488794724,2.1309454059214956,1.400247843706524,3,3,7
orb_reversal+opposite_fvg_20,2,1344,114.95166437693211,50.830623987499344,0.5967261904761905,1.1923742379132398,0.08552951218521734,-31.41559253422133,1.6180062156118502,1.3845433322964662,3,3,8
ema8_aligned+ny_main_or_overlap,2,1195,113.24850963647987,43.95751131214056,0.5841004184100418,1.215797496038176,0.09476862731086182,-22.760298794593226,1.9313240001305605,1.5397454308576306,3,3,9
ema8_aligned+intraday_stack_24h,2,2536,111.70397398179307,40.476067953224124,0.5737381703470031,1.0943062506272891,0.04404730835244206,-38.242260085248745,1.0584120254136609,0.7084275302191115,3,3,10
ema8_aligned+avoid_after_hours,2,2426,109.12291202430423,42.3561568723455,0.5704863973619126,1.096292933969338,0.04498059028207099,-38.4749498328946,1.100876207930299,0.7232662478490893,3,3,11
intraday_stack_24h+orb_reversal,2,1242,108.18348311888448,47.895778435360675,0.5982286634460547,1.196374384722165,0.0871042537189086,-29.898539731701312,1.6019437358867716,1.4110991246186253,3,3,12
ema8_aligned+stack_score3,2,2154,107.58435337902992,38.98331852350265,0.5761374187558032,1.1076677563992954,0.049946310760923825,-36.113512036335706,1.0794662807726783,0.8038350967362967,2,3,13
ema8_aligned+stack_7d30d_score3,2,2794,101.18216398248089,35.63817299382946,0.5705082319255548,1.0769206653044532,0.036214088755361806,-43.4899681276992,0.8194573260938112,0.5821434858218133,2,3,14
fast_confirm_3+orb_reversal,2,1044,101.02684995914343,44.673192430480796,0.6024904214559387,1.2208402534520693,0.09676901337082704,-26.586851111511216,1.680273915971147,1.5711624538284237,3,3,15
body_ge_45+orb_reversal,2,1095,100.97402565441264,44.70395499427178,0.5990867579908675,1.208793932275985,0.09221372205882433,-20.429032094052662,2.188256143925981,1.4924290129129105,2,3,16
fast_confirm_2+orb_reversal,2,871,98.77937219963897,43.83859744339992,0.6107921928817451,1.2646513980274037,0.11340915292725484,-16.69337881668448,2.626106908901192,1.8492641620330301,3,3,17
stack_score3+orb_reversal,2,1028,97.5670666270396,43.19560131578935,0.603112840466926,1.2163608035557034,0.09490959788622529,-23.459956984478545,1.8412481039231314,1.541703255813628,3,3,18
orb_reversal+dir_demand,2,776,88.39144330799668,39.27612490054232,0.6095360824742269,1.2653497613059626,0.11390649910824314,-20.455573623107725,1.9200695919949113,1.8535603297558756,3,3,19
h1_stack_30d+orb_reversal,2,1187,87.53359078604976,38.753507920732936,0.5922493681550126,1.1640616390491973,0.07374354741874453,-27.272998863901982,1.4209478068077923,1.1943492843781711,3,3,20
ema8_aligned+intraday_stack_7d,2,2887,86.68669206768459,30.532607789509928,0.5673709733287149,1.0632743916839869,0.030026564623375333,-47.318651395188134,0.6452552405712647,0.4820615843742248,2,3,21
impulse_ge_1p5+orb_reversal,2,517,82.32470852733786,36.447393684375946,0.6286266924564797,1.3932289445194834,0.1592354130122589,-9.623644769781304,3.7872754612496164,2.6217307556592995,3,3,22
fast_confirm_1+orb_reversal,2,625,81.6869414106621,36.25292266129323,0.6208,1.3121051356193136,0.13069910625705936,-10.446148273392645,3.470458365370225,2.1397330697384542,3,3,23
ema8_aligned+opposite_fvg_20,2,2556,80.96608824967512,28.517708518026847,0.5676838810641628,1.0669369873905383,0.03167687333711859,-37.33671687881063,0.7637979689159881,0.5089950347008821,3,3,24
ema8_aligned+h1_stack_30d,2,2493,79.65069978851236,28.05440510873109,0.5687926193341356,1.0675819984964592,0.03194973918512329,-46.81543066015617,0.5992555171046995,0.5135341004642866,2,3,25
body_ge_60+orb_reversal,2,797,78.78061289617102,34.963084884965326,0.6035131744040151,1.2253190816479347,0.09884644027123089,-18.87295784068585,1.8525493025577997,1.6002429620707577,2,3,26
ema8_aligned+impulse_ge_1p5,2,1007,64.67085179651028,22.778233962078474,0.5789473684210527,1.1411152506035886,0.06422130267776592,-26.5628906021361,0.8575209040030728,1.0382656518802507,3,3,27
trend_aligned+orb_reversal,2,682,64.28801478609107,28.462057455296684,0.5997067448680352,1.2132286018529945,0.09426395129925376,-16.723935788081484,1.701875552259685,1.5228481621152568,3,3,28
base_body_high+orb_reversal,2,461,60.15088013652672,26.760181449289142,0.6182212581344902,1.3105759637136831,0.13047913261719463,-10.536608854786689,2.5397337813420138,2.1300525392852903,3,3,29
body_ge_70+orb_reversal,2,571,58.623842648991626,26.01744657052757,0.6042031523642732,1.2346995408376293,0.10266872618037062,-15.061087828208539,1.7274613140359232,1.6601155239538226,3,3,30
ema8_aligned+h1_stack_96,2,1668,57.438262904140544,20.812822942199734,0.5677458033573142,1.0730341592835375,0.034435409414952364,-36.850350175137734,0.5647930845509785,0.5538477638357346,3,3,31
ema8_aligned+zone_fvg_overlap_100,2,2776,55.13317952999191,19.4188947187363,0.5619596541786743,1.0413734428948276,0.01986065545028527,-49.60967282523738,0.39143363809602755,0.3184431017654459,2,3,32
ema8_aligned,1,3124,54.88647742385014,19.332001812016646,0.5611395646606914,1.036485027225006,0.017569294950016048,-54.48258457327023,0.35482901487572127,0.2815423935102843,2,3,33
ema8_aligned+orb_inside,2,760,52.695439340191754,23.358020896850775,0.5868421052631579,1.1527246588063946,0.06933610439498915,-20.182138232251766,1.1573610599655806,1.1183330757315368,3,3,34
ema8_aligned+body_ge_45,2,2221,51.54285769507961,18.154318971193664,0.5619090499774876,1.0485374402791194,0.023207049840197932,-42.91887807997496,0.4229914616445691,0.3724899026267098,2,3,35
h1_stack_96+orb_reversal,2,822,50.291279281516196,22.26532091827126,0.5863746958637469,1.133579738449155,0.06118160496534817,-27.849753197335325,0.799480008332771,0.985868239079977,2,3,36
orb_continuation+ny_main_or_overlap,2,679,47.79409329469773,21.15974857683436,0.5714285714285714,1.1561142856547886,0.07038894446936338,-25.411416488327205,0.8326867015285881,1.1415908623861233,3,3,37
orb_reversal+dir_supply,2,736,46.69987557930371,20.65027791203472,0.5883152173913043,1.1390309569937171,0.06345091790666264,-16.76431266791185,1.2317998549120897,1.0234558635102808,3,3,38
ema8_aligned+ob_overlap_30d,2,1307,45.706630785810475,17.816805650498694,0.5707727620504973,1.0744289397797717,0.034970643294422704,-29.150481943155192,0.6112010664263562,0.5634031159875582,3,3,39
orb_reversal+ob_overlap_30d,2,640,44.06037059533684,19.53040092226551,0.590625,1.1522853041450505,0.06884432905521382,-19.963023499717647,0.978328804879769,1.1132406122458012,3,3,40
tight_zone+orb_reversal,2,764,43.00092572470559,19.03768257084693,0.5903141361256544,1.1222390871715437,0.056283934194640825,-25.736536424396625,0.7397142434752952,0.9057555291621322,3,3,41
orb_reversal+ob_fvg_bos_overlap_30d,2,473,35.743306774755766,15.8437412615043,0.5940803382663847,1.168519544803677,0.07556724476692551,-15.495461066229474,1.0224762718441378,1.2247199991194069,3,3,42
base_body_low+orb_reversal,2,523,35.29484916193276,15.625992310782959,0.5908221797323135,1.148378829988309,0.06748537124652536,-19.045411045222636,0.8204597041082289,1.0881476765297906,2,3,43
