month,n,net_r,wr,pf
2021-04,33,-5.941311050629517,0.45454545454545453,0.6893764588120546
2020-03,22,-5.054563946917666,0.4090909090909091,0.6283863656777122
2019-11,21,1.4336729338901317,0.6190476190476191,1.151713115121312
2023-06,26,2.11470539771462,0.6153846153846154,1.1827771011310122
2020-01,24,2.4173305582232456,0.625,1.2337548041151027
2019-09,5,2.4848059481437943,0.8,3.3085904783645823
2024-03,28,2.702596280718541,0.6071428571428571,1.2203469365248545
2021-03,32,2.82847039883841,0.59375,1.198968098978594
2020-12,27,4.135322929610195,0.6296296296296297,1.3689831135180377
2021-08,26,4.780814256444133,0.6538461538461539,1.4787021387897012
