month,n,net_r,wr,pf
2026-04,34,21.270352906943295,0.8235294117647058,4.475951020170739
2025-04,34,21.108294537858438,0.8235294117647058,4.434173068094359
2024-04,43,19.020536044849692,0.7441860465116279,2.755534800582896
2022-12,39,18.741615604554283,0.7948717948717948,3.141200480906064
2021-11,30,18.414663423742,0.8666666666666667,5.055957792517193
2025-03,39,18.359506638532665,0.7692307692307693,2.8994868671072367
2026-05,31,18.22518771424345,0.8064516129032258,3.9515890915252685
2025-10,35,18.11077632056138,0.7714285714285715,3.19755555641136
2024-01,36,17.657009691737574,0.8055555555555556,3.3061272511654507
2023-03,30,17.47947239737524,0.8333333333333334,4.200177601867943
