name,n,pf,mar,pos,trades_yr,delay_ok,wf_ok,pf_is,pf_oos,p_neg,verdict
H4 mom L thr0.05 sl1.5 tp2.0,383,1.6293312119143126,1.2655970570040505,5/8,58.27971809470907,True,True,1.5762443681197968,1.7053153664650451,0.0,True
H4 mom L thr0.1 sl1.5 tp3.0,133,2.123229458883183,0.6871561236763163,5/8,20.923869346733667,True,True,1.6521707982191038,3.8030022385460973,0.0,True
H4 macross L 20/100 sl1.5 tp4.0,84,1.790483640286443,1.5426431007041796,7/8,13.028947554674781,True,True,1.8118225262278986,1.7679001921943096,0.011,True
D1 mom L thr0.2 sl1.5 tp3.0,47,2.450206305688523,1.3358444721716431,5/6,8.844281298299846,True,True,2.1966779986302125,2.928815043837329,0.003,True
