direc,reg,sess,lb,hold,ext,sl,vol,n,tpd,pf30,wr30,netR30,pf65,wr65,pf_is,pf_oos,pf_delay,posY,ROBUST,GOOD
long,bull,ny,8,4,3.618,0.1,0,1973,0.39,1.218,48.7,143.0,0.987,44.4,1.143,1.273,1.184,13/21,0,0
long,bull,ny,8,4,3.618,0.1,1.5,415,0.08,1.302,44.8,59.0,1.108,42.2,1.282,1.318,1.35,13/21,0,0
long,bull,ny,8,8,1.618,0.02,0,2408,0.47,1.317,46.3,340.0,1.097,44.1,1.241,1.369,1.349,16/21,0,0
long,bull,ny,8,8,1.618,0.02,1.5,568,0.11,1.472,43.3,145.0,1.256,42.4,1.381,1.536,1.66,15/21,0,1
long,bull,ny,8,8,1.618,0.1,0,2401,0.47,1.234,47.1,228.0,1.038,44.9,1.178,1.27,1.257,15/21,0,0
long,bull,ny,8,8,1.618,0.1,1.5,566,0.11,1.339,44.5,97.0,1.157,43.6,1.296,1.368,1.488,14/21,0,0
long,bull,ny,8,8,2.618,0.02,0,2408,0.47,1.338,46.2,363.0,1.116,44.0,1.296,1.367,1.369,17/21,0,0
long,bull,ny,8,8,2.618,0.02,1.5,568,0.11,1.475,43.0,147.0,1.26,41.9,1.494,1.462,1.64,15/21,0,1
long,bull,ny,8,8,2.618,0.1,0,2401,0.47,1.253,47.0,248.0,1.057,44.8,1.233,1.267,1.276,17/21,0,0
long,bull,ny,8,8,2.618,0.1,1.5,566,0.11,1.342,44.2,99.0,1.161,43.1,1.408,1.298,1.472,13/21,0,0
long,bull,ny,8,8,3.618,0.02,0,2408,0.47,1.353,46.2,379.0,1.129,44.0,1.316,1.378,1.39,17/21,0,1
long,bull,ny,8,8,3.618,0.02,1.5,568,0.11,1.501,43.0,155.0,1.283,41.9,1.526,1.483,1.682,15/21,0,1
long,bull,ny,8,8,3.618,0.1,0,2401,0.47,1.267,47.0,262.0,1.069,44.8,1.251,1.278,1.295,17/21,0,0
long,bull,ny,8,8,3.618,0.1,1.5,566,0.11,1.365,44.2,106.0,1.182,43.1,1.437,1.317,1.51,14/21,0,1
long,bull,ny,8,12,1.618,0.02,0,2752,0.54,1.378,44.8,518.0,1.172,43.1,1.325,1.413,1.414,19/21,0,1
long,bull,ny,8,12,1.618,0.02,1.5,751,0.15,1.393,41.1,169.0,1.197,40.3,1.393,1.393,1.632,16/21,0,1
long,bull,ny,8,12,1.618,0.1,0,2743,0.54,1.311,46.3,387.0,1.126,44.5,1.252,1.349,1.336,16/21,0,0
long,bull,ny,8,12,1.618,0.1,1.5,749,0.15,1.272,42.2,110.0,1.108,41.4,1.261,1.279,1.453,14/21,0,0
long,bull,ny,8,12,2.618,0.02,0,2752,0.54,1.417,44.7,573.0,1.207,43.0,1.398,1.43,1.448,19/21,0,1
long,bull,ny,8,12,2.618,0.02,1.5,751,0.15,1.438,40.7,190.0,1.239,39.9,1.541,1.368,1.661,15/21,0,1
long,bull,ny,8,12,2.618,0.1,0,2743,0.54,1.347,46.1,433.0,1.16,44.3,1.322,1.363,1.367,18/21,0,0
long,bull,ny,8,12,2.618,0.1,1.5,749,0.15,1.313,41.8,127.0,1.146,41.0,1.4,1.253,1.482,13/21,0,0
long,bull,ny,8,12,3.618,0.02,0,2752,0.54,1.436,44.7,599.0,1.224,43.0,1.428,1.441,1.472,19/21,0,1
long,bull,ny,8,12,3.618,0.02,1.5,751,0.15,1.468,40.6,203.0,1.267,39.8,1.613,1.371,1.711,15/21,0,1
long,bull,ny,8,12,3.618,0.1,0,2743,0.54,1.363,46.1,454.0,1.175,44.3,1.348,1.374,1.389,18/21,0,1
long,bull,ny,8,12,3.618,0.1,1.5,749,0.15,1.339,41.7,138.0,1.17,40.9,1.46,1.258,1.524,13/21,0,0
long,bull,ny,8,24,1.618,0.02,0,3720,0.73,1.426,37.8,1000.0,1.262,37.3,1.372,1.465,1.461,19/21,0,1
long,bull,ny,8,24,1.618,0.02,1.5,1165,0.23,1.361,35.9,277.0,1.205,35.5,1.434,1.305,1.536,16/21,0,1
long,bull,ny,8,24,1.618,0.1,0,3702,0.72,1.351,40.0,768.0,1.209,39.4,1.305,1.385,1.375,18/21,0,1
long,bull,ny,8,24,1.618,0.1,1.5,1158,0.23,1.291,37.9,210.0,1.157,37.5,1.367,1.235,1.436,15/21,0,0
long,bull,ny,8,24,2.618,0.02,0,3720,0.73,1.502,37.2,1189.0,1.332,36.7,1.447,1.542,1.532,18/21,0,1
long,bull,ny,8,24,2.618,0.02,1.5,1165,0.23,1.431,34.8,336.0,1.271,34.4,1.531,1.356,1.59,14/21,0,1
long,bull,ny,8,24,2.618,0.1,0,3702,0.72,1.423,39.4,934.0,1.277,38.8,1.378,1.456,1.443,17/21,0,1
long,bull,ny,8,24,2.618,0.1,1.5,1158,0.23,1.358,36.9,262.0,1.22,36.4,1.465,1.279,1.492,13/21,0,0
long,bull,ny,8,24,3.618,0.02,0,3720,0.73,1.535,37.0,1270.0,1.363,36.5,1.471,1.581,1.568,19/21,0,1
long,bull,ny,8,24,3.618,0.02,1.5,1165,0.23,1.483,34.6,378.0,1.318,34.2,1.595,1.398,1.653,14/21,0,1
long,bull,ny,8,24,3.618,0.1,0,3702,0.72,1.454,39.2,1005.0,1.305,38.6,1.402,1.491,1.477,17/21,0,1
long,bull,ny,8,24,3.618,0.1,1.5,1158,0.23,1.401,36.6,295.0,1.26,36.2,1.518,1.314,1.547,13/21,0,1
long,bull,london,3,4,1.618,0.02,0,4272,0.84,1.228,39.0,622.0,0.958,37.2,1.253,1.21,1.315,17/21,0,0
long,bull,london,3,4,1.618,0.02,1.5,1101,0.22,1.275,37.3,204.0,1.003,35.7,1.253,1.293,1.635,12/21,0,0
long,bull,london,3,4,1.618,0.1,0,4274,0.84,1.162,41.0,405.0,0.924,39.1,1.123,1.192,1.231,16/21,0,0
long,bull,london,3,4,1.618,0.1,1.5,1101,0.22,1.215,39.7,146.0,0.974,37.8,1.185,1.239,1.526,13/21,0,0
long,bull,london,3,4,2.618,0.02,0,4272,0.84,1.266,38.6,729.0,0.991,36.8,1.273,1.261,1.371,18/21,0,0
long,bull,london,3,4,2.618,0.02,1.5,1101,0.22,1.366,37.1,273.0,1.081,35.3,1.373,1.361,1.791,13/21,0,1
long,bull,london,3,4,2.618,0.1,0,4274,0.84,1.214,40.6,536.0,0.97,38.6,1.174,1.243,1.297,18/21,0,0
long,bull,london,3,4,2.618,0.1,1.5,1101,0.22,1.304,39.4,208.0,1.052,37.4,1.299,1.309,1.675,12/21,0,0
long,bull,london,3,4,3.618,0.02,0,4272,0.84,1.301,38.6,827.0,1.021,36.7,1.306,1.298,1.411,18/21,0,0
long,bull,london,3,4,3.618,0.02,1.5,1101,0.22,1.416,37.0,311.0,1.124,35.2,1.405,1.425,1.861,12/21,0,1
long,bull,london,3,4,3.618,0.1,0,4274,0.84,1.247,40.6,620.0,0.999,38.6,1.206,1.278,1.335,19/21,0,0
long,bull,london,3,4,3.618,0.1,1.5,1101,0.22,1.352,39.3,241.0,1.093,37.3,1.332,1.367,1.745,12/21,0,1
long,bull,london,3,8,1.618,0.02,0,5304,1.04,1.259,34.1,982.0,1.012,33.1,1.229,1.281,1.326,15/21,0,0
long,bull,london,3,8,1.618,0.02,1.5,1431,0.28,1.296,33.4,313.0,1.043,32.6,1.18,1.395,1.607,15/21,0,0
long,bull,london,3,8,1.618,0.1,0,5306,1.04,1.209,36.3,735.0,0.992,35.2,1.12,1.275,1.261,15/21,0,0
long,bull,london,3,8,1.618,0.1,1.5,1431,0.28,1.237,35.8,233.0,1.016,34.9,1.132,1.327,1.505,14/21,0,0
long,bull,london,3,8,2.618,0.02,0,5304,1.04,1.306,33.2,1181.0,1.056,32.2,1.267,1.335,1.378,16/21,0,0
long,bull,london,3,8,2.618,0.02,1.5,1431,0.28,1.357,32.4,384.0,1.098,31.6,1.304,1.401,1.676,14/21,0,1
long,bull,london,3,8,2.618,0.1,0,5306,1.04,1.269,35.4,961.0,1.047,34.3,1.183,1.333,1.326,15/21,0,0
long,bull,london,3,8,2.618,0.1,1.5,1431,0.28,1.306,34.9,306.0,1.079,34.0,1.261,1.344,1.586,14/21,0,0
long,bull,london,3,8,3.618,0.02,0,5304,1.04,1.365,33.0,1410.0,1.106,32.0,1.31,1.406,1.442,17/21,0,1
long,bull,london,3,8,3.618,0.02,1.5,1431,0.28,1.42,32.2,454.0,1.153,31.4,1.357,1.474,1.746,14/21,0,1
long,bull,london,3,8,3.618,0.1,0,5306,1.04,1.324,35.2,1161.0,1.096,34.1,1.226,1.397,1.386,16/21,0,0
long,bull,london,3,8,3.618,0.1,1.5,1431,0.28,1.377,34.7,378.0,1.141,33.8,1.326,1.42,1.667,15/21,0,1
long,bull,london,3,12,1.618,0.02,0,6022,1.18,1.29,33.1,1292.0,1.047,32.3,1.252,1.319,1.349,18/21,0,0
long,bull,london,3,12,1.618,0.02,1.5,1692,0.33,1.331,32.9,425.0,1.081,32.2,1.195,1.449,1.581,15/21,0,0
long,bull,london,3,12,1.618,0.1,0,6019,1.18,1.253,35.5,1046.0,1.039,34.6,1.151,1.33,1.293,15/21,0,0
long,bull,london,3,12,1.618,0.1,1.5,1691,0.33,1.268,35.3,321.0,1.051,34.5,1.135,1.385,1.471,15/21,0,0
long,bull,london,3,12,2.618,0.02,0,6022,1.18,1.369,32.0,1673.0,1.118,31.2,1.328,1.4,1.433,17/21,0,1
long,bull,london,3,12,2.618,0.02,1.5,1692,0.33,1.408,31.8,534.0,1.15,31.0,1.318,1.485,1.666,15/21,0,1
long,bull,london,3,12,2.618,0.1,0,6019,1.18,1.332,34.4,1396.0,1.11,33.5,1.228,1.41,1.379,15/21,0,0
long,bull,london,3,12,2.618,0.1,1.5,1691,0.33,1.35,34.2,426.0,1.125,33.4,1.262,1.424,1.563,15/21,0,1
long,bull,london,3,12,3.618,0.02,0,6022,1.18,1.434,31.7,1976.0,1.175,30.9,1.375,1.478,1.498,17/21,0,1
long,bull,london,3,12,3.618,0.02,1.5,1692,0.33,1.48,31.5,632.0,1.212,30.7,1.387,1.56,1.745,16/21,0,1
long,bull,london,3,12,3.618,0.1,0,6019,1.18,1.391,34.1,1655.0,1.163,33.1,1.268,1.484,1.439,16/21,0,1
long,bull,london,3,12,3.618,0.1,1.5,1691,0.33,1.425,33.9,521.0,1.191,33.0,1.337,1.501,1.648,14/21,0,1
long,bull,london,3,24,1.618,0.02,0,7865,1.54,1.315,30.4,1926.0,1.096,30.2,1.29,1.335,1.358,17/21,0,0
long,bull,london,3,24,1.618,0.02,1.5,2341,0.46,1.328,29.8,604.0,1.106,29.6,1.22,1.427,1.517,14/21,0,0
long,bull,london,3,24,1.618,0.1,0,7861,1.54,1.269,32.6,1545.0,1.079,32.3,1.203,1.321,1.303,18/21,0,0
long,bull,london,3,24,1.618,0.1,1.5,2340,0.46,1.237,31.3,413.0,1.05,31.0,1.137,1.327,1.393,15/21,0,0
long,bull,london,3,24,2.618,0.02,0,7865,1.54,1.401,28.9,2510.0,1.175,28.7,1.364,1.431,1.448,16/21,0,1
long,bull,london,3,24,2.618,0.02,1.5,2341,0.46,1.408,28.0,772.0,1.18,27.8,1.317,1.49,1.598,13/21,0,1
long,bull,london,3,24,2.618,0.1,0,7861,1.54,1.367,31.1,2154.0,1.169,30.8,1.308,1.413,1.408,17/21,0,1
long,bull,london,3,24,2.618,0.1,1.5,2340,0.46,1.322,29.6,576.0,1.129,29.2,1.241,1.393,1.484,14/21,0,0
long,bull,london,3,24,3.618,0.02,0,7865,1.54,1.471,28.5,2962.0,1.236,28.2,1.437,1.497,1.519,17/21,0,1
long,bull,london,3,24,3.618,0.02,1.5,2341,0.46,1.483,27.4,921.0,1.246,27.1,1.433,1.527,1.68,13/21,0,1
long,bull,london,3,24,3.618,0.1,0,7861,1.54,1.435,30.6,2571.0,1.23,30.3,1.377,1.479,1.475,17/21,0,1
long,bull,london,3,24,3.618,0.1,1.5,2340,0.46,1.398,28.9,721.0,1.198,28.6,1.354,1.437,1.572,14/21,0,1
long,bull,london,5,4,1.618,0.02,0,2873,0.56,1.227,41.1,374.0,0.98,39.4,1.131,1.302,1.281,16/21,0,0
long,bull,london,5,4,1.618,0.02,1.5,705,0.14,1.439,40.7,185.0,1.167,39.1,1.302,1.55,1.678,15/21,0,1
long,bull,london,5,4,1.618,0.1,0,2872,0.56,1.172,42.7,260.0,0.953,40.8,1.051,1.269,1.196,16/21,0,0
long,bull,london,5,4,1.618,0.1,1.5,705,0.14,1.334,42.1,130.0,1.1,40.4,1.209,1.434,1.483,15/21,0,0
long,bull,london,5,4,2.618,0.02,0,2873,0.56,1.275,41.0,455.0,1.022,39.2,1.184,1.347,1.354,17/21,0,0
long,bull,london,5,4,2.618,0.02,1.5,705,0.14,1.521,40.6,220.0,1.238,39.0,1.381,1.635,1.807,14/21,0,1
long,bull,london,5,4,2.618,0.1,0,2872,0.56,1.22,42.6,334.0,0.995,40.7,1.101,1.315,1.265,16/21,0,0
long,bull,london,5,4,2.618,0.1,1.5,705,0.14,1.413,42.0,162.0,1.17,40.3,1.29,1.513,1.602,14/21,0,1
long,bull,london,5,4,3.618,0.02,0,2873,0.56,1.302,41.0,500.0,1.046,39.2,1.212,1.373,1.386,17/21,0,0
long,bull,london,5,4,3.618,0.02,1.5,705,0.14,1.564,40.6,238.0,1.275,39.0,1.42,1.68,1.876,15/21,0,1
long,bull,london,5,4,3.618,0.1,0,2872,0.56,1.245,42.6,372.0,1.017,40.7,1.128,1.339,1.295,17/21,0,0
long,bull,london,5,4,3.618,0.1,1.5,705,0.14,1.454,42.0,178.0,1.206,40.3,1.334,1.552,1.668,14/21,0,1
long,bull,london,5,8,1.618,0.02,0,3708,0.73,1.262,36.2,639.0,1.04,35.2,1.153,1.348,1.332,17/21,0,0
long,bull,london,5,8,1.618,0.02,1.5,982,0.19,1.369,36.9,239.0,1.132,35.8,1.301,1.426,1.592,12/21,0,1
long,bull,london,5,8,1.618,0.1,0,3704,0.72,1.215,38.2,487.0,1.019,37.1,1.077,1.324,1.257,16/21,0,0
long,bull,london,5,8,1.618,0.1,1.5,981,0.19,1.248,38.0,152.0,1.051,37.0,1.169,1.314,1.401,12/21,0,0
long,bull,london,5,8,2.618,0.02,0,3708,0.73,1.305,35.5,750.0,1.079,34.6,1.208,1.38,1.386,16/21,0,0
long,bull,london,5,8,2.618,0.02,1.5,982,0.19,1.424,36.3,278.0,1.182,35.1,1.38,1.461,1.657,13/21,0,1
long,bull,london,5,8,2.618,0.1,0,3704,0.72,1.259,37.6,593.0,1.06,36.5,1.124,1.367,1.309,16/21,0,0
long,bull,london,5,8,2.618,0.1,1.5,981,0.19,1.3,37.4,186.0,1.099,36.3,1.238,1.352,1.465,11/21,0,0
long,bull,london,5,8,3.618,0.02,0,3708,0.73,1.346,35.5,854.0,1.116,34.5,1.24,1.43,1.433,17/21,0,0
long,bull,london,5,8,3.618,0.02,1.5,982,0.19,1.497,36.3,325.0,1.244,35.1,1.476,1.514,1.748,13/21,0,1
long,bull,london,5,8,3.618,0.1,0,3704,0.72,1.301,37.5,688.0,1.097,36.4,1.154,1.417,1.353,17/21,0,0
long,bull,london,5,8,3.618,0.1,1.5,981,0.19,1.373,37.4,231.0,1.163,36.3,1.33,1.408,1.555,12/21,0,1
long,bull,london,5,12,1.618,0.02,0,4356,0.85,1.285,35.3,844.0,1.071,34.4,1.182,1.364,1.361,16/21,0,0
long,bull,london,5,12,1.618,0.02,1.5,1217,0.24,1.276,34.5,232.0,1.065,33.8,1.229,1.315,1.474,14/21,0,0
long,bull,london,5,12,1.618,0.1,0,4344,0.85,1.251,37.6,690.0,1.061,36.6,1.116,1.357,1.301,16/21,0,0
long,bull,london,5,12,1.618,0.1,1.5,1214,0.24,1.18,35.8,143.0,1.003,35.1,1.122,1.228,1.319,13/21,0,0
long,bull,london,5,12,2.618,0.02,0,4356,0.85,1.342,34.6,1024.0,1.123,33.7,1.244,1.418,1.424,16/21,0,0
long,bull,london,5,12,2.618,0.02,1.5,1217,0.24,1.352,33.9,298.0,1.134,33.2,1.334,1.367,1.553,15/21,0,1
long,bull,london,5,12,2.618,0.1,0,4344,0.85,1.309,36.9,858.0,1.114,35.9,1.171,1.417,1.362,15/21,0,0
long,bull,london,5,12,2.618,0.1,1.5,1214,0.24,1.25,35.3,200.0,1.067,34.5,1.216,1.279,1.393,12/21,0,0
long,bull,london,5,12,3.618,0.02,0,4356,0.85,1.387,34.5,1164.0,1.163,33.5,1.278,1.473,1.47,18/21,0,1
long,bull,london,5,12,3.618,0.02,1.5,1217,0.24,1.43,33.9,364.0,1.202,33.2,1.437,1.424,1.646,15/21,0,1
long,bull,london,5,12,3.618,0.1,0,4344,0.85,1.355,36.7,990.0,1.156,35.7,1.204,1.474,1.406,15/21,0,1
long,bull,london,5,12,3.618,0.1,1.5,1214,0.24,1.326,35.3,261.0,1.134,34.5,1.314,1.336,1.483,12/21,0,0
long,bull,london,5,24,1.618,0.02,0,5832,1.14,1.337,32.9,1419.0,1.144,32.5,1.25,1.407,1.393,17/21,0,0
long,bull,london,5,24,1.618,0.02,1.5,1743,0.34,1.223,30.5,290.0,1.049,30.0,1.171,1.269,1.35,12/21,0,0
long,bull,london,5,24,1.618,0.1,0,5818,1.14,1.282,34.9,1113.0,1.114,34.4,1.178,1.365,1.319,15/21,0,0
long,bull,london,5,24,1.618,0.1,1.5,1740,0.34,1.118,31.5,146.0,0.974,30.9,1.06,1.169,1.213,9/21,0,0
long,bull,london,5,24,2.618,0.02,0,5832,1.14,1.435,31.9,1859.0,1.233,31.5,1.353,1.5,1.496,17/21,0,1
long,bull,london,5,24,2.618,0.02,1.5,1743,0.34,1.325,29.3,430.0,1.143,28.8,1.272,1.372,1.458,12/21,0,0
long,bull,london,5,24,2.618,0.1,0,5818,1.14,1.376,34.0,1511.0,1.202,33.4,1.276,1.457,1.417,16/21,0,1
long,bull,london,5,24,2.618,0.1,1.5,1740,0.34,1.206,30.3,260.0,1.056,29.8,1.149,1.256,1.304,9/21,0,0
long,bull,london,5,24,3.618,0.02,0,5832,1.14,1.497,31.7,2132.0,1.288,31.3,1.415,1.562,1.559,17/21,0,1
long,bull,london,5,24,3.618,0.02,1.5,1743,0.34,1.404,29.1,536.0,1.214,28.6,1.403,1.405,1.553,13/21,0,1
long,bull,london,5,24,3.618,0.1,0,5818,1.14,1.44,33.8,1772.0,1.259,33.2,1.333,1.525,1.48,16/21,0,1
long,bull,london,5,24,3.618,0.1,1.5,1740,0.34,1.281,30.2,355.0,1.124,29.6,1.267,1.293,1.392,12/21,0,0
long,bull,london,8,4,1.618,0.02,0,1924,0.38,1.325,44.9,316.0,1.072,42.8,1.239,1.394,1.365,20/21,0,0
long,bull,london,8,4,1.618,0.02,1.5,468,0.09,1.496,46.2,117.0,1.22,42.9,1.394,1.587,1.807,16/21,0,1
long,bull,london,8,4,1.618,0.1,0,1921,0.38,1.276,46.4,245.0,1.048,44.3,1.179,1.355,1.299,17/21,0,0
long,bull,london,8,4,1.618,0.1,1.5,467,0.09,1.496,48.4,105.0,1.237,45.0,1.371,1.608,1.765,16/21,0,1
long,bull,london,8,4,2.618,0.02,0,1924,0.38,1.352,44.8,344.0,1.096,42.7,1.264,1.422,1.405,19/21,0,1
long,bull,london,8,4,2.618,0.02,1.5,468,0.09,1.533,46.2,126.0,1.252,42.9,1.506,1.557,1.868,17/21,0,1
long,bull,london,8,4,2.618,0.1,0,1921,0.38,1.309,46.3,275.0,1.078,44.2,1.209,1.391,1.345,18/21,0,0
long,bull,london,8,4,2.618,0.1,1.5,467,0.09,1.549,48.4,116.0,1.284,45.0,1.507,1.586,1.843,16/21,0,1
long,bull,london,8,4,3.618,0.02,0,1924,0.38,1.37,44.8,362.0,1.112,42.7,1.285,1.438,1.418,19/21,0,1
long,bull,london,8,4,3.618,0.02,1.5,468,0.09,1.568,46.2,134.0,1.282,42.9,1.554,1.581,1.906,16/21,0,1
long,bull,london,8,4,3.618,0.1,0,1921,0.38,1.328,46.3,292.0,1.094,44.2,1.233,1.405,1.359,18/21,0,0
long,bull,london,8,4,3.618,0.1,1.5,467,0.09,1.589,48.4,124.0,1.319,45.0,1.568,1.607,1.892,16/21,0,1
long,bull,london,8,8,1.618,0.02,0,2561,0.5,1.328,40.0,497.0,1.113,38.9,1.202,1.429,1.35,17/21,0,0
long,bull,london,8,8,1.618,0.02,1.5,669,0.13,1.4,41.1,157.0,1.174,40.1,1.267,1.52,1.532,15/21,0,1
long,bull,london,8,8,1.618,0.1,0,2555,0.5,1.274,41.6,384.0,1.083,40.4,1.131,1.389,1.285,16/21,0,0
long,bull,london,8,8,1.618,0.1,1.5,667,0.13,1.345,43.0,125.0,1.145,42.0,1.224,1.454,1.466,15/21,0,0
long,bull,london,8,8,2.618,0.02,0,2561,0.5,1.342,39.5,524.0,1.127,38.3,1.226,1.435,1.371,16/21,0,0
long,bull,london,8,8,2.618,0.02,1.5,669,0.13,1.323,40.2,128.0,1.109,39.0,1.29,1.352,1.441,13/21,0,0
long,bull,london,8,8,2.618,0.1,0,2555,0.5,1.294,41.2,416.0,1.103,39.9,1.154,1.407,1.312,15/21,0,0
long,bull,london,8,8,2.618,0.1,1.5,667,0.13,1.285,42.1,105.0,1.094,40.9,1.251,1.315,1.394,12/21,0,0
long,bull,london,8,8,3.618,0.02,0,2561,0.5,1.365,39.5,558.0,1.146,38.3,1.25,1.456,1.397,16/21,0,1
long,bull,london,8,8,3.618,0.02,1.5,669,0.13,1.347,40.2,138.0,1.13,39.0,1.323,1.367,1.467,12/21,0,0
long,bull,london,8,8,3.618,0.1,0,2555,0.5,1.318,41.2,451.0,1.124,39.9,1.18,1.43,1.34,15/21,0,0
long,bull,london,8,8,3.618,0.1,1.5,667,0.13,1.323,42.1,119.0,1.128,40.9,1.296,1.347,1.436,13/21,0,0
long,bull,london,8,12,1.618,0.02,0,3137,0.61,1.303,38.3,588.0,1.107,37.4,1.188,1.393,1.328,16/21,0,0
long,bull,london,8,12,1.618,0.02,1.5,871,0.17,1.301,38.3,164.0,1.108,38.0,1.245,1.349,1.469,15/21,0,0
long,bull,london,8,12,1.618,0.1,0,3123,0.61,1.271,40.3,484.0,1.094,39.4,1.13,1.381,1.282,15/21,0,0
long,bull,london,8,12,1.618,0.1,1.5,867,0.17,1.245,40.1,123.0,1.075,39.7,1.195,1.287,1.386,13/21,0,0
long,bull,london,8,12,2.618,0.02,0,3137,0.61,1.349,37.8,684.0,1.149,36.9,1.246,1.429,1.374,16/21,0,0
long,bull,london,8,12,2.618,0.02,1.5,871,0.17,1.304,37.5,168.0,1.113,37.2,1.321,1.29,1.47,13/21,0,0
long,bull,london,8,12,2.618,0.1,0,3123,0.61,1.32,39.9,578.0,1.14,39.0,1.188,1.423,1.331,15/21,0,0
long,bull,london,8,12,2.618,0.1,1.5,867,0.17,1.255,39.3,130.0,1.086,38.9,1.272,1.242,1.396,12/21,0,0
long,bull,london,8,12,3.618,0.02,0,3137,0.61,1.383,37.7,751.0,1.179,36.9,1.275,1.467,1.409,16/21,0,1
long,bull,london,8,12,3.618,0.02,1.5,871,0.17,1.342,37.5,188.0,1.146,37.2,1.384,1.306,1.515,13/21,0,0
long,bull,london,8,12,3.618,0.1,0,3123,0.61,1.356,39.8,643.0,1.172,38.9,1.218,1.464,1.368,15/21,0,1
long,bull,london,8,12,3.618,0.1,1.5,867,0.17,1.3,39.3,153.0,1.126,38.9,1.337,1.269,1.449,12/21,0,0
long,bull,london,8,24,1.618,0.02,0,4290,0.84,1.341,35.3,985.0,1.17,34.8,1.285,1.385,1.372,17/21,0,0
long,bull,london,8,24,1.618,0.02,1.5,1285,0.25,1.299,33.8,264.0,1.137,33.2,1.308,1.291,1.433,13/21,0,0
long,bull,london,8,24,1.618,0.1,0,4268,0.84,1.29,37.3,783.0,1.14,36.8,1.215,1.348,1.308,15/21,0,0
long,bull,london,8,24,1.618,0.1,1.5,1279,0.25,1.23,35.5,190.0,1.09,34.9,1.253,1.211,1.341,12/21,0,0
long,bull,london,8,24,2.618,0.02,0,4290,0.84,1.441,34.7,1286.0,1.261,34.2,1.376,1.492,1.471,17/21,0,1
long,bull,london,8,24,2.618,0.02,1.5,1285,0.25,1.382,32.8,343.0,1.214,32.2,1.41,1.358,1.518,14/21,0,1
long,bull,london,8,24,2.618,0.1,0,4268,0.84,1.387,36.8,1053.0,1.229,36.2,1.302,1.452,1.406,17/21,0,1
long,bull,london,8,24,2.618,0.1,1.5,1279,0.25,1.309,34.6,259.0,1.164,34.0,1.351,1.273,1.423,13/21,0,0
long,bull,london,8,24,3.618,0.02,0,4290,0.84,1.486,34.5,1421.0,1.302,34.0,1.405,1.55,1.518,16/21,0,1
long,bull,london,8,24,3.618,0.02,1.5,1285,0.25,1.431,32.5,388.0,1.259,32.0,1.482,1.389,1.573,15/21,0,1
long,bull,london,8,24,3.618,0.1,0,4268,0.84,1.43,36.6,1176.0,1.27,36.1,1.328,1.51,1.451,16/21,0,1
long,bull,london,8,24,3.618,0.1,1.5,1279,0.25,1.357,34.3,301.0,1.209,33.8,1.418,1.307,1.477,13/21,0,1
long,bull,london_ny,3,4,1.618,0.02,0,6730,1.32,1.197,41.9,745.0,0.912,38.9,1.185,1.206,1.287,16/21,0,0
long,bull,london_ny,3,4,1.618,0.02,1.5,1135,0.22,1.298,37.7,226.0,1.022,36.1,1.251,1.336,1.664,14/21,0,0
long,bull,london_ny,3,4,1.618,0.1,0,6732,1.32,1.162,43.7,548.0,0.903,40.6,1.093,1.211,1.229,14/21,0,0
long,bull,london_ny,3,4,1.618,0.1,1.5,1135,0.22,1.232,40.0,161.0,0.988,38.1,1.182,1.272,1.549,14/21,0,0
long,bull,london_ny,3,4,2.618,0.02,0,6730,1.32,1.232,41.6,883.0,0.943,38.6,1.2,1.256,1.335,18/21,0,0
long,bull,london_ny,3,4,2.618,0.02,1.5,1135,0.22,1.39,37.4,297.0,1.101,35.8,1.369,1.406,1.819,13/21,0,1
long,bull,london_ny,3,4,2.618,0.1,0,6732,1.32,1.207,43.5,707.0,0.943,40.3,1.132,1.262,1.284,18/21,0,0
long,bull,london_ny,3,4,2.618,0.1,1.5,1135,0.22,1.322,39.7,225.0,1.067,37.8,1.293,1.345,1.698,13/21,0,0
long,bull,london_ny,3,4,3.618,0.02,0,6730,1.32,1.264,41.6,1005.0,0.97,38.6,1.226,1.291,1.369,19/21,0,0
long,bull,london_ny,3,4,3.618,0.02,1.5,1135,0.22,1.443,37.4,338.0,1.146,35.7,1.4,1.477,1.894,12/21,0,1
long,bull,london_ny,3,4,3.618,0.1,0,6732,1.32,1.236,43.4,807.0,0.968,40.3,1.157,1.294,1.316,19/21,0,0
long,bull,london_ny,3,4,3.618,0.1,1.5,1135,0.22,1.373,39.6,261.0,1.111,37.7,1.326,1.409,1.772,12/21,0,1
long,bull,london_ny,3,8,1.618,0.02,0,8015,1.57,1.251,37.2,1308.0,0.995,35.7,1.237,1.26,1.315,16/21,0,0
long,bull,london_ny,3,8,1.618,0.02,1.5,1473,0.29,1.301,33.7,325.0,1.047,32.9,1.176,1.406,1.609,15/21,0,0
long,bull,london_ny,3,8,1.618,0.1,0,8017,1.57,1.223,39.4,1062.0,0.993,37.8,1.157,1.269,1.267,15/21,0,0
long,bull,london_ny,3,8,1.618,0.1,1.5,1473,0.29,1.238,36.1,239.0,1.017,35.2,1.127,1.331,1.505,14/21,0,0
long,bull,london_ny,3,8,2.618,0.02,0,8015,1.57,1.296,36.6,1564.0,1.036,35.1,1.266,1.317,1.364,17/21,0,0
long,bull,london_ny,3,8,2.618,0.02,1.5,1473,0.29,1.366,32.8,401.0,1.105,31.9,1.299,1.421,1.683,14/21,0,1
