year,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2019,161,29.307257996357237,50.73211366431033,63.975155279503106,1.4695551089537953,0.18203265836246732,-8.31627180227246,6.1003433834915715,2.707390788775169,41,6,-6.8968400849934905,8,1,1,5,7
2020,436,47.313153869522495,47.47563035945904,58.944954128440365,1.2483242684572866,0.1085164079576204,-18.00845741951471,2.636296338631008,7.853479304275531,178,9,-9.869879846164237,13,1,1,7,12
2021,406,51.236064438638266,51.983257045035074,59.60591133004927,1.301077201440242,0.12619720305083318,-15.107977963798415,3.4407818948105984,6.105543279878233,170,6,-6.489221030905329,10,1,1,10,12
2022,433,54.14489398665111,54.78233387430559,59.815242494226325,1.2941378907978895,0.12504594454191942,-13.707453927229011,3.9965360573259976,5.359188998099142,142,7,-7.19662835966486,12,1,1,9,12
2023,460,19.44315328329011,19.672054672359312,56.30434782608695,1.0905921730015065,0.04226772452889154,-14.448551041215639,1.3615243920475635,5.64981140026327,161,7,-7.512149476692838,7,1,1,7,12
2024,417,64.32457384787102,64.5454686756453,60.671462829736214,1.3766690435724769,0.15425557277666913,-9.842246283043071,6.558001783276737,2.2679046899873216,55,7,-7.388841979701878,8,1,1,9,12
2025,404,97.42862136000566,98.30332583354162,63.86138613861386,1.6474976402087387,0.24115995386140016,-8.895895209858132,11.050414097122589,2.606852349948788,37,5,-5.111573330648786,11,1,1,12,12
2026,219,19.363491599389405,42.098305396886786,55.25114155251142,1.1943654650500017,0.08841776986022559,-9.515165593245907,4.424337651755549,3.5624783032998426,60,4,-4.073449277400922,9,1,1,4,6
