risk_pct,risk_usd_fixed,pnl_usd,max_dd_usd,avg_trade_usd
0.01,50.0,19128.060519086266,-900.4228709757355,6.5150069887896
0.02,100.0,38256.12103817253,-1800.845741951471,13.0300139775792
0.03,150.0,57384.181557258795,-2701.2686129272065,19.5450209663688
0.04,200.0,76512.24207634506,-3601.691483902942,26.0600279551584
0.05,250.0,95640.30259543132,-4502.114354878678,32.575034943948
