risk_pct,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_intrayear_dd_usd
0.01,2019,161,5000.0,6652.520241498854,1652.5202414988544,33.0504048299771,-556.7260169022311
0.01,2020,436,5000.0,7856.185252048531,2856.185252048531,57.12370504097062,-1057.6054337799587
0.01,2021,406,5000.0,8186.815034856962,3186.8150348569616,63.73630069713923,-984.6443154994122
0.01,2022,433,5000.0,8415.028973817936,3415.0289738179363,68.30057947635872,-727.340446493763
0.01,2023,460,5000.0,5939.114269100522,939.1142691005216,18.782285382010432,-876.6831314025485
0.01,2024,417,5000.0,9324.301249638942,4324.301249638942,86.48602499277884,-840.148486467946
0.01,2025,404,5000.0,12988.269123375152,7988.269123375152,159.76538246750303,-906.7638323241335
0.01,2026,219,5000.0,6002.411519511411,1002.4115195114109,20.048230390228227,-550.8505824712665
0.02,2019,161,5000.0,8719.130218524846,3719.130218524846,74.38260437049694,-1473.4283686771041
0.02,2020,436,5000.0,11829.565623589227,6829.5656235892275,136.59131247178453,-3424.587210386444
0.02,2021,406,5000.0,12897.628133775419,7897.628133775419,157.95256267550837,-3045.1189765794334
0.02,2022,433,5000.0,13583.38047330658,8583.38047330658,171.6676094661316,-1533.4973906092364
0.02,2023,460,5000.0,6746.173405447947,1746.1734054479466,34.92346810895892,-2055.203066900901
0.02,2024,417,5000.0,16704.81217385475,11704.812173854749,234.09624347709496,-3167.86074308517
0.02,2025,404,5000.0,32439.577072159635,27439.577072159635,548.7915414431927,-4208.720088851205
0.02,2026,219,5000.0,7050.3078934510995,2050.3078934510995,41.006157869022,-1272.0325217357677
0.03,2019,161,5000.0,11257.057616668846,6257.057616668846,125.14115233337692,-2890.8082651288278
0.03,2020,436,5000.0,17069.31090652519,12069.310906525188,241.38621813050375,-8015.407256406574
0.03,2021,406,5000.0,19549.38688314864,14549.38688314864,290.9877376629728,-7207.848702705764
0.03,2022,433,5000.0,21028.414845447303,16028.414845447303,320.5682969089461,-2731.6742815603666
0.03,2023,460,5000.0,7326.747983320438,2326.747983320438,46.534959666408746,-3492.105604432032
0.03,2024,417,5000.0,28750.26848873916,23750.26848873916,475.00536977478316,-8617.074390804199
0.03,2025,404,5000.0,77908.64768167578,72908.64768167578,1458.1729536335156,-14148.915345226102
0.03,2026,219,5000.0,8102.498560693602,3102.4985606936016,62.049971213872034,-2167.6711599566497
0.04,2019,161,5000.0,14316.321015455835,9316.321015455835,186.3264203091167,-4983.367142925732
0.04,2020,436,5000.0,23600.25503917587,18600.25503917587,372.0051007835174,-16075.558103808275
0.04,2021,406,5000.0,28507.10660251799,23507.10660251799,470.14213205035975,-14675.188731284263
0.04,2022,433,5000.0,31219.10087367093,26219.10087367093,524.3820174734186,-4910.736263131606
0.04,2023,460,5000.0,7606.845009978043,2606.845009978043,52.136900199560856,-5099.771202269227
0.04,2024,417,5000.0,47533.81537713048,42533.81537713048,850.6763075426095,-20041.244076608535
0.04,2025,404,5000.0,179935.3982245673,174935.3982245673,3498.7079644913456,-40836.98592028959
0.04,2026,219,5000.0,9110.762390150852,4110.762390150852,82.21524780301705,-3230.914298258591
0.05,2019,161,5000.0,17934.068298146693,12934.068298146693,258.68136596293385,-7961.327940494028
0.05,2020,436,5000.0,31262.439743893563,26262.439743893563,525.2487948778713,-29144.06849608536
0.05,2021,406,5000.0,39987.82519008877,34987.82519008877,699.7565038017754,-27106.453594347826
0.05,2022,433,5000.0,44443.37724760017,39443.37724760017,788.8675449520033,-7984.380178913147
0.05,2023,460,5000.0,7548.257390256293,2548.2573902562926,50.965147805125845,-6754.439408864302
0.05,2024,417,5000.0,75491.61665107982,70491.61665107982,1409.8323330215965,-42031.53206417628
0.05,2025,404,5000.0,399661.0474312276,394661.0474312276,7893.220948624551,-106735.98001528144
0.05,2026,219,5000.0,10023.18985934136,5023.189859341361,100.46379718682724,-4442.565386728085
