extra_cost_r,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
0.0,2936,382.5612103817253,54.34869003964417,59.67302452316077,1.3078494977854362,0.130300139775792,-18.00845741951471,3.0179536633020927,5.228654170913805,181,9,-9.869879846164237,13,8,8,63,85
0.025,2936,309.16121038172537,43.92109377359984,59.67302452316077,1.2429960409896028,0.10530013977579201,-20.460011139265454,2.146679856361832,6.421177088386106,239,9,-10.094879846164234,13,8,8,59,85
0.05,2936,235.76121038172516,33.49349750755547,59.67302452316077,1.181091625467558,0.08030013977579195,-23.18501113926548,1.4446185643979195,8.189724139115897,354,9,-10.319879846164234,13,7,8,55,85
0.1,2936,88.96121038172524,12.6383049754668,59.63896457765667,1.065359199225782,0.030300139775791976,-36.506554983097885,0.34619275856947307,14.572933552223732,815,9,-10.769879846164237,13,6,8,43,85
0.15,2936,-57.83878961827461,-8.21688755662186,59.53678474114441,0.9592812712619485,-0.019699860224207975,-103.99117861616276,-0.07901523634952586,61.259007254112575,2816,9,-11.219879846164234,13,3,8,36,85
0.2,2936,-204.63878961827467,-29.07208008871055,59.46866485013624,0.8617208186124836,-0.06969986022420799,-213.81032615217717,-0.13597135653784473,139.35178862029795,2816,9,-11.669879846164235,13,1,8,28,85
0.3,2936,-498.2387896182747,-70.78246515288792,59.40054495912806,0.6884099224500126,-0.16969986022420802,-501.7317388392336,-0.14107631563561152,304.0591053748655,2903,9,-12.569879846164238,13,0,8,18,85
0.4,2936,-791.8387896182747,-112.49285021706528,59.230245231607626,0.5392472976052022,-0.269699860224208,-792.8783557051237,-0.14187907818094364,471.3425626463235,2934,9,-13.469879846164234,13,0,8,7,85
0.5,2936,-1085.4387896182748,-154.20323528124266,59.16212534059946,0.40958300360851363,-0.36969986022420803,-1086.2783557051255,-0.14195554433296811,640.65535876224,2934,9,-14.369879846164235,13,0,8,5,85
