risk_pct,month,trades,start_equity,end_equity,pnl_usd,return_pct,max_intramonth_dd_usd
0.01,2019-06,8,5000.0,4979.166794234503,-20.83320576549704,-0.4166641153099393,-161.02580680526353
0.01,2019-07,14,5000.0,5479.4040243645295,479.4040243645295,9.588080487290584,-55.27453720939957
0.01,2019-08,14,5000.0,5068.248735265783,68.24873526578267,1.364974705315647,-161.80171916729796
0.01,2019-09,13,5000.0,5111.609380013371,111.60938001337126,2.2321876002674212,-103.28147277858352
0.01,2019-10,40,5000.0,5092.0942405419055,92.09424054190549,1.8418848108381125,-287.69956541542524
0.01,2019-11,32,5000.0,5908.695562534696,908.6955625346964,18.17391125069392,-67.71001586573857
0.01,2019-12,40,5000.0,4887.790756571484,-112.20924342851595,-2.2441848685703203,-394.003206388481
0.01,2020-01,45,5000.0,4573.735598520179,-426.26440147982066,-8.525288029596412,-598.2565230783048
0.01,2020-02,35,5000.0,4867.244109076704,-132.75589092329574,-2.655117818465913,-291.23566671277604
0.01,2020-03,39,5000.0,5172.154740239923,172.15474023992283,3.443094804798452,-212.01187194748218
0.01,2020-04,27,5000.0,4898.69279885489,-101.30720114511041,-2.02614402290221,-226.07563351498538
0.01,2020-05,39,5000.0,5518.962272186203,518.9622721862033,10.379245443724061,-211.55002080665872
0.01,2020-06,37,5000.0,5757.280183085161,757.2801830851613,15.145603661703234,-114.71076524914406
0.01,2020-07,33,5000.0,5463.608769192454,463.608769192454,9.27217538384908,-120.06020222518964
0.01,2020-08,39,5000.0,6172.196603423922,1172.1966034239222,23.443932068478436,-118.54744611386468
0.01,2020-09,36,5000.0,5290.116923636601,290.1169236366013,5.802338472732016,-229.06059236952933
0.01,2020-10,44,5000.0,5034.356211775701,34.35621177570101,0.687124235514025,-283.4921174305455
0.01,2020-11,32,5000.0,4884.8601704800185,-115.1398295199815,-2.302796590399625,-285.15449463699133
0.01,2020-12,30,5000.0,4878.882751056798,-121.11724894320196,-2.422344978864044,-250.75103133548328
0.01,2021-01,27,5000.0,5528.529015245861,528.529015245861,10.570580304917222,-217.70348021860536
0.01,2021-02,36,5000.0,5586.35010568394,586.3501056839395,11.727002113678786,-166.95244687652666
0.01,2021-03,41,5000.0,5093.051976830779,93.05197683077859,1.8610395366155608,-479.6014786852438
0.01,2021-04,35,5000.0,5026.425635782236,26.425635782235986,0.5285127156447134,-179.04632167643467
0.01,2021-05,31,5000.0,4727.345875520471,-272.65412447952895,-5.453082489590577,-531.6670170903171
0.01,2021-06,30,5000.0,5219.889711526418,219.88971152641807,4.397794230528351,-202.19942776492553
0.01,2021-07,34,5000.0,5026.6103707718985,26.610370771898488,0.5322074154379797,-313.2314330794334
0.01,2021-08,33,5000.0,5352.9692386970955,352.96923869709553,7.059384773941901,-313.7633057136518
0.01,2021-09,36,5000.0,5531.180234174937,531.1802341749371,10.623604683498744,-217.98743136394842
0.01,2021-10,28,5000.0,5497.139442774166,497.1394427741661,9.94278885548332,-112.04743321155547
0.01,2021-11,33,5000.0,5048.210058964108,48.2100589641077,0.9642011792821537,-369.2512414957564
0.01,2021-12,42,5000.0,4961.000316354351,-38.999683645649384,-0.779993672912993,-236.19880075101173
0.01,2022-01,41,5000.0,5346.79061099288,346.7906109928799,6.9358122198575956,-209.51471476373808
0.01,2022-02,27,5000.0,4946.841184436855,-53.158815563145254,-1.0631763112629034,-357.66204356936305
0.01,2022-03,40,5000.0,4702.922495947201,-297.07750405279876,-5.941550081055979,-459.01247321095707
0.01,2022-04,42,5000.0,4965.8411541893865,-34.15884581061346,-0.6831769162122692,-278.03112520478135
0.01,2022-05,29,5000.0,5616.416273515054,616.416273515054,12.32832547030107,-109.0635916666406
0.01,2022-06,37,5000.0,5639.123169001601,639.1231690016011,12.782463380032016,-238.37716512448333
0.01,2022-07,40,5000.0,5154.351241552238,154.3512415522382,3.087024831044771,-250.62531091449637
0.01,2022-08,35,5000.0,5218.45038708223,218.45038708223,4.369007741644593,-218.83383167081593
0.01,2022-09,46,5000.0,5178.073331290176,178.0733312901757,3.561466625803522,-238.5523912373892
0.01,2022-10,33,5000.0,5450.9814858237905,450.98148582379054,9.019629716475809,-125.92658660615598
0.01,2022-11,34,5000.0,5088.7434254286145,88.7434254286145,1.7748685085722915,-266.75084510444685
0.01,2022-12,29,5000.0,5436.3070393469725,436.3070393469725,8.726140786939451,-188.51644943973406
0.01,2023-01,47,5000.0,5104.224231176326,104.2242311763257,2.0844846235265058,-419.01853820541237
0.01,2023-02,34,5000.0,4690.394709162003,-309.605290837997,-6.192105816759941,-444.8528818652667
0.01,2023-03,48,5000.0,5435.5853554465175,435.5853554465175,8.711707108930344,-177.4629298691807
0.01,2023-04,22,5000.0,5450.844964816274,450.8449648162741,9.016899296325477,-162.31819613343578
0.01,2023-05,40,5000.0,5124.164275477652,124.16427547765215,2.483285509553035,-190.79237200343323
0.01,2023-06,32,5000.0,5127.8651617371615,127.86516173716154,2.5573032347432356,-337.83590706028735
0.01,2023-07,34,5000.0,4798.717143711657,-201.28285628834328,-4.025657125766868,-302.6733461920203
0.01,2023-08,36,5000.0,5306.739980991682,306.7399809916824,6.134799619833653,-127.75899524707256
0.01,2023-09,38,5000.0,4863.835300791004,-136.16469920899635,-2.723293984179931,-497.52311486396957
0.01,2023-10,53,5000.0,4931.23389309487,-68.76610690513007,-1.375322138102597,-277.1985759178351
0.01,2023-11,38,5000.0,4827.581249330598,-172.41875066940156,-3.4483750133880275,-373.4328191386403
0.01,2023-12,38,5000.0,5276.741113477211,276.741113477211,5.534822269544226,-212.80064976049562
0.01,2024-01,34,5000.0,5261.215330847335,261.2153308473353,5.224306616946706,-179.1473709267775
0.01,2024-02,34,5000.0,5336.700958483169,336.7009584831694,6.7340191696633855,-187.5283569878393
0.01,2024-03,34,5000.0,5232.554059246171,232.55405924617116,4.6510811849234335,-135.5515081910262
0.01,2024-04,36,5000.0,5581.830154448665,581.8301544486649,11.636603088973295,-193.95934340630447
0.01,2024-05,41,5000.0,4735.744923202358,-264.2550767976418,-5.28510153595284,-486.09296115420875
0.01,2024-06,28,5000.0,5759.001508311639,759.0015083116386,15.180030166232772,-109.19367536912523
0.01,2024-07,39,5000.0,5319.634083571703,319.63408357170283,6.392681671434053,-177.05784619940187
0.01,2024-08,40,5000.0,5561.582502916977,561.5825029169773,11.231650058339548,-177.44240032712696
0.01,2024-09,33,5000.0,4917.860221222915,-82.13977877708476,-1.6427955755417,-239.17117969288847
0.01,2024-10,40,5000.0,5779.269807651084,779.2698076510842,15.58539615302168,-75.88911632349482
0.01,2024-11,32,5000.0,5113.170075406205,113.17007540620489,2.2634015081240966,-172.38045636226798
0.01,2024-12,26,5000.0,4734.586218331411,-265.41378166858885,-5.308275633371773,-426.60091505914806
0.01,2025-01,30,5000.0,5533.233664631747,533.2336646317472,10.66467329263494,-117.94335546080583
0.01,2025-02,39,5000.0,5236.344978771173,236.34497877117337,4.726899575423471,-223.4425202145576
0.01,2025-03,35,5000.0,5161.743589584528,161.7435895845283,3.2348717916905745,-171.71995188713845
0.01,2025-04,40,5000.0,6157.010095979829,1157.0100959798292,23.14020191959658,-119.99838604474644
0.01,2025-05,23,5000.0,5110.221475199374,110.22147519937425,2.204429503987493,-166.73919419186223
0.01,2025-06,36,5000.0,5666.903166843015,666.9031668430152,13.338063336860294,-177.25314100075047
0.01,2025-07,28,5000.0,5161.725389372029,161.72538937202899,3.234507787440588,-232.97137863986427
0.01,2025-08,32,5000.0,5018.110367145629,18.110367145629425,0.3622073429125905,-438.13288181433745
0.01,2025-09,34,5000.0,5784.081427710347,784.0814277103473,15.681628554206938,-168.32786342530108
0.01,2025-10,46,5000.0,5796.454454419719,796.4544544197188,15.929089088394367,-262.79869826473896
0.01,2025-11,28,5000.0,5054.602492771782,54.602492771781726,1.0920498554356284,-313.99862671169103
0.01,2025-12,33,5000.0,5418.053885688611,418.05388568861144,8.361077713772236,-250.40619904395317
0.01,2026-01,41,5000.0,5101.896195681251,101.8961956812509,2.0379239136250282,-219.57175795786043
