risk_pct,total_pnl_usd,positive_months,total_months,worst_month_usd,best_month_usd,avg_month_usd,worst_intramonth_dd_usd
0.01,19725.036502864397,63,85,-426.26440147982066,1172.1966034239222,232.05925297487525,-598.2565230783048
0.02,40730.35983624705,63,85,-835.5394829949182,2591.521704769163,479.18070395584766,-1178.6021115362537
0.03,63154.54543470221,63,85,-1225.8741751703183,4303.610053394361,742.9946521729672,-1738.6239953889344
0.04,87148.83162262203,62,85,-1595.71528411169,6361.118479292923,1025.2803720308475,-2335.058102126195
0.05,112877.82667512017,59,85,-1943.8982542926174,8824.520961185175,1327.9744314720022,-3104.5237856054937
