risk_pct,entry_timestamp,direction,entry_session,entry_price,stop_price,risk_units,r,risk_usd,lots_est,pnl_usd,equity_after,drawdown_usd,month,year
0.01,2019-06-04 17:00:00+00:00,supply,ny_main,1324.2,1327.8117142857143,3.6117142857142426,0.9169369511905694,50.0,0.13843841468238438,45.84684755952847,5045.846847559528,0.0,2019-06,2019
0.01,2019-06-05 15:00:00+00:00,demand,london_ny_overlap,1335.0,1331.1225714285713,3.877428571428709,0.9226291356569184,50.45846847559528,0.13013384397949837,46.55445315621034,5092.401300715738,0.0,2019-06,2019
0.01,2019-06-07 16:00:00+00:00,demand,ny_main,1341.1,1332.4481428571428,8.651857142857125,-1.034674636329112,50.924013007157384,0.05885905438140489,-52.689784638599534,5039.711516077139,-52.68978463859912,2019-06,2019
0.01,2019-06-12 20:00:00+00:00,supply,ny_main,1332.54,1338.9228571428573,6.382857142857347,-1.0470008952551462,50.39711516077139,0.07895698436109859,-52.765824691604344,4986.945691385535,-105.45560933020352,2019-06,2019
0.01,2019-06-18 15:00:00+00:00,demand,london_ny_overlap,1350.83,1344.038,6.791999999999916,-1.044169611307421,49.869456913855345,0.07342381759990571,-52.07217144185252,4934.873519943682,-157.52778077205585,2019-06,2019
0.01,2019-06-21 14:00:00+00:00,demand,london_ny_overlap,1394.75,1380.1101428571428,14.63985714285718,0.979507996760312,49.348735199436824,0.03370848138604562,48.33748075785546,4983.211000701538,-109.19030001420015,2019-06,2019
0.01,2019-06-27 16:00:00+00:00,supply,ny_main,1401.08,1408.5421428571428,7.462142857142908,-1.0402029290705463,49.83211000701538,0.06677989280158998,-51.83550679106308,4931.375493910475,-161.02580680526353,2019-06,2019
0.01,2019-06-27 20:00:00+00:00,demand,ny_main,1407.63,1397.9127142857144,9.717285714285708,0.9691271813116538,49.31375493910475,0.050748487169217364,47.79130032402823,4979.166794234503,-113.23450648123526,2019-06,2019
0.01,2019-07-03 15:00:00+00:00,supply,london_ny_overlap,1419.34,1436.7025714285714,17.362571428571528,0.982721453372608,50.0,0.028797577712320263,49.1360726686304,5049.136072668631,0.0,2019-07,2019
0.01,2019-07-04 17:00:00+00:00,demand,ny_main,1415.07,1409.6645714285714,5.4054285714285015,0.9445002378561228,50.49136072668631,0.0934086170217265,47.68910221603452,5096.825174884665,0.0,2019-07,2019
0.01,2019-07-09 18:00:00+00:00,demand,ny_main,1393.5,1385.162857142857,8.337142857142908,0.9640164496230296,50.968251748846654,0.06113395514769095,49.13423309441592,5145.959407979081,0.0,2019-07,2019
0.01,2019-07-10 13:00:00+00:00,demand,london_ny_overlap,1395.65,1389.4634285714287,6.186571428571369,0.9515078741975704,51.45959407979081,0.08317950366197274,48.96420896993163,5194.923616949013,0.0,2019-07,2019
0.01,2019-07-12 15:00:00+00:00,supply,london_ny_overlap,1407.66,1412.969857142857,5.309857142857027,-1.0564986951491846,51.949236169490135,0.09783546858576742,-54.88430022706315,5140.03931672195,-54.88430022706325,2019-07,2019
0.01,2019-07-12 17:00:00+00:00,demand,ny_main,1408.08,1404.3531428571428,3.7268571428571704,0.9195032198712058,51.4003931672195,0.1379188715771749,47.26282701990425,5187.302143741854,-7.621473207159397,2019-07,2019
0.01,2019-07-15 15:00:00+00:00,supply,london_ny_overlap,1414.05,1420.2998571428573,6.249857142857309,0.951998902832066,51.87302143741854,0.08299873141372834,49.383059495006684,5236.685203236861,0.0,2019-07,2019
0.01,2019-07-15 17:00:00+00:00,supply,ny_main,1413.73,1417.6457142857143,3.91571428571433,0.9233856256840578,52.366852032368605,0.13373512011184827,48.35479842901316,5285.040001665874,0.0,2019-07,2019
0.01,2019-07-18 19:00:00+00:00,demand,ny_main,1428.64,1413.819857142857,14.820142857143082,0.9797572801496036,52.85040001665874,0.035661194717286855,51.78056417514013,5336.820565841014,0.0,2019-07,2019
0.01,2019-07-23 20:00:00+00:00,supply,ny_main,1419.51,1427.9085714285716,8.398571428571586,-1.0357203606055445,53.36820565841015,0.06354438503297569,-55.27453720939942,5281.546028631615,-55.27453720939957,2019-07,2019
0.01,2019-07-26 16:00:00+00:00,demand,ny_main,1419.86,1413.4684285714286,6.391571428571297,0.9530631858921338,52.815460286316146,0.08263298138267376,50.33647084483594,5331.882499476451,-4.938066364563383,2019-07,2019
0.01,2019-07-26 16:00:00+00:00,demand,ny_main,1419.86,1416.8084285714287,3.051571428571151,0.9016899957867052,53.31882499476451,0.17472579699610763,48.07705108488128,5379.959550561332,0.0,2019-07,2019
0.01,2019-07-29 18:00:00+00:00,demand,ny_main,1420.56,1417.3217142857145,3.2382857142856665,0.9073583906828996,53.799595505613325,0.16613603694163528,48.81551439736426,5428.775064958697,0.0,2019-07,2019
0.01,2019-07-30 12:00:00+00:00,demand,london_ny_overlap,1426.79,1422.3387142857143,4.451285714285632,0.9326037420969852,54.28775064958697,0.12195970812513746,50.628959405832845,5479.4040243645295,0.0,2019-07,2019
0.01,2019-08-05 19:00:00+00:00,demand,ny_main,1463.59,1454.9434285714287,8.646571428571178,0.9653041668043476,50.0,0.05782638865942077,48.26520834021738,5048.265208340217,0.0,2019-08,2019
0.01,2019-08-09 18:00:00+00:00,demand,ny_main,1501.99,1494.0485714285714,7.94142857142856,-1.0377765785213169,50.48265208340217,0.06356872901309871,-52.38971395379514,4995.875494386422,-52.38971395379485,2019-08,2019
0.01,2019-08-13 16:00:00+00:00,supply,ny_main,1520.06,1534.720285714286,14.66028571428592,0.9795365516166128,49.95875494386422,0.034077613436402004,48.93642654077217,5044.8119209271945,-3.4532874130227356,2019-08,2019
0.01,2019-08-15 15:00:00+00:00,supply,london_ny_overlap,1515.09,1523.2554285714286,8.16542857142872,-1.0367402638300844,50.448119209271944,0.061782573649339936,-52.30159641875215,4992.510324508442,-55.75488383177526,2019-08,2019
0.01,2019-08-15 18:00:00+00:00,demand,ny_main,1518.68,1509.047142857143,9.63285714285712,-1.0311434079786446,49.92510324508442,0.051827928624587245,-51.479941103822036,4941.03038340462,-107.23482493559732,2019-08,2019
0.01,2019-08-21 19:00:00+00:00,demand,ny_main,1502.76,1498.7581428571427,4.001857142857261,0.9250348052689844,49.4103038340462,0.12346843495459722,45.70625078540829,4986.736634190028,-61.52857415018934,2019-08,2019
0.01,2019-08-22 13:00:00+00:00,supply,london_ny_overlap,1498.21,1502.7181428571428,4.5081428571427296,0.933453750356496,49.86736634190028,0.11061620698840569,46.548880132248115,5033.285514322276,-14.979694017941256,2019-08,2019
0.01,2019-08-22 18:00:00+00:00,demand,ny_main,1500.44,1491.8484285714285,8.59157142857157,0.9650820571656612,50.33285514322276,0.058583991952670146,48.57533538464265,5081.860849706919,0.0,2019-08,2019
0.01,2019-08-23 16:00:00+00:00,demand,ny_main,1502.38,1493.954,8.426000000000158,0.964395917398529,50.81860849706919,0.0603116644873822,49.00925856244773,5130.870108269367,0.0,2019-08,2019
0.01,2019-08-27 17:00:00+00:00,demand,ny_main,1532.8,1526.9161428571429,5.883857142857096,0.949013038094544,51.30870108269367,0.08720249291739107,48.69262629517194,5179.562734564539,0.0,2019-08,2019
0.01,2019-08-29 17:00:00+00:00,supply,ny_main,1539.49,1551.3705714285716,11.880571428571557,0.9747486893367324,51.79562734564539,0.04359691590345749,50.48771986854166,5230.050454433081,0.0,2019-08,2019
0.01,2019-08-29 20:00:00+00:00,supply,ny_main,1528.58,1545.5262857142857,16.94628571428575,-1.0177029943350415,52.300504544330806,0.03086251785560383,-53.22638007999891,5176.824074353081,-53.22638007999922,2019-08,2019
0.01,2019-08-30 12:00:00+00:00,supply,london_ny_overlap,1525.57,1530.5274285714286,4.957428571428636,-1.0605152440781502,51.76824074353082,0.10442559080304045,-54.90100846762203,5121.923065885459,-108.1273885476212,2019-08,2019
0.01,2019-08-30 16:00:00+00:00,demand,ny_main,1528.27,1522.0112857142856,6.2587142857144045,-1.0479331674693562,51.2192306588546,0.08183666536074853,-53.67433061967706,5068.248735265783,-161.80171916729796,2019-08,2019
0.01,2019-09-09 15:00:00+00:00,demand,london_ny_overlap,1511.43,1504.2948571428572,7.13514285714291,-1.0420454090417648,50.0,0.07007568173627467,-52.10227045208824,4947.897729547912,-52.102270452088305,2019-09,2019
0.01,2019-09-10 16:00:00+00:00,demand,ny_main,1495.62,1486.8895714285711,8.730428571428547,-1.0343625742477052,49.47897729547912,0.05667416770054731,-51.17920232649554,4896.7185272214165,-103.28147277858352,2019-09,2019
0.01,2019-09-11 18:00:00+00:00,demand,ny_main,1494.54,1485.700857142857,8.83914285714286,0.9660600575362834,48.96718527221417,0.05539811502496995,47.30524182146507,4944.023769042881,-55.97623095711879,2019-09,2019
0.01,2019-09-11 20:00:00+00:00,demand,ny_main,1493.73,1490.1391428571428,3.590857142857203,0.9164544875875252,49.440237690428816,0.13768366638804738,45.30972769878739,4989.333496741669,-10.666503258331431,2019-09,2019
0.01,2019-09-17 17:00:00+00:00,demand,ny_main,1501.7,1496.3022857142855,5.397714285714301,0.9444209189074744,49.893334967416685,0.09243419033768681,47.12030925728609,5036.4538059989545,0.0,2019-09,2019
0.01,2019-09-20 15:00:00+00:00,supply,london_ny_overlap,1499.9,1506.5267142857142,6.626714285714115,-1.0452713044603026,50.36453805998955,0.07600227788387606,-52.644606396505836,4983.809199602449,-52.64460639650588,2019-09,2019
0.01,2019-09-24 12:00:00+00:00,supply,london_ny_overlap,1521.78,1525.289,3.5090000000000146,0.9145055571387865,49.83809199602449,0.14202933028220086,45.577212087558465,5029.386411690007,-7.067394308947769,2019-09,2019
0.01,2019-09-25 15:00:00+00:00,supply,london_ny_overlap,1528.24,1533.420285714286,5.180285714285901,0.9420881363410754,50.29386411690007,0.09708704672061325,47.38125271528167,5076.767664405288,0.0,2019-09,2019
0.01,2019-09-26 17:00:00+00:00,demand,ny_main,1509.57,1502.7074285714286,6.8625714285713,-1.0437153919813489,50.767676644052884,0.07397762948257147,-52.98700552853003,5023.780658876758,-52.98700552853006,2019-09,2019
0.01,2019-09-27 17:05:00+00:00,demand,ny_main,1492.62,1487.0837142857142,5.536285714285668,0.945812045208236,50.23780658876758,0.09074279974231718,47.515522596498066,5071.296181473256,-5.471482932031904,2019-09,2019
0.01,2019-09-27 17:30:00+00:00,supply,ny_main,1492.38,1496.796142857143,4.416142857142859,-1.0679325849966033,50.712961814732566,0.11483541963029399,-54.158024403641384,5017.138157069615,-59.629507335673225,2019-09,2019
0.01,2019-09-27 19:05:00+00:00,demand,ny_main,1495.01,1491.2075714285716,3.802428571428436,0.9211030544388896,50.17138157069615,0.131945625350297,46.21301281018724,5063.351169879802,-13.416494525486087,2019-09,2019
0.01,2019-09-30 17:55:00+00:00,supply,ny_main,1481.07,1487.465,6.394999999999982,0.9530883502736512,50.633511698798024,0.07917671884096664,48.25821013356903,5111.609380013371,0.0,2019-09,2019
0.01,2019-10-01 15:25:00+00:00,supply,london_ny_overlap,1466.01,1469.953142857143,3.9431428571429024,-1.0760814433736676,50.0,0.1268024056227795,-53.80407216868338,4946.195927831317,-53.80407216868298,2019-10,2019
