weekday,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
Friday,564,92.7896226848289,13.223335811796238,61.170212765957444,1.4078235275983317,0.16452060759721435,-11.635043411669145,1.1365093660530863,3.593638368247066,130,8,-9.088966663373855,11,6,8,49,85
Monday,561,56.24988490356004,8.149651115043755,58.46702317290553,1.2279173545714726,0.1002671745161498,-10.38343569023418,0.7848703799175698,3.242737799214583,87,5,-5.098990222616668,11,5,8,53,84
Thursday,600,94.2593237071409,13.506558644187216,61.0,1.3828017873626341,0.15709887284523483,-14.37007312075793,0.9399088321044556,3.8436605552556107,99,6,-6.462107473220307,13,8,8,55,85
Tuesday,588,77.64387888644643,11.034796405943407,59.523809523809526,1.3149318585547087,0.1320474130721878,-18.01717985525199,0.6124596909502891,5.944585834918632,160,7,-7.568782630186973,10,7,8,52,85
Wednesday,623,61.618500199749036,8.757259610100519,58.26645264847512,1.2235888090355564,0.09890609983908352,-15.000114287203312,0.5838128591841056,4.519890968269073,175,5,-5.46559614917935,14,7,8,50,85
