risk_pct,total_pnl_usd,positive_years,total_years,worst_year_usd,best_year_usd,avg_year_usd,worst_intrayear_dd_usd
0.01,25364.64566384831,8,8,939.1142691005216,7988.269123375152,3170.580707981039,-1057.6054337799587
0.02,69970.5749941095,8,8,1746.1734054479466,27439.577072159635,8746.321874263687,-4208.720088851205
0.03,150992.33296621896,8,8,2326.747983320438,72908.64768167578,18874.04162077737,-14148.915345226102
0.04,301829.6045326473,8,8,2606.845009978043,174935.3982245673,37728.70056658091,-40836.98592028959
0.05,586351.8218116342,8,8,2548.2573902562926,394661.0474312276,73293.97772645428,-106735.98001528144
