entry_session,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,recovery_trades,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
london_ny_overlap,1616,185.15235606212462,26.303733197857262,59.3440594059406,1.2646683378926495,0.11457447776121574,-13.49408120799471,1.9492793019708032,5.028379881466026,237,8,-8.909530586841285,15,8,8,60,85
ny_main,1320,197.4088543196007,28.044956841786913,60.07575757575757,1.363468275262924,0.14955216236333385,-10.062684130821154,2.787025457341702,3.5944843830780604,154,7,-7.45050894558837,15,8,8,56,85
