scenario,n,wr,pf,sum_pnl,final_balance,total_withdrawn,total_take_home,years,avg_yr,avg_qty,max_qty,avg_cost_usd
baseline_bt (flat_0.65cost),27965,56.799570892186665,3.238498624120103,1.0629760950733998e+102,1.0629760950734003e+102,0.0,1.0629760950734003e+102,21,5.0617909289209515e+100,3.694242150286851e+94,4.372738244480445e+97,0.6500000000000001
P0_per_lot_cost_only,27965,56.67083854818523,3.1768040485265847,9.790634636337788e+88,9.790634636337779e+88,0.0,9.790634636337779e+88,21,4.6622069696846604e+87,3.4530973575850034e+81,4.031133860827675e+84,5.352300904256756e+82
P0+P3_perlot+ceiling,27965,56.67083854818523,2.076642955357595,27158817.954450443,27168817.95445064,0.0,27158817.95445064,21,1293277.045450021,4.960994187061048,5.0,76.89540989944622
P0+P1_perlot+withdraw,27965,56.67083854818523,2.8534880240309115,164577454792.62802,10000.0,164577454792.62796,164577454792.62796,21,7837021656.791811,45866.47851913217,30023225.256626043,710930.4170465487
P0+P1+P3_REALISTIC,27965,56.67083854818523,2.106397510062081,20168013.0644014,10000.0,20168013.064401396,20168013.064401396,21,960381.5744953047,4.1390623206865484,5.0,64.15546597064149
fixed_$150_risk,27965,56.67083854818523,2.1317615332151827,2114713.7387933875,2124713.7387933875,0.0,2114713.7387933875,21,100700.65422825655,0.6981542402181932,3.0,10.821390723381995
