month,trades,net_r
2022-01,1,-1.0401253439315188
2022-02,12,3.1105243055211957
2022-03,23,6.137275423695967
2022-04,8,-0.32538316742258644
2022-05,10,4.341148715256808
2022-06,3,2.860835788110786
2022-07,3,-0.39688513011635795
2022-08,6,-0.21569261402868722
2022-09,10,0.5337588308556573
2022-10,6,3.760261730709829
2022-11,6,0.048641069203392145
2022-12,2,-0.08661229540535942
2023-01,10,-0.6870130651064115
2023-02,8,1.6929568834256448
2023-03,13,6.480448753271379
2023-04,10,4.404525769726491
2023-05,7,-1.2848160565880191
2023-06,6,-2.2528096877259065
2023-07,4,-1.0286876877599855
2023-08,2,-0.09241639242590194
2023-10,7,-1.9196106465439313
2023-11,4,-2.150507270956218
2023-12,4,-2.125836899507096
2024-01,1,0.9537821599137266
2024-02,1,0.955093661791122
2024-03,8,-1.073182040690549
2024-04,26,7.977808738841683
2024-05,14,3.5030959908790553
2024-06,14,1.4394396519177
2024-07,17,4.320858689513261
2024-08,22,12.211286787262459
2024-09,12,1.5376563703422976
2024-10,11,5.551553907302466
2024-11,22,5.104907551651836
2024-12,9,-3.317753988560386
2025-01,10,3.5778973547677184
2025-02,13,2.582403505179274
2025-03,17,0.40504930000502404
2025-04,39,22.035946084435466
2025-05,23,6.419650970407264
2025-06,27,6.093738460327991
2025-07,23,16.04780671162286
2025-08,18,-0.6922631015068405
2025-09,25,6.179576212464394
2025-10,38,13.173281831865388
2025-11,30,1.357321692297695
2025-12,32,5.16827225861984
2026-01,32,9.328722763175511
2026-02,30,11.816063794242542
2026-03,33,14.618817564673927
2026-04,39,20.272278792009963
2026-05,40,13.155272110693426
2026-06,27,6.497283874479908
