name,iter,net_r,max_dd_r
top10_stretch__fixed_fee_stretch__rolling_strict,72,266.7495582574918,-9.340934790410586
top10_stretch__fixed_fee_stretch__rolling_strict,73,266.7495582574918,-10.563973451900793
top10_stretch__fixed_fee_stretch__rolling_strict,74,266.7495582574918,-11.638341802594894
top10_stretch__fixed_fee_stretch__rolling_strict,75,266.7495582574918,-13.489037673405107
top10_stretch__fixed_fee_stretch__rolling_strict,76,266.7495582574918,-9.469725153899589
top10_stretch__fixed_fee_stretch__rolling_strict,77,266.7495582574918,-13.649868800333934
top10_stretch__fixed_fee_stretch__rolling_strict,78,266.7495582574918,-13.582503063122871
top10_stretch__fixed_fee_stretch__rolling_strict,79,266.7495582574918,-9.026529468730892
top10_stretch__fixed_fee_stretch__rolling_strict,80,266.74955825749174,-12.069502469663405
top10_stretch__fixed_fee_stretch__rolling_strict,81,266.7495582574918,-9.730764030390986
top10_stretch__fixed_fee_stretch__rolling_strict,82,266.7495582574918,-13.958442220221485
top10_stretch__fixed_fee_stretch__rolling_strict,83,266.7495582574918,-7.714543807472552
top10_stretch__fixed_fee_stretch__rolling_strict,84,266.7495582574918,-9.96182065075277
top10_stretch__fixed_fee_stretch__rolling_strict,85,266.7495582574918,-16.879244060391457
top10_stretch__fixed_fee_stretch__rolling_strict,86,266.7495582574918,-8.78980557596995
top10_stretch__fixed_fee_stretch__rolling_strict,87,266.7495582574918,-10.757530731575883
top10_stretch__fixed_fee_stretch__rolling_strict,88,266.7495582574918,-9.632348460469359
top10_stretch__fixed_fee_stretch__rolling_strict,89,266.7495582574918,-8.988264725433197
top10_stretch__fixed_fee_stretch__rolling_strict,90,266.7495582574918,-7.222680231426352
top10_stretch__fixed_fee_stretch__rolling_strict,91,266.7495582574918,-13.680888819823565
top10_stretch__fixed_fee_stretch__rolling_strict,92,266.7495582574918,-10.181175660679827
top10_stretch__fixed_fee_stretch__rolling_strict,93,266.7495582574918,-8.225670440137588
top10_stretch__fixed_fee_stretch__rolling_strict,94,266.7495582574918,-10.818746690758019
top10_stretch__fixed_fee_stretch__rolling_strict,95,266.7495582574918,-11.22392017123127
top10_stretch__fixed_fee_stretch__rolling_strict,96,266.7495582574918,-14.364574645720438
top10_stretch__fixed_fee_stretch__rolling_strict,97,266.7495582574918,-11.349420522353938
top10_stretch__fixed_fee_stretch__rolling_strict,98,266.7495582574918,-11.554074243553856
top10_stretch__fixed_fee_stretch__rolling_strict,99,266.7495582574918,-19.852851530498683
top10_stretch__fixed_fee_stretch__rolling_strict,100,266.74955825749174,-8.963059724994054
top10_stretch__fixed_fee_stretch__rolling_strict,101,266.7495582574918,-7.998020417636553
top10_stretch__fixed_fee_stretch__rolling_strict,102,266.7495582574918,-10.298792339127946
top10_stretch__fixed_fee_stretch__rolling_strict,103,266.7495582574918,-8.870215458261962
top10_stretch__fixed_fee_stretch__rolling_strict,104,266.7495582574918,-11.472414503947746
top10_stretch__fixed_fee_stretch__rolling_strict,105,266.7495582574918,-9.086455530135353
top10_stretch__fixed_fee_stretch__rolling_strict,106,266.7495582574918,-9.84717457724248
top10_stretch__fixed_fee_stretch__rolling_strict,107,266.7495582574918,-14.73966812910832
top10_stretch__fixed_fee_stretch__rolling_strict,108,266.7495582574918,-7.339804739241302
top10_stretch__fixed_fee_stretch__rolling_strict,109,266.7495582574918,-11.706523362792069
top10_stretch__fixed_fee_stretch__rolling_strict,110,266.7495582574918,-15.22833709256507
top10_stretch__fixed_fee_stretch__rolling_strict,111,266.7495582574918,-10.579261758714495
top10_stretch__fixed_fee_stretch__rolling_strict,112,266.7495582574918,-11.257597166469907
top10_stretch__fixed_fee_stretch__rolling_strict,113,266.7495582574918,-7.488421216100619
top10_stretch__fixed_fee_stretch__rolling_strict,114,266.7495582574918,-9.503550437817182
top10_stretch__fixed_fee_stretch__rolling_strict,115,266.7495582574918,-9.551342812081543
top10_stretch__fixed_fee_stretch__rolling_strict,116,266.7495582574918,-8.52862960066463
top10_stretch__fixed_fee_stretch__rolling_strict,117,266.7495582574918,-11.432027642706078
top10_stretch__fixed_fee_stretch__rolling_strict,118,266.7495582574918,-15.109070130327554
top10_stretch__fixed_fee_stretch__rolling_strict,119,266.74955825749174,-14.08618921468323
top10_stretch__fixed_fee_stretch__rolling_strict,120,266.7495582574918,-14.03979866876648
top10_stretch__fixed_fee_stretch__rolling_strict,121,266.7495582574918,-10.400145550942256
top10_stretch__fixed_fee_stretch__rolling_strict,122,266.7495582574918,-10.217042474364632
top10_stretch__fixed_fee_stretch__rolling_strict,123,266.7495582574918,-17.35560366724698
top10_stretch__fixed_fee_stretch__rolling_strict,124,266.7495582574918,-10.812739194705784
top10_stretch__fixed_fee_stretch__rolling_strict,125,266.7495582574918,-10.789053224088946
top10_stretch__fixed_fee_stretch__rolling_strict,126,266.7495582574918,-10.285462050951693
top10_stretch__fixed_fee_stretch__rolling_strict,127,266.74955825749174,-8.404276385541777
top10_stretch__fixed_fee_stretch__rolling_strict,128,266.7495582574918,-12.881894365299502
top10_stretch__fixed_fee_stretch__rolling_strict,129,266.7495582574918,-10.671096588238319
top10_stretch__fixed_fee_stretch__rolling_strict,130,266.7495582574918,-8.924253924494053
top10_stretch__fixed_fee_stretch__rolling_strict,131,266.74955825749174,-9.821472453372706
top10_stretch__fixed_fee_stretch__rolling_strict,132,266.7495582574918,-11.278180671315962
top10_stretch__fixed_fee_stretch__rolling_strict,133,266.7495582574918,-7.891490476158708
top10_stretch__fixed_fee_stretch__rolling_strict,134,266.7495582574918,-11.514164474107588
top10_stretch__fixed_fee_stretch__rolling_strict,135,266.74955825749174,-9.80812713891126
top10_stretch__fixed_fee_stretch__rolling_strict,136,266.7495582574918,-8.862540141618375
top10_stretch__fixed_fee_stretch__rolling_strict,137,266.7495582574918,-8.632012146338553
top10_stretch__fixed_fee_stretch__rolling_strict,138,266.7495582574918,-14.166111695176241
top10_stretch__fixed_fee_stretch__rolling_strict,139,266.7495582574918,-10.622705110660434
top10_stretch__fixed_fee_stretch__rolling_strict,140,266.7495582574918,-11.467859046813317
top10_stretch__fixed_fee_stretch__rolling_strict,141,266.7495582574918,-14.65718904336083
top10_stretch__fixed_fee_stretch__rolling_strict,142,266.7495582574918,-10.85297853863392
top10_stretch__fixed_fee_stretch__rolling_strict,143,266.7495582574918,-17.764093975575918
top10_stretch__fixed_fee_stretch__rolling_strict,144,266.7495582574918,-8.031074755487708
top10_stretch__fixed_fee_stretch__rolling_strict,145,266.7495582574918,-8.871106845763649
top10_stretch__fixed_fee_stretch__rolling_strict,146,266.7495582574918,-8.817574025996954
top10_stretch__fixed_fee_stretch__rolling_strict,147,266.7495582574918,-10.851366310311931
top10_stretch__fixed_fee_stretch__rolling_strict,148,266.74955825749174,-14.974020319685195
top10_stretch__fixed_fee_stretch__rolling_strict,149,266.7495582574918,-8.23039723867609
top10_stretch__fixed_fee_stretch__rolling_strict,150,266.7495582574918,-9.371478559312486
top10_stretch__fixed_fee_stretch__rolling_strict,151,266.7495582574918,-16.648281086138837
top10_stretch__fixed_fee_stretch__rolling_strict,152,266.7495582574918,-7.506228551126668
top10_stretch__fixed_fee_stretch__rolling_strict,153,266.7495582574918,-10.757556099870015
top10_stretch__fixed_fee_stretch__rolling_strict,154,266.7495582574918,-9.511100059746923
top10_stretch__fixed_fee_stretch__rolling_strict,155,266.7495582574918,-8.969273858331036
top10_stretch__fixed_fee_stretch__rolling_strict,156,266.7495582574918,-11.699503389650488
top10_stretch__fixed_fee_stretch__rolling_strict,157,266.7495582574918,-8.740110083326897
top10_stretch__fixed_fee_stretch__rolling_strict,158,266.7495582574918,-15.263538047466938
top10_stretch__fixed_fee_stretch__rolling_strict,159,266.7495582574918,-11.862065684411832
top10_stretch__fixed_fee_stretch__rolling_strict,160,266.7495582574918,-7.5171690401759435
top10_stretch__fixed_fee_stretch__rolling_strict,161,266.7495582574918,-11.943904518138275
top10_stretch__fixed_fee_stretch__rolling_strict,162,266.7495582574918,-7.341618721011315
top10_stretch__fixed_fee_stretch__rolling_strict,163,266.7495582574918,-8.437223604611205
top10_stretch__fixed_fee_stretch__rolling_strict,164,266.7495582574918,-12.627866295857888
top10_stretch__fixed_fee_stretch__rolling_strict,165,266.7495582574918,-8.661553631776371
top10_stretch__fixed_fee_stretch__rolling_strict,166,266.7495582574918,-9.54133398809985
top10_stretch__fixed_fee_stretch__rolling_strict,167,266.7495582574918,-11.887506239813519
top10_stretch__fixed_fee_stretch__rolling_strict,168,266.7495582574918,-14.675561815018611
