month,trades,net_r
2022-01,4,-0.169943749695189
2022-02,12,3.1105243055211957
2022-03,27,6.006371168127005
2022-04,17,0.35905136770609125
2022-05,10,4.341148715256808
2022-06,6,3.752257485337852
2022-07,3,-0.4030392774687025
2022-08,7,0.7439576885940428
2022-09,11,-0.5140597318549716
2022-10,9,0.6417786396666596
2022-11,7,-0.9715718401080212
2022-12,4,-0.1759472921530134
2023-01,12,-2.767688359744075
2023-02,9,2.6734566466370553
2023-03,17,6.35171387024994
2023-04,11,3.358478187224573
2023-05,11,0.5480477228583878
2023-06,8,-2.3229915334299465
2023-07,5,-2.06143060905224
2023-08,3,0.860633151483953
2023-09,1,0.9623081755362108
2023-10,9,0.009380951086132683
2023-11,5,-1.1848473687437342
2023-12,8,-2.301227471870039
2024-01,1,0.9537821599137266
2024-02,3,0.8712557116796028
2024-03,9,-2.109672049378645
2024-04,29,6.8924895492378635
2024-05,16,3.4479902116972307
2024-06,16,1.3512460527768524
2024-07,19,4.23521824207361
2024-08,28,11.996345988993038
2024-09,12,1.5376563703422976
2024-10,12,6.518513220056171
2024-11,27,1.929009850839946
2024-12,15,2.4381363085871506
2025-01,13,6.470810743524501
2025-02,20,3.318957895781206
2025-03,21,0.2807722715104056
2025-04,55,31.68405604017308
2025-05,34,5.125657590602618
2025-06,36,10.799514517191055
2025-07,37,13.49310423369372
2025-08,23,0.10842921203453082
2025-09,34,10.84583271909064
2025-10,58,8.843998504232308
2025-11,45,-0.050323007165359646
2025-12,41,1.9282694268928338
2026-01,49,8.055900149081705
2026-02,49,14.586647578164161
2026-03,54,19.32104707832149
2026-04,51,20.00820690872157
2026-05,65,17.543012645419996
2026-06,34,3.384679977497891
