month,trades,net_r
2022-01,4,-0.169943749695189
2022-02,12,3.1105243055211957
2022-03,27,6.006371168127005
2022-04,17,0.35905136770609125
2022-05,10,4.341148715256808
2022-06,6,3.752257485337852
2022-07,3,-0.4030392774687025
2022-08,7,0.7439576885940428
2022-09,11,-0.5140597318549716
2022-10,9,0.6417786396666596
2022-11,7,-0.9715718401080212
2022-12,4,-0.1759472921530134
2023-01,12,-2.767688359744075
2023-02,9,2.6734566466370553
2023-03,17,6.35171387024994
2023-04,11,3.358478187224573
2023-05,11,0.5480477228583878
2023-06,8,-2.3229915334299465
2023-07,5,-2.06143060905224
2023-08,3,0.860633151483953
2023-09,1,0.9623081755362108
2023-10,9,0.009380951086132683
2023-11,5,-1.1848473687437342
2023-12,8,-2.301227471870039
2024-01,1,0.9537821599137266
2024-02,3,0.8712557116796028
2024-03,9,-2.109672049378645
2024-04,29,6.8924895492378635
2024-05,16,3.4479902116972307
2024-06,16,1.3512460527768524
2024-07,19,4.23521824207361
2024-08,28,11.996345988993038
2024-09,12,1.5376563703422976
2024-10,12,6.518513220056171
2024-11,27,1.929009850839946
2024-12,15,2.4381363085871506
2025-01,19,8.696370038409524
2025-02,22,3.917158632307258
2025-03,26,2.399053876599486
2025-04,57,35.093084685721806
2025-05,36,4.111844295325055
2025-06,41,11.019849923151513
2025-07,39,13.465600266023575
2025-08,27,0.7139922265088704
2025-09,38,9.768768746871736
2025-10,62,8.50846734512747
2025-11,46,-0.0553914591153466
2025-12,45,1.640870249603694
2026-01,52,10.010967241102541
2026-02,52,14.592051296610485
2026-03,59,25.28138560869855
2026-04,52,20.08508963387812
2026-05,68,17.89715832980669
2026-06,36,3.539145595854081
