name,trades,net_r,avg_r_year,wr,pf,max_dd_r,positive_years,negative_years,worst_year_r,best_year_r,positive_months,negative_months,base,universe,split_family,risk_for_30k_year,risk_for_100k_year,wr_band_ok,pf_band_ok,avg_year_pnl_at_500R,avg_year_pnl_at_1000R,avg_year_pnl_at_1500R,avg_year_pnl_at_2000R,avg_year_pnl_at_2050R,avg_year_pnl_at_2500R,avg_year_pnl_at_3000R
top10_stretch__fixed_fee_stretch__rolling_strict,1251,266.7495582574918,53.34991165149836,0.6338928856914469,1.6001300415156652,-10.281535044907002,5,0,10.014940817279285,100.02163224337404,41,13,top10_stretch,fixed_fee_stretch,rolling,562.3252048845227,1874.4173496150756,True,True,26674.95582574918,53349.91165149836,80024.86747724754,106699.82330299672,109367.31888557164,133374.7791287459,160049.73495449507
top10_stretch__fixed_fee_stretch__expanding_strict,1220,260.86045080244867,52.17209016048973,0.6319672131147541,1.592485350709236,-10.401400728450923,5,0,4.125833362236218,100.02163224337404,41,13,top10_stretch,fixed_fee_stretch,expanding,575.0200903915327,1916.7336346384425,True,True,26086.045080244865,52172.09016048973,78258.1352407346,104344.18032097946,106952.78482900395,130430.22540122432,156516.2704814692
clean_top3__fixed_fee_stretch__expanding_strict,982,260.08481005210393,52.016962010420784,0.6690427698574338,1.8511205681508922,-13.649270688762279,5,0,6.925341154853111,89.52123337629858,43,11,clean_top3,fixed_fee_stretch,expanding,576.7349503031332,1922.4498343437774,True,True,26008.481005210393,52016.962010420786,78025.44301563117,104033.92402084157,106634.7721213626,130042.40502605196,156050.88603126234
clean_top3__fixed_fee_stretch__rolling_strict,982,260.08481005210393,52.016962010420784,0.6690427698574338,1.8511205681508922,-13.649270688762279,5,0,6.925341154853111,89.52123337629858,43,11,clean_top3,fixed_fee_stretch,rolling,576.7349503031332,1922.4498343437774,True,True,26008.481005210393,52016.962010420786,78025.44301563117,104033.92402084157,106634.7721213626,130042.40502605196,156050.88603126234
top10_stretch__preferred_realistic_units__rolling_strict,1180,251.5937989904699,50.31875979809398,0.6211864406779661,1.5752672158381322,-9.524030885122897,5,0,4.125833362236218,99.27966882653465,42,12,top10_stretch,preferred_realistic_units,rolling,596.199113817117,1987.33037939039,True,True,25159.379899046988,50318.759798093975,75478.13969714097,100637.51959618795,103153.45758609266,125796.89949523495,150956.27939428194
clean_top3__preferred_realistic_units__rolling_strict,907,236.9475887287276,47.38951774574552,0.6438809261300992,1.7893660804802305,-12.94154531310448,5,0,6.081281708635691,88.77926995945919,39,15,clean_top3,preferred_realistic_units,rolling,633.0513883039737,2110.171294346579,True,True,23694.75887287276,47389.51774574552,71084.27661861829,94779.03549149104,97148.51137877832,118473.7943643638,142168.55323723657
top10_stretch__preferred_realistic_units__expanding_strict,1122,236.65690694275315,47.33138138855063,0.6194295900178253,1.546847114988462,-9.524030885122897,5,0,4.125833362236218,92.84908014756154,42,12,top10_stretch,preferred_realistic_units,expanding,633.828954911021,2112.763183036737,True,True,23665.690694275316,47331.38138855063,70997.07208282595,94662.76277710126,97029.33184652879,118328.45347137658,141994.1441656519
clean_top3__preferred_realistic_units__expanding_strict,818,216.96564867218518,43.39312973443704,0.6466992665036675,1.7454332672643453,-12.694926116838417,5,0,1.0362336998100448,82.34868128048608,37,16,clean_top3,preferred_realistic_units,expanding,691.35368164495,2304.5122721498333,True,True,21696.56486721852,43393.12973443704,65089.69460165556,86786.25946887408,88955.91595559593,108482.8243360926,130179.38920331112
