name,trades,net_r,years,avg_r_year,wr,pf,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,avg_year_pnl_at_$500R,total_pnl_at_$500R,avg_year_pnl_at_$1000R,total_pnl_at_$1000R,avg_year_pnl_at_$2000R,total_pnl_at_$2000R,avg_year_pnl_at_$2050R,total_pnl_at_$2050R,avg_year_pnl_at_$2110R,total_pnl_at_$2110R,avg_year_pnl_at_$2500R,total_pnl_at_$2500R
sleeve1_clean_top3_full_2019_2026,1032,256.10667497371514,8,32.01333437171439,0.6385658914728682,1.6837572732457418,-12.694926116838438,8,0,53,27,1.0362336998100448,82.34868128048608,16006.667185857197,128053.33748685758,32013.334371714394,256106.67497371515,64026.66874342879,512213.3499474303,65627.33546201451,525018.6836961161,67548.13552431737,540385.084194539,80033.33592928598,640266.6874342879
sleeve1_clean_top3_oos_2022_2026,818,216.96564867218518,5,43.39312973443704,0.6466992665036675,1.7454332672643453,-12.694926116838417,5,0,37,16,1.0362336998100448,82.34868128048608,21696.56486721852,108482.82433609258,43393.12973443704,216965.64867218517,86786.25946887408,433931.29734437034,88955.91595559593,444779.57977797964,91559.50373966215,457797.5186983107,108482.8243360926,542414.121680463
combo_clean_top3_plus_cross_oos_2022_2026,907,236.9475887287276,5,47.38951774574552,0.6438809261300992,1.7893660804802305,-12.94154531310448,5,0,39,15,6.081281708635691,88.77926995945919,23694.75887287276,118473.7943643638,47389.51774574552,236947.5887287276,94779.03549149104,473895.1774574552,97148.51137877832,485742.5568938916,99991.88244352305,499959.41221761523,118473.7943643638,592368.971821819
