name,net_r_median,dd_median,dd_p05,dd_p01
clean_top3__fixed_fee_stretch__expanding_strict,260.084810052104,-8.158108502001205,-11.81042388593536,-14.299531049315489
clean_top3__fixed_fee_stretch__rolling_strict,260.084810052104,-8.143623343390539,-11.773274353905043,-14.307021126654492
clean_top3__preferred_realistic_units__rolling_strict,236.9475887287276,-8.34806278075719,-12.566014942026543,-15.248308694241933
top10_stretch__fixed_fee_stretch__expanding_strict,260.8604508024487,-10.35950890203273,-15.117637084649346,-18.126314005765046
top10_stretch__fixed_fee_stretch__rolling_strict,266.7495582574918,-10.364671031457036,-15.275673337307689,-18.717709141389467
top10_stretch__preferred_realistic_units__rolling_strict,251.59379899046994,-10.416445020751766,-15.481364470002216,-19.00900641820748
